Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, TOTAL, Anul 1990, Mii persoane, 10839.5
Total, TOTAL, Anul 1991, Mii persoane, 11123.2
Total, TOTAL, Anul 1992, Mii persoane, 11387
Total, TOTAL, Anul 1993, Mii persoane, 11226.7
Total, TOTAL, Anul 1994, Mii persoane, 11235.5
Total, TOTAL, Anul 1995, Mii persoane, 10491.4
Total, TOTAL, Anul 1996, Mii persoane, 10036.5
Total, TOTAL, Anul 1997, Mii persoane, 9904.1
Total, TOTAL, Anul 1998, Mii persoane, 9837.7
Total, TOTAL, Anul 1999, Mii persoane, 9549.9
Total, TOTAL, Anul 2000, Mii persoane, 9636.4
Total, TOTAL, Anul 2001, Mii persoane, 9389.4
Total, TOTAL, Anul 2002, Mii persoane, 9089.6
Total, TOTAL, Anul 2003, Mii persoane, 8964.4
Total, TOTAL, Anul 2004, Mii persoane, 8796.2
Total, TOTAL, Anul 2005, Mii persoane, 8913.4
Total, TOTAL, Anul 2006, Mii persoane, 8929.8
Total, TOTAL, Anul 2007, Mii persoane, 9093.7
Total, TOTAL, Anul 2008, Mii persoane, 9150.4
Total, TOTAL, Anul 2009, Mii persoane, 9120.1
Total, TOTAL, Anul 2010, Mii persoane, 8998.3
Total, TOTAL, Anul 2011, Mii persoane, 8826.5
Total, TOTAL, Anul 2012, Mii persoane, 9063.4
Total, TOTAL, Anul 2013, Mii persoane, 9042.9
Total, TOTAL, Anul 2014, Mii persoane, 8910
Total, TOTAL, Anul 2015, Mii persoane, 8776.8
Total, TOTAL, Anul 2016, Mii persoane, 8735.8
Total, TOTAL, Anul 2017, Mii persoane, 8717.9
Total, MACROREGIUNEA UNU, Anul 1990, Mii persoane, 2721.5
Total, MACROREGIUNEA UNU, Anul 1991, Mii persoane, 2798.5
Total, MACROREGIUNEA UNU, Anul 1992, Mii persoane, 2841.6
Total, MACROREGIUNEA UNU, Anul 1993, Mii persoane, 2809.3
Total, MACROREGIUNEA UNU, Anul 1994, Mii persoane, 2813.2
Total, MACROREGIUNEA UNU, Anul 1995, Mii persoane, 2617.3
Total, MACROREGIUNEA UNU, Anul 1996, Mii persoane, 2543.4
Total, MACROREGIUNEA UNU, Anul 1997, Mii persoane, 2498.4
Total, MACROREGIUNEA UNU, Anul 1998, Mii persoane, 2531.8
Total, MACROREGIUNEA UNU, Anul 1999, Mii persoane, 2467.2
Total, MACROREGIUNEA UNU, Anul 2000, Mii persoane, 2465.2
Total, MACROREGIUNEA UNU, Anul 2001, Mii persoane, 2406.2
Total, MACROREGIUNEA UNU, Anul 2002, Mii persoane, 2361.6
Total, MACROREGIUNEA UNU, Anul 2003, Mii persoane, 2313.2
Total, MACROREGIUNEA UNU, Anul 2004, Mii persoane, 2266.5
Total, MACROREGIUNEA UNU, Anul 2005, Mii persoane, 2280.8
Total, MACROREGIUNEA UNU, Anul 2006, Mii persoane, 2290.4
Total, MACROREGIUNEA UNU, Anul 2007, Mii persoane, 2325.7
Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 2331.6
Total, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 2347.8
Total, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 2316
Total, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 2281.5
Total, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 2351.3
Total, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 2349.8
Total, MACROREGIUNEA UNU, Anul 2014, Mii persoane, 2319.1
Total, MACROREGIUNEA UNU, Anul 2015, Mii persoane, 2293.9
Total, MACROREGIUNEA UNU, Anul 2016, Mii persoane, 2290.9
Total, MACROREGIUNEA UNU, Anul 2017, Mii persoane, 2296.3
Total, Regiunea NORD-VEST, Anul 1990, Mii persoane, 1411
Total, Regiunea NORD-VEST, Anul 1991, Mii persoane, 1470.1
Total, Regiunea NORD-VEST, Anul 1992, Mii persoane, 1511.8
Total, Regiunea NORD-VEST, Anul 1993, Mii persoane, 1482.5
Total, Regiunea NORD-VEST, Anul 1994, Mii persoane, 1466.7
Total, Regiunea NORD-VEST, Anul 1995, Mii persoane, 1328.5
Total, Regiunea NORD-VEST, Anul 1996, Mii persoane, 1304.6
Total, Regiunea NORD-VEST, Anul 1997, Mii persoane, 1276.8
Total, Regiunea NORD-VEST, Anul 1998, Mii persoane, 1320.4
Total, Regiunea NORD-VEST, Anul 1999, Mii persoane, 1274.7
Total, Regiunea NORD-VEST, Anul 2000, Mii persoane, 1278.9
Total, Regiunea NORD-VEST, Anul 2001, Mii persoane, 1263.1
Total, Regiunea NORD-VEST, Anul 2002, Mii persoane, 1216.3
Total, Regiunea NORD-VEST, Anul 2003, Mii persoane, 1195.8
Total, Regiunea NORD-VEST, Anul 2004, Mii persoane, 1174
Total, Regiunea NORD-VEST, Anul 2005, Mii persoane, 1193.6
Total, Regiunea NORD-VEST, Anul 2006, Mii persoane, 1198.4
Total, Regiunea NORD-VEST, Anul 2007, Mii persoane, 1222.4
Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 1228.1
Total, Regiunea NORD-VEST, Anul 2009, Mii persoane, 1240.6
Total, Regiunea NORD-VEST, Anul 2010, Mii persoane, 1226.7
Total, Regiunea NORD-VEST, Anul 2011, Mii persoane, 1209.7
Total, Regiunea NORD-VEST, Anul 2012, Mii persoane, 1241.9
Total, Regiunea NORD-VEST, Anul 2013, Mii persoane, 1239.2
Total, Regiunea NORD-VEST, Anul 2014, Mii persoane, 1232.4
Total, Regiunea NORD-VEST, Anul 2015, Mii persoane, 1217
Total, Regiunea NORD-VEST, Anul 2016, Mii persoane, 1207
Total, Regiunea NORD-VEST, Anul 2017, Mii persoane, 1213.5
Total, Bihor, Anul 1990, Mii persoane, 329
Total, Bihor, Anul 1991, Mii persoane, 333.9
Total, Bihor, Anul 1992, Mii persoane, 342.6
Total, Bihor, Anul 1993, Mii persoane, 343.2
Total, Bihor, Anul 1994, Mii persoane, 329.7
Total, Bihor, Anul 1995, Mii persoane, 283.2
Total, Bihor, Anul 1996, Mii persoane, 272.9
Total, Bihor, Anul 1997, Mii persoane, 269.6
Total, Bihor, Anul 1998, Mii persoane, 285
Total, Bihor, Anul 1999, Mii persoane, 278.9
Total, Bihor, Anul 2000, Mii persoane, 294.8
Total, Bihor, Anul 2001, Mii persoane, 290.1
Total, Bihor, Anul 2002, Mii persoane, 283.3
Total, Bihor, Anul 2003, Mii persoane, 281.9
Total, Bihor, Anul 2004, Mii persoane, 275.2
Total, Bihor, Anul 2005, Mii persoane, 279.9
Total, Bihor, Anul 2006, Mii persoane, 280.9
Total, Bihor, Anul 2007, Mii persoane, 284.8
Total, Bihor, Anul 2008, Mii persoane, 284.2
Total, Bihor, Anul 2009, Mii persoane, 285.8
Total, Bihor, Anul 2010, Mii persoane, 282.7
Total, Bihor, Anul 2011, Mii persoane, 274.6
Total, Bihor, Anul 2012, Mii persoane, 280
Total, Bihor, Anul 2013, Mii persoane, 276.7
Total, Bihor, Anul 2014, Mii persoane, 274.8
Total, Bihor, Anul 2015, Mii persoane, 272.4
Total, Bihor, Anul 2016, Mii persoane, 267.8
Total, Bihor, Anul 2017, Mii persoane, 266.9
Total, Bistrita-Nasaud, Anul 1990, Mii persoane, 144.6
Total, Bistrita-Nasaud, Anul 1991, Mii persoane, 149.2
Total, Bistrita-Nasaud, Anul 1992, Mii persoane, 165.2
Total, Bistrita-Nasaud, Anul 1993, Mii persoane, 162.7
Total, Bistrita-Nasaud, Anul 1994, Mii persoane, 158.6
Total, Bistrita-Nasaud, Anul 1995, Mii persoane, 147.8
Total, Bistrita-Nasaud, Anul 1996, Mii persoane, 138
Total, Bistrita-Nasaud, Anul 1997, Mii persoane, 142.3
Total, Bistrita-Nasaud, Anul 1998, Mii persoane, 136.9
Total, Bistrita-Nasaud, Anul 1999, Mii persoane, 139.1
Total, Bistrita-Nasaud, Anul 2000, Mii persoane, 136
Total, Bistrita-Nasaud, Anul 2001, Mii persoane, 135
Total, Bistrita-Nasaud, Anul 2002, Mii persoane, 127.2
Total, Bistrita-Nasaud, Anul 2003, Mii persoane, 126.6
Total, Bistrita-Nasaud, Anul 2004, Mii persoane, 124.6
Total, Bistrita-Nasaud, Anul 2005, Mii persoane, 126.2
Total, Bistrita-Nasaud, Anul 2006, Mii persoane, 126.4
Total, Bistrita-Nasaud, Anul 2007, Mii persoane, 130.2
Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 131.8
Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 135.6
Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 133.7
Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 133.5
Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 138.4
Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 136.8
Total, Bistrita-Nasaud, Anul 2014, Mii persoane, 134.8
Total, Bistrita-Nasaud, Anul 2015, Mii persoane, 133.8
Total, Bistrita-Nasaud, Anul 2016, Mii persoane, 132.1
Total, Bistrita-Nasaud, Anul 2017, Mii persoane, 131.3
Total, Cluj, Anul 1990, Mii persoane, 369.5
Total, Cluj, Anul 1991, Mii persoane, 397.5
Total, Cluj, Anul 1992, Mii persoane, 411.3
Total, Cluj, Anul 1993, Mii persoane, 396.6
Total, Cluj, Anul 1994, Mii persoane, 401.6
Total, Cluj, Anul 1995, Mii persoane, 346.8
Total, Cluj, Anul 1996, Mii persoane, 359.6
Total, Cluj, Anul 1997, Mii persoane, 349.3
Total, Cluj, Anul 1998, Mii persoane, 351
Total, Cluj, Anul 1999, Mii persoane, 332
Total, Cluj, Anul 2000, Mii persoane, 334.9
Total, Cluj, Anul 2001, Mii persoane, 329.3
Total, Cluj, Anul 2002, Mii persoane, 331.9
Total, Cluj, Anul 2003, Mii persoane, 324.5
Total, Cluj, Anul 2004, Mii persoane, 320.5
Total, Cluj, Anul 2005, Mii persoane, 323.8
Total, Cluj, Anul 2006, Mii persoane, 326.3
Total, Cluj, Anul 2007, Mii persoane, 340.2
Total, Cluj, Anul 2008, Mii persoane, 344.6
Total, Cluj, Anul 2009, Mii persoane, 345.7
Total, Cluj, Anul 2010, Mii persoane, 341.9
Total, Cluj, Anul 2011, Mii persoane, 339
Total, Cluj, Anul 2012, Mii persoane, 346.1
Total, Cluj, Anul 2013, Mii persoane, 350.1
Total, Cluj, Anul 2014, Mii persoane, 353.6
Total, Cluj, Anul 2015, Mii persoane, 353.2
Total, Cluj, Anul 2016, Mii persoane, 360.6
Total, Cluj, Anul 2017, Mii persoane, 365.9
Total, Maramures, Anul 1990, Mii persoane, 259.7
Total, Maramures, Anul 1991, Mii persoane, 266
Total, Maramures, Anul 1992, Mii persoane, 264.6
Total, Maramures, Anul 1993, Mii persoane, 262.2
Total, Maramures, Anul 1994, Mii persoane, 257.8
Total, Maramures, Anul 1995, Mii persoane, 246.5
