CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, TOTAL, Anul 2008, Lei, 1309
TOTAL, Total, TOTAL, Anul 2009, Lei, 1361
TOTAL, Total, TOTAL, Anul 2010, Lei, 1391
TOTAL, Total, TOTAL, Anul 2011, Lei, 1444
TOTAL, Total, TOTAL, Anul 2012, Lei, 1507
TOTAL, Total, TOTAL, Anul 2013, Lei, 1579
TOTAL, Total, TOTAL, Anul 2014, Lei, 1697
TOTAL, Total, TOTAL, Anul 2015, Lei, 1859
TOTAL, Total, TOTAL, Anul 2016, Lei, 2046
TOTAL, Total, TOTAL, Anul 2017, Lei, 2338
TOTAL, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 1134
TOTAL, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 1191
TOTAL, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 1203
TOTAL, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 1243
TOTAL, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 1305
TOTAL, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 1368
TOTAL, Total, MACROREGIUNEA UNU, Anul 2014, Lei, 1491
TOTAL, Total, MACROREGIUNEA UNU, Anul 2015, Lei, 1639
TOTAL, Total, MACROREGIUNEA UNU, Anul 2016, Lei, 1850
TOTAL, Total, MACROREGIUNEA UNU, Anul 2017, Lei, 2144
TOTAL, Total, Regiunea NORD-VEST, Anul 2008, Lei, 1119
TOTAL, Total, Regiunea NORD-VEST, Anul 2009, Lei, 1161
TOTAL, Total, Regiunea NORD-VEST, Anul 2010, Lei, 1168
TOTAL, Total, Regiunea NORD-VEST, Anul 2011, Lei, 1208
TOTAL, Total, Regiunea NORD-VEST, Anul 2012, Lei, 1280
TOTAL, Total, Regiunea NORD-VEST, Anul 2013, Lei, 1342
TOTAL, Total, Regiunea NORD-VEST, Anul 2014, Lei, 1481
TOTAL, Total, Regiunea NORD-VEST, Anul 2015, Lei, 1618
TOTAL, Total, Regiunea NORD-VEST, Anul 2016, Lei, 1833
TOTAL, Total, Regiunea NORD-VEST, Anul 2017, Lei, 2140
TOTAL, Total, Bihor, Anul 2008, Lei, 1004
TOTAL, Total, Bihor, Anul 2009, Lei, 1025
TOTAL, Total, Bihor, Anul 2010, Lei, 1074
TOTAL, Total, Bihor, Anul 2011, Lei, 1086
TOTAL, Total, Bihor, Anul 2012, Lei, 1123
TOTAL, Total, Bihor, Anul 2013, Lei, 1155
TOTAL, Total, Bihor, Anul 2014, Lei, 1299
TOTAL, Total, Bihor, Anul 2015, Lei, 1396
TOTAL, Total, Bihor, Anul 2016, Lei, 1563
TOTAL, Total, Bihor, Anul 2017, Lei, 1871
TOTAL, Total, Bistrita-Nasaud, Anul 2008, Lei, 1085
TOTAL, Total, Bistrita-Nasaud, Anul 2009, Lei, 1115
TOTAL, Total, Bistrita-Nasaud, Anul 2010, Lei, 1088
TOTAL, Total, Bistrita-Nasaud, Anul 2011, Lei, 1107
TOTAL, Total, Bistrita-Nasaud, Anul 2012, Lei, 1159
TOTAL, Total, Bistrita-Nasaud, Anul 2013, Lei, 1198
TOTAL, Total, Bistrita-Nasaud, Anul 2014, Lei, 1273
TOTAL, Total, Bistrita-Nasaud, Anul 2015, Lei, 1483
TOTAL, Total, Bistrita-Nasaud, Anul 2016, Lei, 1587
TOTAL, Total, Bistrita-Nasaud, Anul 2017, Lei, 1815
TOTAL, Total, Cluj, Anul 2008, Lei, 1315
TOTAL, Total, Cluj, Anul 2009, Lei, 1387
