Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, TOTAL, Anul 1992, Numar persoane, 23126797
Total, Total, Total, TOTAL, Anul 1993, Numar persoane, 23098108
Total, Total, Total, TOTAL, Anul 1994, Numar persoane, 23078952
Total, Total, Total, TOTAL, Anul 1995, Numar persoane, 23033618
Total, Total, Total, TOTAL, Anul 1996, Numar persoane, 22962740
Total, Total, Total, TOTAL, Anul 1997, Numar persoane, 22903955
Total, Total, Total, TOTAL, Anul 1998, Numar persoane, 22864721
Total, Total, Total, TOTAL, Anul 1999, Numar persoane, 22825196
Total, Total, Total, TOTAL, Anul 2000, Numar persoane, 22809610
Total, Total, Total, TOTAL, Anul 2001, Numar persoane, 22791655
Total, Total, Total, TOTAL, Anul 2002, Numar persoane, 22748121
Total, Total, Total, TOTAL, Anul 2003, Numar persoane, 22702149
Total, Total, Total, TOTAL, Anul 2004, Numar persoane, 22656570
Total, Total, Total, TOTAL, Anul 2005, Numar persoane, 22621457
Total, Total, Total, TOTAL, Anul 2006, Numar persoane, 22594368
Total, Total, Total, TOTAL, Anul 2007, Numar persoane, 22562913
Total, Total, Total, TOTAL, Anul 2008, Numar persoane, 22542169
Total, Total, Total, TOTAL, Anul 2009, Numar persoane, 22520477
Total, Total, Total, TOTAL, Anul 2010, Numar persoane, 22492083
Total, Total, Total, TOTAL, Anul 2011, Numar persoane, 22441740
Total, Total, Total, TOTAL, Anul 2012, Numar persoane, 22401865
Total, Total, Total, TOTAL, Anul 2013, Numar persoane, 22359849
Total, Total, Total, TOTAL, Anul 2014, Numar persoane, 22299730
Total, Total, Total, TOTAL, Anul 2016, Numar persoane, 22236059
Total, Total, Total, TOTAL, Anul 2017, Numar persoane, 22201702
Total, Total, Total, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 5665729
Total, Total, Total, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 5652275
Total, Total, Total, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 5642207
Total, Total, Total, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 5627301
Total, Total, Total, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 5606473
Total, Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 5589795
Total, Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 5577565
Total, Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 5565031
Total, Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 5558868
Total, Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 5553551
Total, Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 5541570
Total, Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 5530541
Total, Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 5519628
Total, Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 5511324
Total, Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 5508150
Total, Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 5500722
Total, Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 5500060
Total, Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 5499780
Total, Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 5498994
Total, Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 5494154
Total, Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 5488479
Total, Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 5482984
Total, Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 5476177
Total, Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 5469210
Total, Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 5465019
Total, Total, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 2958498
Total, Total, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 2949713
Total, Total, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 2943332
Total, Total, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 2934199
Total, Total, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 2922417
Total, Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 2911831
Total, Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 2904505
Total, Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 2896946
Total, Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 2892901
Total, Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 2887596
Total, Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 2878913
Total, Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 2870899
