Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, TOTAL, Anul 1996, Numar, 29815
Total, Total, TOTAL, Anul 1997, Numar, 29084
Total, Total, TOTAL, Anul 1998, Numar, 29409
Total, Total, TOTAL, Anul 1999, Numar, 27633
Total, Total, TOTAL, Anul 2000, Numar, 24481
Total, Total, TOTAL, Anul 2001, Numar, 24304
Total, Total, TOTAL, Anul 2002, Numar, 23679
Total, Total, TOTAL, Anul 2003, Numar, 18012
Total, Total, TOTAL, Anul 2004, Numar, 14396
Total, Total, TOTAL, Anul 2005, Numar, 11865
Total, Total, TOTAL, Anul 2006, Numar, 8484
Total, Total, TOTAL, Anul 2007, Numar, 8230
Total, Total, TOTAL, Anul 2008, Numar, 8221
Total, Total, TOTAL, Anul 2009, Numar, 8244
Total, Total, TOTAL, Anul 2010, Numar, 7588
Total, Total, TOTAL, Anul 2011, Numar, 7204
Total, Total, TOTAL, Anul 2012, Numar, 7069
Total, Total, TOTAL, Anul 2013, Numar, 7074
Total, Total, TOTAL, Anul 2014, Numar, 7127
Total, Total, TOTAL, Anul 2015, Numar, 7108
Total, Total, TOTAL, Anul 2016, Numar, 7010
Total, Total, TOTAL, Anul 2017, Numar, 7047
Total, Total, MACROREGIUNEA UNU, Anul 1996, Numar, 8321
Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar, 8181
Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar, 8276
Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar, 7725
Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 6972
Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 6923
Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 6873
Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 5103
Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 4104
Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 3357
Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 2302
Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 2209
Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 2210
Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 2255
Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar, 2131
Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar, 2050
