Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, TOTAL, Anul 1990, Numar, 186
Total, TOTAL, Anul 1991, Numar, 257
Total, TOTAL, Anul 1992, Numar, 261
Total, TOTAL, Anul 1993, Numar, 262
Total, TOTAL, Anul 1994, Numar, 262
Total, TOTAL, Anul 1995, Numar, 437
Total, TOTAL, Anul 1996, Numar, 485
Total, TOTAL, Anul 1997, Numar, 516
Total, TOTAL, Anul 1998, Numar, 556
Total, TOTAL, Anul 1999, Numar, 632
Total, TOTAL, Anul 2000, Numar, 696
Total, TOTAL, Anul 2001, Numar, 729
Total, TOTAL, Anul 2002, Numar, 742
Total, TOTAL, Anul 2003, Numar, 754
Total, TOTAL, Anul 2004, Numar, 742
Total, TOTAL, Anul 2005, Numar, 770
Total, TOTAL, Anul 2006, Numar, 755
Total, TOTAL, Anul 2007, Numar, 631
Total, TOTAL, Anul 2008, Numar, 617
Total, TOTAL, Anul 2009, Numar, 624
Total, TOTAL, Anul 2010, Numar, 629
Total, TOTAL, Anul 2011, Numar, 614
Total, TOTAL, Anul 2012, Numar, 596
Total, TOTAL, Anul 2013, Numar, 590
Total, TOTAL, Anul 2014, Numar, 583
Total, TOTAL, Anul 2015, Numar, 567
Total, TOTAL, Anul 2016, Numar, 560
Total, TOTAL, Anul 2017, Numar, 554
Total, MACROREGIUNEA UNU, Anul 1990, Numar, 50
Total, MACROREGIUNEA UNU, Anul 1991, Numar, 73
Total, MACROREGIUNEA UNU, Anul 1992, Numar, 73
Total, MACROREGIUNEA UNU, Anul 1993, Numar, 75
Total, MACROREGIUNEA UNU, Anul 1994, Numar, 76
Total, MACROREGIUNEA UNU, Anul 1995, Numar, 113
Total, MACROREGIUNEA UNU, Anul 1996, Numar, 125
Total, MACROREGIUNEA UNU, Anul 1997, Numar, 135
Total, MACROREGIUNEA UNU, Anul 1998, Numar, 151
Total, MACROREGIUNEA UNU, Anul 1999, Numar, 177
Total, MACROREGIUNEA UNU, Anul 2000, Numar, 188
Total, MACROREGIUNEA UNU, Anul 2001, Numar, 213
Total, MACROREGIUNEA UNU, Anul 2002, Numar, 216
Total, MACROREGIUNEA UNU, Anul 2003, Numar, 213
Total, MACROREGIUNEA UNU, Anul 2004, Numar, 210
Total, MACROREGIUNEA UNU, Anul 2005, Numar, 225
Total, MACROREGIUNEA UNU, Anul 2006, Numar, 224
Total, MACROREGIUNEA UNU, Anul 2007, Numar, 176
Total, MACROREGIUNEA UNU, Anul 2008, Numar, 170
Total, MACROREGIUNEA UNU, Anul 2009, Numar, 172
Total, MACROREGIUNEA UNU, Anul 2010, Numar, 175
Total, MACROREGIUNEA UNU, Anul 2011, Numar, 172
Total, MACROREGIUNEA UNU, Anul 2012, Numar, 167
Total, MACROREGIUNEA UNU, Anul 2013, Numar, 169
Total, MACROREGIUNEA UNU, Anul 2014, Numar, 168
Total, MACROREGIUNEA UNU, Anul 2015, Numar, 160
Total, MACROREGIUNEA UNU, Anul 2016, Numar, 157
Total, MACROREGIUNEA UNU, Anul 2017, Numar, 157
Total, Regiunea NORD-VEST, Anul 1990, Numar, 32
Total, Regiunea NORD-VEST, Anul 1991, Numar, 43
Total, Regiunea NORD-VEST, Anul 1992, Numar, 43
Total, Regiunea NORD-VEST, Anul 1993, Numar, 44
Total, Regiunea NORD-VEST, Anul 1994, Numar, 45
Total, Regiunea NORD-VEST, Anul 1995, Numar, 69
Total, Regiunea NORD-VEST, Anul 1996, Numar, 73
Total, Regiunea NORD-VEST, Anul 1997, Numar, 75
Total, Regiunea NORD-VEST, Anul 1998, Numar, 87
Total, Regiunea NORD-VEST, Anul 1999, Numar, 104
Total, Regiunea NORD-VEST, Anul 2000, Numar, 110
Total, Regiunea NORD-VEST, Anul 2001, Numar, 120
Total, Regiunea NORD-VEST, Anul 2002, Numar, 116
Total, Regiunea NORD-VEST, Anul 2003, Numar, 111
Total, Regiunea NORD-VEST, Anul 2004, Numar, 110
Total, Regiunea NORD-VEST, Anul 2005, Numar, 123
Total, Regiunea NORD-VEST, Anul 2006, Numar, 123
Total, Regiunea NORD-VEST, Anul 2007, Numar, 97
Total, Regiunea NORD-VEST, Anul 2008, Numar, 96
Total, Regiunea NORD-VEST, Anul 2009, Numar, 97
Total, Regiunea NORD-VEST, Anul 2010, Numar, 97
Total, Regiunea NORD-VEST, Anul 2011, Numar, 96
Total, Regiunea NORD-VEST, Anul 2012, Numar, 94
Total, Regiunea NORD-VEST, Anul 2013, Numar, 96
Total, Regiunea NORD-VEST, Anul 2014, Numar, 95
Total, Regiunea NORD-VEST, Anul 2015, Numar, 91
Total, Regiunea NORD-VEST, Anul 2016, Numar, 91
Total, Regiunea NORD-VEST, Anul 2017, Numar, 91
Total, Bihor, Anul 1990, Numar, 3
Total, Bihor, Anul 1991, Numar, 6
Total, Bihor, Anul 1992, Numar, 6
Total, Bihor, Anul 1993, Numar, 8
Total, Bihor, Anul 1994, Numar, 8
Total, Bihor, Anul 1995, Numar, 15
Total, Bihor, Anul 1996, Numar, 16
Total, Bihor, Anul 1997, Numar, 16
Total, Bihor, Anul 1998, Numar, 20
Total, Bihor, Anul 1999, Numar, 24
Total, Bihor, Anul 2000, Numar, 25
Total, Bihor, Anul 2001, Numar, 28
Total, Bihor, Anul 2002, Numar, 30
Total, Bihor, Anul 2003, Numar, 30
Total, Bihor, Anul 2004, Numar, 29
Total, Bihor, Anul 2005, Numar, 30
Total, Bihor, Anul 2006, Numar, 30
Total, Bihor, Anul 2007, Numar, 24
Total, Bihor, Anul 2008, Numar, 23
Total, Bihor, Anul 2009, Numar, 25
Total, Bihor, Anul 2010, Numar, 25
Total, Bihor, Anul 2011, Numar, 23
Total, Bihor, Anul 2012, Numar, 23
Total, Bihor, Anul 2013, Numar, 23
Total, Bihor, Anul 2014, Numar, 23
Total, Bihor, Anul 2015, Numar, 23
Total, Bihor, Anul 2016, Numar, 22
Total, Bihor, Anul 2017, Numar, 22
Total, Bistrita-Nasaud, Anul 1991, Numar, 1
Total, Bistrita-Nasaud, Anul 1992, Numar, 1
Total, Bistrita-Nasaud, Anul 1997, Numar, 1
Total, Bistrita-Nasaud, Anul 1998, Numar, 2
Total, Bistrita-Nasaud, Anul 1999, Numar, 6
Total, Bistrita-Nasaud, Anul 2000, Numar, 6
Total, Bistrita-Nasaud, Anul 2001, Numar, 11
Total, Bistrita-Nasaud, Anul 2002, Numar, 9
Total, Bistrita-Nasaud, Anul 2003, Numar, 7
Total, Bistrita-Nasaud, Anul 2004, Numar, 7
Total, Bistrita-Nasaud, Anul 2005, Numar, 10
Total, Bistrita-Nasaud, Anul 2006, Numar, 9
Total, Bistrita-Nasaud, Anul 2007, Numar, 3
Total, Bistrita-Nasaud, Anul 2008, Numar, 3
Total, Bistrita-Nasaud, Anul 2009, Numar, 3
Total, Bistrita-Nasaud, Anul 2010, Numar, 3
