Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
TOTAL, Anul 2008, Numar persoane, 11336676
TOTAL, Anul 2009, Numar persoane, 11790494
TOTAL, Anul 2010, Numar persoane, 11931011
TOTAL, Anul 2011, Numar persoane, 12089562
TOTAL, Anul 2012, Numar persoane, 12103555
TOTAL, Anul 2013, Numar persoane, 12268443
TOTAL, Anul 2014, Numar persoane, 12454909
TOTAL, Anul 2015, Numar persoane, 12634419
TOTAL, Anul 2016, Numar persoane, 12853110
TOTAL, Anul 2017, Numar persoane, 13229699
MACROREGIUNEA UNU, Anul 2008, Numar persoane, 2884508
MACROREGIUNEA UNU, Anul 2009, Numar persoane, 3029394
MACROREGIUNEA UNU, Anul 2010, Numar persoane, 3090846
MACROREGIUNEA UNU, Anul 2011, Numar persoane, 3187620
MACROREGIUNEA UNU, Anul 2012, Numar persoane, 3129074
MACROREGIUNEA UNU, Anul 2013, Numar persoane, 3126998
MACROREGIUNEA UNU, Anul 2014, Numar persoane, 3264541
MACROREGIUNEA UNU, Anul 2015, Numar persoane, 3326630
MACROREGIUNEA UNU, Anul 2016, Numar persoane, 3429971
MACROREGIUNEA UNU, Anul 2017, Numar persoane, 3570281
Regiunea NORD-VEST, Anul 2008, Numar persoane, 1434038
Regiunea NORD-VEST, Anul 2009, Numar persoane, 1570587
Regiunea NORD-VEST, Anul 2010, Numar persoane, 1591467
Regiunea NORD-VEST, Anul 2011, Numar persoane, 1632031
Regiunea NORD-VEST, Anul 2012, Numar persoane, 1610125
Regiunea NORD-VEST, Anul 2013, Numar persoane, 1602050
Regiunea NORD-VEST, Anul 2014, Numar persoane, 1634948
Regiunea NORD-VEST, Anul 2015, Numar persoane, 1660780
Regiunea NORD-VEST, Anul 2016, Numar persoane, 1721942
Regiunea NORD-VEST, Anul 2017, Numar persoane, 1801055
Bihor, Anul 2008, Numar persoane, 292808
Bihor, Anul 2009, Numar persoane, 302910
Bihor, Anul 2010, Numar persoane, 311555
