
Prezenta la vot - Parlamentare 2012 (2012-2015 bazate pe rezultatele 2012)/2016 pe regiuni de dezvoltare
Regiunea NORD-EST, Anul 2008, Procente, 39.48
Regiunea NORD-EST, Anul 2009, Procente, 39.48
Regiunea NORD-EST, Anul 2010, Procente, 39.48
Regiunea NORD-EST, Anul 2011, Procente, 39.48
Regiunea NORD-EST, Anul 2012, Procente, 39.28
Regiunea NORD-EST, Anul 2013, Procente, 39.28
Regiunea NORD-EST, Anul 2014, Procente, 39.28
Regiunea NORD-EST, Anul 2015, Procente, 39.28
Regiunea NORD-EST, Anul 2016, Procente, 36.03
Regiunea NORD-EST, Anul 2017, Procente, 36.03

Regiunea SUD-EST, Anul 2008, Procente, 40.59
Regiunea SUD-EST, Anul 2009, Procente, 40.59
Regiunea SUD-EST, Anul 2010, Procente, 40.59
Regiunea SUD-EST, Anul 2011, Procente, 40.59
Regiunea SUD-EST, Anul 2012, Procente, 41.21
Regiunea SUD-EST, Anul 2013, Procente, 41.21
Regiunea SUD-EST, Anul 2014, Procente, 41.21
Regiunea SUD-EST, Anul 2015, Procente, 41.21
Regiunea SUD-EST, Anul 2016, Procente, 39.27
Regiunea SUD-EST, Anul 2017, Procente, 39.27

Regiunea SUD-MUNTENIA, Anul 2008, Procente, 40.96
Regiunea SUD-MUNTENIA, Anul 2009, Procente, 40.96
Regiunea SUD-MUNTENIA, Anul 2010, Procente, 40.96
Regiunea SUD-MUNTENIA, Anul 2011, Procente, 40.96
Regiunea SUD-MUNTENIA, Anul 2012, Procente, 47.12
Regiunea SUD-MUNTENIA, Anul 2013, Procente, 47.12
Regiunea SUD-MUNTENIA, Anul 2014, Procente, 47.12
Regiunea SUD-MUNTENIA, Anul 2015, Procente, 47.12
Regiunea SUD-MUNTENIA, Anul 2016, Procente, 40.70
Regiunea SUD-MUNTENIA, Anul 2017, Procente, 40.70

Regiunea SUD-VEST OLTENIA, Anul 2008, Procente, 43.79
Regiunea SUD-VEST OLTENIA, Anul 2009, Procente, 43.79
Regiunea SUD-VEST OLTENIA, Anul 2010, Procente, 43.79
Regiunea SUD-VEST OLTENIA, Anul 2011, Procente, 43.79
Regiunea SUD-VEST OLTENIA, Anul 2012, Procente, 48.47
Regiunea SUD-VEST OLTENIA, Anul 2013, Procente, 48.47
Regiunea SUD-VEST OLTENIA, Anul 2014, Procente, 48.47
Regiunea SUD-VEST OLTENIA, Anul 2015, Procente, 48.47
Regiunea SUD-VEST OLTENIA, Anul 2016, Procente, 43.67
Regiunea SUD-VEST OLTENIA, Anul 2017, Procente, 43.67

Regiunea VEST, Anul 2008, Procente, 37.31
Regiunea VEST, Anul 2009, Procente, 37.31
Regiunea VEST, Anul 2010, Procente, 37.31
Regiunea VEST, Anul 2011, Procente, 37.31
Regiunea VEST, Anul 2012, Procente, 37.35
Regiunea VEST, Anul 2013, Procente, 37.35
Regiunea VEST, Anul 2014, Procente, 37.35
Regiunea VEST, Anul 2015, Procente, 37.35
Regiunea VEST, Anul 2016, Procente, 37.95
Regiunea VEST, Anul 2017, Procente, 37.95

Regiunea NORD-VEST, Anul 2008, Procente, 39.45
Regiunea NORD-VEST, Anul 2009, Procente, 39.45
Regiunea NORD-VEST, Anul 2010, Procente, 39.45
Regiunea NORD-VEST, Anul 2011, Procente, 39.45
Regiunea NORD-VEST, Anul 2012, Procente, 38.31
Regiunea NORD-VEST, Anul 2013, Procente, 38.31
Regiunea NORD-VEST, Anul 2014, Procente, 38.31
Regiunea NORD-VEST, Anul 2015, Procente, 38.31
Regiunea NORD-VEST, Anul 2016, Procente, 38.49
Regiunea NORD-VEST, Anul 2017, Procente, 38.49

Regiunea CENTRU, Anul 2008, Procente, 38.47
Regiunea CENTRU, Anul 2009, Procente, 38.47
Regiunea CENTRU, Anul 2010, Procente, 38.47
Regiunea CENTRU, Anul 2011, Procente, 38.47
Regiunea CENTRU, Anul 2012, Procente, 40.88
Regiunea CENTRU, Anul 2013, Procente, 40.88
Regiunea CENTRU, Anul 2014, Procente, 40.88
Regiunea CENTRU, Anul 2015, Procente, 40.88
Regiunea CENTRU, Anul 2016, Procente, 39.47
Regiunea CENTRU, Anul 2017, Procente, 39.47

Regiunea BUCURESTI - ILFOV, Anul 2008, Procente, 37.72
Regiunea BUCURESTI - ILFOV, Anul 2009, Procente, 37.72
Regiunea BUCURESTI - ILFOV, Anul 2010, Procente, 37.72
Regiunea BUCURESTI - ILFOV, Anul 2011, Procente, 37.72
Regiunea BUCURESTI - ILFOV, Anul 2012, Procente, 41.27
Regiunea BUCURESTI - ILFOV, Anul 2013, Procente, 41.27
Regiunea BUCURESTI - ILFOV, Anul 2014, Procente, 41.27
Regiunea BUCURESTI - ILFOV, Anul 2015, Procente, 41.27
Regiunea BUCURESTI - ILFOV, Anul 2016, Procente, 41.69
Regiunea BUCURESTI - ILFOV, Anul 2017, Procente, 41.69
