Country;Election type;Year;Voter Turnout;Total vote;Registration;VAP Turnout;Voting age population;Population;Invalid votes;Compulsory voting
Albania;Parliamentary;2021.0;46.32 %;1,662,274 ;3,588,869 ;68.35 %;2,432,013 ;3,088,385 ;4.99 %;No
Albania;Parliamentary;2017.0;46.76 %;1,614,479 ;3,452,324 ;68.50 %;2,356,975 ;3,047,987 ;1.97 %;No
Albania;Parliamentary;2013.0;53.31 %;1,744,261 ;3,271,885 ;76.68 %;2,274,815 ;3,011,405 ;1.84 %;No
Albania;Parliamentary;2009.0;50.77 %;1,566,079 ;3,084,946 ;69.11 %;2,266,221 ;3,194,417 ;2.99 %;No
Albania;Parliamentary;2005.0;48.73 %;1,389,320 ;2,850,821 ;58.96 %;2,356,387 ;3,563,112 ;1.58 %;No
Albania;Parliamentary;2001.0;54.95 %;1,373,210 ;2,499,238 ;67.30 %;2,040,574 ;3,490,435 ;3.60 %;No
Albania;Parliamentary;1997.0;72.56 %;1,412,929 ;1,947,235 ;63.40 %;2,228,430 ;3,510,500 ;;No
Albania;Parliamentary;1996.0;89.08 %;1,963,344 ;2,204,002 ;89.53 %;2,193,030 ;3,481,000 ;;No
Albania;Parliamentary;1992.0;91.50 %;1,830,000 ;2,000,000 ;89.21 %;2,051,430 ;3,363,000 ;;No
Albania;Parliamentary;1991.0;98.92 %;1,963,568 ;1,984,933 ;98.89 %;1,985,550 ;3,255,000 ;;No
Andorra;Parliamentary;2019.0;68.33 %;18,638 ;27,278 ;26.19 %;71,161 ;85,684 ;4.59 %;No
Andorra;Parliamentary;2015.0;65.62 %;16,084 ;24,512 ;22.97 %;70,017 ;85,458 ;8.17 %;No
Andorra;Parliamentary;2011.0;74.12 %;16,197 ;21,852 ;23.38 %;69,267 ;84,825 ;4.24 %;No
Andorra;Parliamentary;2009.0;75.34 %;15,293 ;20,298 ;25.98 %;58,867 ;83,888 ;0.89 %;No
Andorra;Parliamentary;2005.0;80.38 %;12,879 ;16,022 ;21.02 %;61,268 ;71,201 ;0.90 %;No
Andorra;Parliamentary;2001.0;81.64 %;10,892 ;13,342 ;15.94 %;68,338 ;67,627 ;5.70 %;No
Andorra;Parliamentary;1997.0;81.59 %;8,842 ;10,837 ;81.59 %;10,837 ;70,000 ;5.19 %;No
Andorra;Parliamentary;1993.0;80.92 %;7,829 ;9,675 ;80.92 %;9,675 ;63,000 ;;No
Austria;Parliamentary;2019.0;75.59 %;4,835,469 ;6,396,812 ;64.40 %;7,508,169 ;8,828,456 ;1.20 %;No
Austria;Parliamentary;2017.0;80.00 %;5,120,881 ;6,400,993 ;68.79 %;7,443,978 ;8,754,413 ;0.99 %;No
Austria;Parliamentary;2013.0;74.91 %;4,782,563 ;6,384,331 ;65.87 %;7,260,801 ;8,562,634 ;1.90 %;No
Austria;Parliamentary;2008.0;78.81 %;4,990,952 ;6,333,109 ;75.61 %;6,600,595 ;8,205,533 ;2.10 %;No
Austria;Parliamentary;2006.0;78.49 %;4,793,780 ;6,107,892 ;73.21 %;6,548,332 ;8,192,880 ;1.78 %;No
Austria;Parliamentary;2002.0;84.27 %;4,982,261 ;5,912,592 ;77.45 %;6,432,768 ;8,150,835 ;1.50 %;No
Austria;Parliamentary;1999.0;80.42 %;4,695,192 ;5,838,373 ;72.64 %;6,463,384 ;8,156,351 ;1.50 %;No
Austria;Parliamentary;1995.0;85.98 %;4,959,539 ;5,768,009 ;78.64 %;6,306,300 ;8,085,000 ;2.30 %;No
Austria;Parliamentary;1994.0;82.46 %;4,760,987 ;5,774,000 ;76.02 %;6,263,129 ;8,029,717 ;1.70 %;No
Austria;Parliamentary;1990.0;86.14 %;4,848,741 ;5,628,912 ;80.47 %;6,025,250 ;7,825,000 ;3.00 %;No
Austria;Parliamentary;1986.0;90.46 %;4,940,298 ;5,461,414 ;87.07 %;5,673,750 ;7,565,000 ;1.80 %;No
Austria;Parliamentary;1983.0;92.59 %;4,922,454 ;5,316,436 ;86.91 %;5,664,000 ;7,552,000 ;1.40 %;No
Austria;Parliamentary;1979.0;92.24 %;4,784,173 ;5,186,735 ;86.81 %;5,510,770 ;7,549,000 ;1.10 %;No
Austria;Parliamentary;1975.0;92.90 %;4,662,684 ;5,019,277 ;86.65 %;5,381,090 ;7,579,000 ;1.10 %;No
Austria;Parliamentary;1971.0;92.44 %;4,607,616 ;4,984,448 ;88.23 %;5,222,000 ;7,460,000 ;1.10 %;No
Austria;Parliamentary;1970.0;91.78 %;4,630,851 ;5,045,841 ;89.52 %;5,173,000 ;7,390,000 ;0.90 %;No
Austria;Parliamentary;1966.0;93.80 %;4,583,970 ;4,886,818 ;89.83 %;5,103,000 ;7,290,000 ;1.10 %;No
