Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, TOTAL, Anul 1990, Ani, 69.56
Total, Total, TOTAL, Anul 1991, Ani, 69.76
Total, Total, TOTAL, Anul 1992, Ani, 69.78
Total, Total, TOTAL, Anul 1993, Ani, 69.52
Total, Total, TOTAL, Anul 1994, Ani, 69.48
Total, Total, TOTAL, Anul 1995, Ani, 69.4
Total, Total, TOTAL, Anul 1996, Ani, 69.05
Total, Total, TOTAL, Anul 1997, Ani, 68.95
Total, Total, TOTAL, Anul 1998, Ani, 69.24
Total, Total, TOTAL, Anul 1999, Ani, 69.74
Total, Total, TOTAL, Anul 2000, Ani, 70.53
Total, Total, TOTAL, Anul 2001, Ani, 71.19
Total, Total, TOTAL, Anul 2002, Ani, 71.18
Total, Total, TOTAL, Anul 2003, Ani, 71.01
Total, Total, TOTAL, Anul 2004, Ani, 71.32
Total, Total, TOTAL, Anul 2005, Ani, 71.76
Total, Total, TOTAL, Anul 2006, Ani, 72.22
Total, Total, TOTAL, Anul 2007, Ani, 72.61
Total, Total, TOTAL, Anul 2008, Ani, 73.47
Total, Total, TOTAL, Anul 2009, Ani, 73.76
Total, Total, TOTAL, Anul 2010, Ani, 73.9
Total, Total, TOTAL, Anul 2011, Ani, 74.2
Total, Total, TOTAL, Anul 2012, Ani, 74.69
Total, Total, TOTAL, Anul 2013, Ani, 75.15
Total, Total, TOTAL, Anul 2014, Ani, 75.41
Total, Total, TOTAL, Anul 2015, Ani, 75.35
Total, Total, TOTAL, Anul 2016, Ani, 75.56
Total, Total, TOTAL, Anul 2017, Ani, 75.73
Total, Total, MACROREGIUNEA UNU, Anul 2000, Ani, 70.32
Total, Total, MACROREGIUNEA UNU, Anul 2005, Ani, 71.49
Total, Total, MACROREGIUNEA UNU, Anul 2006, Ani, 71.89
Total, Total, MACROREGIUNEA UNU, Anul 2007, Ani, 72.29
Total, Total, MACROREGIUNEA UNU, Anul 2008, Ani, 73.31
Total, Total, MACROREGIUNEA UNU, Anul 2009, Ani, 73.68
Total, Total, MACROREGIUNEA UNU, Anul 2010, Ani, 73.87
Total, Total, MACROREGIUNEA UNU, Anul 2011, Ani, 74.28
Total, Total, MACROREGIUNEA UNU, Anul 2012, Ani, 74.74
Total, Total, MACROREGIUNEA UNU, Anul 2013, Ani, 75.15
Total, Total, MACROREGIUNEA UNU, Anul 2014, Ani, 75.45
Total, Total, MACROREGIUNEA UNU, Anul 2015, Ani, 75.46
Total, Total, MACROREGIUNEA UNU, Anul 2016, Ani, 75.66
Total, Total, MACROREGIUNEA UNU, Anul 2017, Ani, 75.86
Total, Total, Regiunea NORD-VEST, Anul 1990, Ani, 68.75
Total, Total, Regiunea NORD-VEST, Anul 1991, Ani, 68.84
Total, Total, Regiunea NORD-VEST, Anul 1992, Ani, 68.49
Total, Total, Regiunea NORD-VEST, Anul 1993, Ani, 68.06
Total, Total, Regiunea NORD-VEST, Anul 1994, Ani, 67.91
Total, Total, Regiunea NORD-VEST, Anul 1995, Ani, 67.98
Total, Total, Regiunea NORD-VEST, Anul 1996, Ani, 68.22
Total, Total, Regiunea NORD-VEST, Anul 1997, Ani, 68.29
Total, Total, Regiunea NORD-VEST, Anul 1998, Ani, 68.34
Total, Total, Regiunea NORD-VEST, Anul 1999, Ani, 68.72
Total, Total, Regiunea NORD-VEST, Anul 2000, Ani, 69.5
Total, Total, Regiunea NORD-VEST, Anul 2001, Ani, 70.21
Total, Total, Regiunea NORD-VEST, Anul 2002, Ani, 70.2
Total, Total, Regiunea NORD-VEST, Anul 2003, Ani, 70.1
Total, Total, Regiunea NORD-VEST, Anul 2004, Ani, 70.56
Total, Total, Regiunea NORD-VEST, Anul 2005, Ani, 71
Total, Total, Regiunea NORD-VEST, Anul 2006, Ani, 71.38
Total, Total, Regiunea NORD-VEST, Anul 2007, Ani, 71.76
Total, Total, Regiunea NORD-VEST, Anul 2008, Ani, 72.87
Total, Total, Regiunea NORD-VEST, Anul 2009, Ani, 73.3
Total, Total, Regiunea NORD-VEST, Anul 2010, Ani, 73.47
Total, Total, Regiunea NORD-VEST, Anul 2011, Ani, 73.9
Total, Total, Regiunea NORD-VEST, Anul 2012, Ani, 74.36
Total, Total, Regiunea NORD-VEST, Anul 2013, Ani, 74.71
Total, Total, Regiunea NORD-VEST, Anul 2014, Ani, 75.01
Total, Total, Regiunea NORD-VEST, Anul 2015, Ani, 75.06
Total, Total, Regiunea NORD-VEST, Anul 2016, Ani, 75.27
Total, Total, Regiunea NORD-VEST, Anul 2017, Ani, 75.49
Total, Total, Bihor, Anul 1990, Ani, 68.13
Total, Total, Bihor, Anul 1991, Ani, 68.3
Total, Total, Bihor, Anul 1992, Ani, 68.1
Total, Total, Bihor, Anul 1993, Ani, 67.46
Total, Total, Bihor, Anul 1994, Ani, 67.42
Total, Total, Bihor, Anul 1995, Ani, 67.52
Total, Total, Bihor, Anul 1996, Ani, 67.37
Total, Total, Bihor, Anul 1997, Ani, 67.2
Total, Total, Bihor, Anul 1998, Ani, 67.26
Total, Total, Bihor, Anul 1999, Ani, 67.64
Total, Total, Bihor, Anul 2000, Ani, 68.47
Total, Total, Bihor, Anul 2001, Ani, 69.49
Total, Total, Bihor, Anul 2002, Ani, 69.53
Total, Total, Bihor, Anul 2003, Ani, 69.36
Total, Total, Bihor, Anul 2004, Ani, 69.88
Total, Total, Bihor, Anul 2005, Ani, 70.38
Total, Total, Bihor, Anul 2006, Ani, 70.9
Total, Total, Bihor, Anul 2007, Ani, 71.25
Total, Total, Bihor, Anul 2008, Ani, 72.39
Total, Total, Bihor, Anul 2009, Ani, 72.73
Total, Total, Bihor, Anul 2010, Ani, 72.81
Total, Total, Bihor, Anul 2011, Ani, 73.37
Total, Total, Bihor, Anul 2012, Ani, 73.88
Total, Total, Bihor, Anul 2013, Ani, 74.24
Total, Total, Bihor, Anul 2014, Ani, 74.38
Total, Total, Bihor, Anul 2015, Ani, 74.41
Total, Total, Bihor, Anul 2016, Ani, 74.73
Total, Total, Bihor, Anul 2017, Ani, 75.08
Total, Total, Bistrita-Nasaud, Anul 1990, Ani, 69.58
Total, Total, Bistrita-Nasaud, Anul 1991, Ani, 69.88
Total, Total, Bistrita-Nasaud, Anul 1992, Ani, 69.83
Total, Total, Bistrita-Nasaud, Anul 1993, Ani, 69.96
Total, Total, Bistrita-Nasaud, Anul 1994, Ani, 69.79
Total, Total, Bistrita-Nasaud, Anul 1995, Ani, 69.78
Total, Total, Bistrita-Nasaud, Anul 1996, Ani, 70.24
Total, Total, Bistrita-Nasaud, Anul 1997, Ani, 70.47
Total, Total, Bistrita-Nasaud, Anul 1998, Ani, 70.2
Total, Total, Bistrita-Nasaud, Anul 1999, Ani, 70.07
Total, Total, Bistrita-Nasaud, Anul 2000, Ani, 71
Total, Total, Bistrita-Nasaud, Anul 2001, Ani, 72.25
Total, Total, Bistrita-Nasaud, Anul 2002, Ani, 71.79
Total, Total, Bistrita-Nasaud, Anul 2003, Ani, 71.85
Total, Total, Bistrita-Nasaud, Anul 2004, Ani, 72.56
Total, Total, Bistrita-Nasaud, Anul 2005, Ani, 72.75
Total, Total, Bistrita-Nasaud, Anul 2006, Ani, 72.74
Total, Total, Bistrita-Nasaud, Anul 2007, Ani, 72.88
