
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Bauturi alcoolice (l), Total, TOTAL, Anul 2008, Litri, 1.361
Bauturi alcoolice (l), Total, TOTAL, Anul 2009, Litri, 1.304
Bauturi alcoolice (l), Total, TOTAL, Anul 2010, Litri, 1.245
Bauturi alcoolice (l), Total, TOTAL, Anul 2011, Litri, 1.204
Bauturi alcoolice (l), Total, TOTAL, Anul 2012, Litri, 1.254
Bauturi alcoolice (l), Total, TOTAL, Anul 2013, Litri, 1.302
Bauturi alcoolice (l), Total, TOTAL, Anul 2014, Litri, 1.284
Bauturi alcoolice (l), Total, TOTAL, Anul 2015, Litri, 1.454
Bauturi alcoolice (l), Total, TOTAL, Anul 2016, Litri, 1.557
Bauturi alcoolice (l), Total, TOTAL, Anul 2017, Litri, 1.698
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2008, Litri, 1.284
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2009, Litri, 1.255
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2010, Litri, 1.257
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2011, Litri, 1.144
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2012, Litri, 1.23
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2013, Litri, 1.304
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2014, Litri, 1.265
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2015, Litri, 1.529
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2016, Litri, 1.493
Bauturi alcoolice (l), Total, MACROREGIUNEA UNU, Anul 2017, Litri, 1.757
Bauturi alcoolice (l), Total, Regiunea NORD-VEST, Anul 2008, Litri, 1.284
Bauturi alcoolice (l), Total, Regiunea NORD-VEST, Anul 2009, Litri, 1.255
Bauturi alcoolice (l), Total, Regiunea NORD-VEST, Anul 2010, Litri, 1.257
