
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Fructe  total (kg), Total, TOTAL, Anul 2008, Kilograme, 2.444
Fructe  total (kg), Total, TOTAL, Anul 2009, Kilograme, 2.657
Fructe  total (kg), Total, TOTAL, Anul 2010, Kilograme, 2.632
Fructe  total (kg), Total, TOTAL, Anul 2011, Kilograme, 2.476
Fructe  total (kg), Total, TOTAL, Anul 2012, Kilograme, 2.442
Fructe  total (kg), Total, TOTAL, Anul 2013, Kilograme, 2.462
Fructe  total (kg), Total, TOTAL, Anul 2014, Kilograme, 2.75
Fructe  total (kg), Total, TOTAL, Anul 2015, Kilograme, 2.786
Fructe  total (kg), Total, TOTAL, Anul 2016, Kilograme, 2.89
Fructe  total (kg), Total, TOTAL, Anul 2017, Kilograme, 3.036
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2008, Kilograme, 2.329
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2009, Kilograme, 2.512
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2010, Kilograme, 2.401
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2011, Kilograme, 2.415
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2012, Kilograme, 2.34
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2013, Kilograme, 2.539
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2014, Kilograme, 2.88
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2015, Kilograme, 2.893
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2016, Kilograme, 3.01
Fructe  total (kg), Total, MACROREGIUNEA UNU, Anul 2017, Kilograme, 3.094
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2008, Kilograme, 2.329
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2009, Kilograme, 2.512
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2010, Kilograme, 2.401
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2011, Kilograme, 2.415
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2012, Kilograme, 2.34
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2013, Kilograme, 2.539
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2014, Kilograme, 2.88
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2015, Kilograme, 2.893
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2016, Kilograme, 3.01
Fructe  total (kg), Total, Regiunea CENTRU, Anul 2017, Kilograme, 3.094
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2008, Kilograme, 2.329
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2009, Kilograme, 2.512
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2010, Kilograme, 2.401
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2011, Kilograme, 2.415
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2012, Kilograme, 2.34
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2013, Kilograme, 2.539
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2014, Kilograme, 2.88
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2015, Kilograme, 2.893
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2016, Kilograme, 3.01
Fructe  total (kg), Total, Regiunea NORD-VEST, Anul 2017, Kilograme, 3.094
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2008, Kilograme, 2.308
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2009, Kilograme, 2.593
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2010, Kilograme, 2.489
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2011, Kilograme, 2.333
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2012, Kilograme, 2.293
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2013, Kilograme, 2.26
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2014, Kilograme, 2.678
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2015, Kilograme, 2.719
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2016, Kilograme, 2.721
Fructe  total (kg), Total, MACROREGIUNEA DOI, Anul 2017, Kilograme, 3.012
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2008, Kilograme, 2.308
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2009, Kilograme, 2.593
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2010, Kilograme, 2.489
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2011, Kilograme, 2.333
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2012, Kilograme, 2.293
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2013, Kilograme, 2.26
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2014, Kilograme, 2.678
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2015, Kilograme, 2.719
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2016, Kilograme, 2.721
Fructe  total (kg), Total, Regiunea NORD-EST, Anul 2017, Kilograme, 3.012
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2008, Kilograme, 2.308
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2009, Kilograme, 2.593
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2010, Kilograme, 2.489
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2011, Kilograme, 2.333
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2012, Kilograme, 2.293
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2013, Kilograme, 2.26
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2014, Kilograme, 2.678
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2015, Kilograme, 2.719
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2016, Kilograme, 2.721
Fructe  total (kg), Total, Regiunea SUD-EST, Anul 2017, Kilograme, 3.012
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2008, Kilograme, 2.894
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2009, Kilograme, 3.163
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2010, Kilograme, 3.264
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2011, Kilograme, 2.92
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2012, Kilograme, 2.786
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2013, Kilograme, 2.798
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2014, Kilograme, 3.042
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2015, Kilograme, 3.038
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2016, Kilograme, 3.185
Fructe  total (kg), Total, MACROREGIUNEA TREI, Anul 2017, Kilograme, 3.217
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2008, Kilograme, 2.894
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2009, Kilograme, 3.163
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2010, Kilograme, 3.264
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2011, Kilograme, 2.92
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2012, Kilograme, 2.786
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2013, Kilograme, 2.798
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2014, Kilograme, 3.042
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2015, Kilograme, 3.038
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2016, Kilograme, 3.185
Fructe  total (kg), Total, Regiunea SUD-MUNTENIA, Anul 2017, Kilograme, 3.217
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Kilograme, 2.894
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Kilograme, 3.163
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Kilograme, 3.264
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Kilograme, 2.92
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Kilograme, 2.786
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Kilograme, 2.798
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Kilograme, 3.042
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Kilograme, 3.038
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Kilograme, 3.185
Fructe  total (kg), Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Kilograme, 3.217
Fructe  total (kg), Total, MACROREGIUNEA PATRU, Anul 2008, Kilograme, 2.207
Fructe  total (kg), Total, MACROREGIUNEA PATRU, Anul 2009, Kilograme, 2.274
