
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Legume si conserve din legume, Total, TOTAL, Anul 2008, Kg in echivalent legume proaspete, 4.462
Legume si conserve din legume, Total, TOTAL, Anul 2009, Kg in echivalent legume proaspete, 4.74
Legume si conserve din legume, Total, TOTAL, Anul 2010, Kg in echivalent legume proaspete, 4.433
Legume si conserve din legume, Total, TOTAL, Anul 2011, Kg in echivalent legume proaspete, 4.59
Legume si conserve din legume, Total, TOTAL, Anul 2012, Kg in echivalent legume proaspete, 4.441
Legume si conserve din legume, Total, TOTAL, Anul 2013, Kg in echivalent legume proaspete, 4.362
Legume si conserve din legume, Total, TOTAL, Anul 2014, Kg in echivalent legume proaspete, 4.563
Legume si conserve din legume, Total, TOTAL, Anul 2015, Kg in echivalent legume proaspete, 4.444
Legume si conserve din legume, Total, TOTAL, Anul 2016, Kg in echivalent legume proaspete, 4.539
Legume si conserve din legume, Total, TOTAL, Anul 2017, Kg in echivalent legume proaspete, 4.761
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2008, Kg in echivalent legume proaspete, 3.406
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2009, Kg in echivalent legume proaspete, 3.729
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2010, Kg in echivalent legume proaspete, 3.417
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2011, Kg in echivalent legume proaspete, 3.525
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2012, Kg in echivalent legume proaspete, 3.444
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2013, Kg in echivalent legume proaspete, 3.416
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2014, Kg in echivalent legume proaspete, 3.544
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2015, Kg in echivalent legume proaspete, 3.526
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2016, Kg in echivalent legume proaspete, 3.636
Legume si conserve din legume, Total, MACROREGIUNEA UNU, Anul 2017, Kg in echivalent legume proaspete, 3.839
Legume si conserve din legume, Total, Regiunea CENTRU, Anul 2008, Kg in echivalent legume proaspete, 3.406
Legume si conserve din legume, Total, Regiunea CENTRU, Anul 2009, Kg in echivalent legume proaspete, 3.729
Legume si conserve din legume, Total, Regiunea CENTRU, Anul 2010, Kg in echivalent legume proaspete, 3.417
