Categorii de unitati sanitare, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Cabinete stomatologice, Total, TOTAL, Anul 1997, Numar, 3033
Cabinete stomatologice, Total, TOTAL, Anul 1998, Numar, 2973
Cabinete stomatologice, Total, TOTAL, Anul 1999, Numar, 3405
Cabinete stomatologice, Total, TOTAL, Anul 2000, Numar, 6664
Cabinete stomatologice, Total, TOTAL, Anul 2001, Numar, 7236
Cabinete stomatologice, Total, TOTAL, Anul 2002, Numar, 7525
Cabinete stomatologice, Total, TOTAL, Anul 2003, Numar, 8209
Cabinete stomatologice, Total, TOTAL, Anul 2004, Numar, 8544
Cabinete stomatologice, Total, TOTAL, Anul 2005, Numar, 9081
Cabinete stomatologice, Total, TOTAL, Anul 2006, Numar, 9948
Cabinete stomatologice, Total, TOTAL, Anul 2007, Numar, 10532
Cabinete stomatologice, Total, TOTAL, Anul 2008, Numar, 11025
Cabinete stomatologice, Total, TOTAL, Anul 2009, Numar, 11683
Cabinete stomatologice, Total, TOTAL, Anul 2010, Numar, 12036
Cabinete stomatologice, Total, TOTAL, Anul 2011, Numar, 12613
Cabinete stomatologice, Total, TOTAL, Anul 2012, Numar, 12904
Cabinete stomatologice, Total, TOTAL, Anul 2013, Numar, 13458
Cabinete stomatologice, Total, TOTAL, Anul 2014, Numar, 14052
Cabinete stomatologice, Total, TOTAL, Anul 2015, Numar, 14763
Cabinete stomatologice, Total, TOTAL, Anul 2016, Numar, 14879
Cabinete stomatologice, Total, TOTAL, Anul 2017, Numar, 15095
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 1997, Numar, 863
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 1998, Numar, 895
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 1999, Numar, 927
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 1772
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 1857
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 1970
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 2092
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 2164
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 2294
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 2533
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 2774
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 2932
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 3139
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2010, Numar, 3297
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2011, Numar, 3532
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2012, Numar, 3610
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2013, Numar, 3774
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2014, Numar, 3952
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2015, Numar, 4065
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2016, Numar, 4084
Cabinete stomatologice, Total, MACROREGIUNEA UNU, Anul 2017, Numar, 4043
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 1997, Numar, 457
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 1998, Numar, 456
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 1999, Numar, 417
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2000, Numar, 955
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2001, Numar, 973
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2002, Numar, 1014
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2003, Numar, 1109
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2004, Numar, 1152
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2005, Numar, 1259
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2006, Numar, 1407
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2007, Numar, 1597
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2008, Numar, 1698
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2009, Numar, 1835
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2010, Numar, 1955
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2011, Numar, 2128
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2012, Numar, 2195
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2013, Numar, 2273
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2014, Numar, 2377
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2015, Numar, 2434
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2016, Numar, 2450
Cabinete stomatologice, Total, Regiunea NORD-VEST, Anul 2017, Numar, 2388
Cabinete stomatologice, Total, Bihor, Anul 1997, Numar, 91
Cabinete stomatologice, Total, Bihor, Anul 1998, Numar, 98
Cabinete stomatologice, Total, Bihor, Anul 1999, Numar, 97
Cabinete stomatologice, Total, Bihor, Anul 2000, Numar, 233
Cabinete stomatologice, Total, Bihor, Anul 2001, Numar, 214
Cabinete stomatologice, Total, Bihor, Anul 2002, Numar, 267
Cabinete stomatologice, Total, Bihor, Anul 2003, Numar, 290
Cabinete stomatologice, Total, Bihor, Anul 2004, Numar, 289
Cabinete stomatologice, Total, Bihor, Anul 2005, Numar, 305
Cabinete stomatologice, Total, Bihor, Anul 2006, Numar, 325
Cabinete stomatologice, Total, Bihor, Anul 2007, Numar, 420
Cabinete stomatologice, Total, Bihor, Anul 2008, Numar, 473
Cabinete stomatologice, Total, Bihor, Anul 2009, Numar, 504
Cabinete stomatologice, Total, Bihor, Anul 2010, Numar, 566
Cabinete stomatologice, Total, Bihor, Anul 2011, Numar, 628
Cabinete stomatologice, Total, Bihor, Anul 2012, Numar, 617
Cabinete stomatologice, Total, Bihor, Anul 2013, Numar, 634
Cabinete stomatologice, Total, Bihor, Anul 2014, Numar, 664
Cabinete stomatologice, Total, Bihor, Anul 2015, Numar, 675
Cabinete stomatologice, Total, Bihor, Anul 2016, Numar, 692
Cabinete stomatologice, Total, Bihor, Anul 2017, Numar, 693
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 1997, Numar, 42
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 1998, Numar, 41
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 1999, Numar, 51
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2000, Numar, 101
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2001, Numar, 99
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2002, Numar, 76
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2003, Numar, 87
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2004, Numar, 89
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2005, Numar, 104
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2006, Numar, 119
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2007, Numar, 124
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2008, Numar, 129
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2009, Numar, 139
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2010, Numar, 146
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2011, Numar, 158
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2012, Numar, 167
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2013, Numar, 166
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2014, Numar, 181
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2015, Numar, 162
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2016, Numar, 159
Cabinete stomatologice, Total, Bistrita-Nasaud, Anul 2017, Numar, 161
Cabinete stomatologice, Total, Cluj, Anul 1997, Numar, 202
Cabinete stomatologice, Total, Cluj, Anul 1998, Numar, 192
Cabinete stomatologice, Total, Cluj, Anul 1999, Numar, 114
Cabinete stomatologice, Total, Cluj, Anul 2000, Numar, 324
Cabinete stomatologice, Total, Cluj, Anul 2001, Numar, 336
Cabinete stomatologice, Total, Cluj, Anul 2002, Numar, 356
Cabinete stomatologice, Total, Cluj, Anul 2003, Numar, 387
Cabinete stomatologice, Total, Cluj, Anul 2004, Numar, 413
Cabinete stomatologice, Total, Cluj, Anul 2005, Numar, 454
Cabinete stomatologice, Total, Cluj, Anul 2006, Numar, 505
Cabinete stomatologice, Total, Cluj, Anul 2007, Numar, 550
Cabinete stomatologice, Total, Cluj, Anul 2008, Numar, 552
Cabinete stomatologice, Total, Cluj, Anul 2009, Numar, 620
Cabinete stomatologice, Total, Cluj, Anul 2010, Numar, 664
Cabinete stomatologice, Total, Cluj, Anul 2011, Numar, 721
Cabinete stomatologice, Total, Cluj, Anul 2012, Numar, 757
Cabinete stomatologice, Total, Cluj, Anul 2013, Numar, 787
Cabinete stomatologice, Total, Cluj, Anul 2014, Numar, 820
Cabinete stomatologice, Total, Cluj, Anul 2015, Numar, 852
Cabinete stomatologice, Total, Cluj, Anul 2016, Numar, 856
Cabinete stomatologice, Total, Cluj, Anul 2017, Numar, 793
Cabinete stomatologice, Total, Maramures, Anul 1997, Numar, 62
Cabinete stomatologice, Total, Maramures, Anul 1998, Numar, 67
Cabinete stomatologice, Total, Maramures, Anul 1999, Numar, 68
Cabinete stomatologice, Total, Maramures, Anul 2000, Numar, 145
Cabinete stomatologice, Total, Maramures, Anul 2001, Numar, 165
Cabinete stomatologice, Total, Maramures, Anul 2002, Numar, 180
Cabinete stomatologice, Total, Maramures, Anul 2003, Numar, 200
Cabinete stomatologice, Total, Maramures, Anul 2004, Numar, 203
Cabinete stomatologice, Total, Maramures, Anul 2005, Numar, 215
Cabinete stomatologice, Total, Maramures, Anul 2006, Numar, 239
Cabinete stomatologice, Total, Maramures, Anul 2007, Numar, 264
Cabinete stomatologice, Total, Maramures, Anul 2008, Numar, 279
Cabinete stomatologice, Total, Maramures, Anul 2009, Numar, 289
Cabinete stomatologice, Total, Maramures, Anul 2010, Numar, 288
Cabinete stomatologice, Total, Maramures, Anul 2011, Numar, 298
Cabinete stomatologice, Total, Maramures, Anul 2012, Numar, 311
Cabinete stomatologice, Total, Maramures, Anul 2013, Numar, 317
Cabinete stomatologice, Total, Maramures, Anul 2014, Numar, 326
Cabinete stomatologice, Total, Maramures, Anul 2015, Numar, 337
Cabinete stomatologice, Total, Maramures, Anul 2016, Numar, 345
Cabinete stomatologice, Total, Maramures, Anul 2017, Numar, 354
Cabinete stomatologice, Total, Satu Mare, Anul 1997, Numar, 32
Cabinete stomatologice, Total, Satu Mare, Anul 1998, Numar, 29
Cabinete stomatologice, Total, Satu Mare, Anul 1999, Numar, 57
Cabinete stomatologice, Total, Satu Mare, Anul 2000, Numar, 103
Cabinete stomatologice, Total, Satu Mare, Anul 2001, Numar, 112
Cabinete stomatologice, Total, Satu Mare, Anul 2002, Numar, 84
Cabinete stomatologice, Total, Satu Mare, Anul 2003, Numar, 92
Cabinete stomatologice, Total, Satu Mare, Anul 2004, Numar, 101
Cabinete stomatologice, Total, Satu Mare, Anul 2005, Numar, 118
Cabinete stomatologice, Total, Satu Mare, Anul 2006, Numar, 140
Cabinete stomatologice, Total, Satu Mare, Anul 2007, Numar, 160
Cabinete stomatologice, Total, Satu Mare, Anul 2008, Numar, 179
Cabinete stomatologice, Total, Satu Mare, Anul 2009, Numar, 186
Cabinete stomatologice, Total, Satu Mare, Anul 2010, Numar, 190
Cabinete stomatologice, Total, Satu Mare, Anul 2011, Numar, 205
Cabinete stomatologice, Total, Satu Mare, Anul 2012, Numar, 216
Cabinete stomatologice, Total, Satu Mare, Anul 2013, Numar, 226
Cabinete stomatologice, Total, Satu Mare, Anul 2014, Numar, 233
Cabinete stomatologice, Total, Satu Mare, Anul 2015, Numar, 240
Cabinete stomatologice, Total, Satu Mare, Anul 2016, Numar, 227
Cabinete stomatologice, Total, Satu Mare, Anul 2017, Numar, 213
Cabinete stomatologice, Total, Salaj, Anul 1997, Numar, 28
Cabinete stomatologice, Total, Salaj, Anul 1998, Numar, 29
Cabinete stomatologice, Total, Salaj, Anul 1999, Numar, 30
Cabinete stomatologice, Total, Salaj, Anul 2000, Numar, 49
Cabinete stomatologice, Total, Salaj, Anul 2001, Numar, 47
Cabinete stomatologice, Total, Salaj, Anul 2002, Numar, 51
Cabinete stomatologice, Total, Salaj, Anul 2003, Numar, 53
Cabinete stomatologice, Total, Salaj, Anul 2004, Numar, 57
Cabinete stomatologice, Total, Salaj, Anul 2005, Numar, 63
Cabinete stomatologice, Total, Salaj, Anul 2006, Numar, 79
Cabinete stomatologice, Total, Salaj, Anul 2007, Numar, 79
Cabinete stomatologice, Total, Salaj, Anul 2008, Numar, 86
Cabinete stomatologice, Total, Salaj, Anul 2009, Numar, 97
Cabinete stomatologice, Total, Salaj, Anul 2010, Numar, 101
Cabinete stomatologice, Total, Salaj, Anul 2011, Numar, 118
Cabinete stomatologice, Total, Salaj, Anul 2012, Numar, 127
Cabinete stomatologice, Total, Salaj, Anul 2013, Numar, 143
Cabinete stomatologice, Total, Salaj, Anul 2014, Numar, 153
Cabinete stomatologice, Total, Salaj, Anul 2015, Numar, 168
Cabinete stomatologice, Total, Salaj, Anul 2016, Numar, 171
Cabinete stomatologice, Total, Salaj, Anul 2017, Numar, 174
Cabinete stomatologice, Total, Regiunea CENTRU, Anul 1997, Numar, 406
Cabinete stomatologice, Total, Regiunea CENTRU, Anul 1998, Numar, 439
Cabinete stomatologice, Total, Regiunea CENTRU, Anul 1999, Numar, 510
Cabinete stomatologice, Total, Regiunea CENTRU, Anul 2000, Numar, 817
