Categorii de unitati sanitare, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Cabinete medicale de medicina generala, Total, TOTAL, Anul 1997, Numar, 3636
Cabinete medicale de medicina generala, Total, TOTAL, Anul 1998, Numar, 3637
Cabinete medicale de medicina generala, Total, TOTAL, Anul 1999, Numar, 3820
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2000, Numar, 4698
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2001, Numar, 5220
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2002, Numar, 5758
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2003, Numar, 2483
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2004, Numar, 1021
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2005, Numar, 906
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2006, Numar, 1007
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2007, Numar, 1036
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2008, Numar, 1033
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2009, Numar, 1055
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2010, Numar, 1000
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2011, Numar, 990
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2012, Numar, 988
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2013, Numar, 966
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2014, Numar, 795
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2015, Numar, 770
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2016, Numar, 752
Cabinete medicale de medicina generala, Total, TOTAL, Anul 2017, Numar, 776
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 1997, Numar, 1007
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 1998, Numar, 994
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 1999, Numar, 1136
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 1355
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 1549
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 1644
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 697
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 250
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 277
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 272
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 304
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 247
Cabinete medicale de medicina generala, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 243
