Categorii de unitati sanitare, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Spitale, Total, TOTAL, Anul 1990, Numar, 423
Spitale, Total, TOTAL, Anul 1991, Numar, 427
Spitale, Total, TOTAL, Anul 1992, Numar, 430
Spitale, Total, TOTAL, Anul 1993, Numar, 433
Spitale, Total, TOTAL, Anul 1994, Numar, 415
Spitale, Total, TOTAL, Anul 1995, Numar, 412
Spitale, Total, TOTAL, Anul 1996, Numar, 413
Spitale, Total, TOTAL, Anul 1997, Numar, 418
Spitale, Total, TOTAL, Anul 1998, Numar, 416
Spitale, Total, TOTAL, Anul 1999, Numar, 428
Spitale, Total, TOTAL, Anul 2000, Numar, 442
Spitale, Total, TOTAL, Anul 2001, Numar, 446
Spitale, Total, TOTAL, Anul 2002, Numar, 447
Spitale, Total, TOTAL, Anul 2003, Numar, 427
Spitale, Total, TOTAL, Anul 2004, Numar, 425
Spitale, Total, TOTAL, Anul 2005, Numar, 433
Spitale, Total, TOTAL, Anul 2006, Numar, 436
Spitale, Total, TOTAL, Anul 2007, Numar, 447
Spitale, Total, TOTAL, Anul 2008, Numar, 458
Spitale, Total, TOTAL, Anul 2009, Numar, 474
Spitale, Total, TOTAL, Anul 2010, Numar, 503
Spitale, Total, TOTAL, Anul 2011, Numar, 464
Spitale, Total, TOTAL, Anul 2012, Numar, 473
Spitale, Total, TOTAL, Anul 2013, Numar, 499
Spitale, Total, TOTAL, Anul 2014, Numar, 527
Spitale, Total, TOTAL, Anul 2015, Numar, 554
Spitale, Total, TOTAL, Anul 2016, Numar, 567
Spitale, Total, TOTAL, Anul 2017, Numar, 576
Spitale, Total, MACROREGIUNEA UNU, Anul 1990, Numar, 109
Spitale, Total, MACROREGIUNEA UNU, Anul 1991, Numar, 109
Spitale, Total, MACROREGIUNEA UNU, Anul 1992, Numar, 109
Spitale, Total, MACROREGIUNEA UNU, Anul 1993, Numar, 109
Spitale, Total, MACROREGIUNEA UNU, Anul 1994, Numar, 106
Spitale, Total, MACROREGIUNEA UNU, Anul 1995, Numar, 103
Spitale, Total, MACROREGIUNEA UNU, Anul 1996, Numar, 105
Spitale, Total, MACROREGIUNEA UNU, Anul 1997, Numar, 107
Spitale, Total, MACROREGIUNEA UNU, Anul 1998, Numar, 107
Spitale, Total, MACROREGIUNEA UNU, Anul 1999, Numar, 109
Spitale, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 115
Spitale, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 116
Spitale, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 116
Spitale, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 110
Spitale, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 110
Spitale, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 112
Spitale, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 113
Spitale, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 117
Spitale, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 124
Spitale, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 129
Spitale, Total, MACROREGIUNEA UNU, Anul 2010, Numar, 134
Spitale, Total, MACROREGIUNEA UNU, Anul 2011, Numar, 127
Spitale, Total, MACROREGIUNEA UNU, Anul 2012, Numar, 129
Spitale, Total, MACROREGIUNEA UNU, Anul 2013, Numar, 139
Spitale, Total, MACROREGIUNEA UNU, Anul 2014, Numar, 147
Spitale, Total, MACROREGIUNEA UNU, Anul 2015, Numar, 152
Spitale, Total, MACROREGIUNEA UNU, Anul 2016, Numar, 153
Spitale, Total, MACROREGIUNEA UNU, Anul 2017, Numar, 154
Spitale, Total, Regiunea NORD-VEST, Anul 1990, Numar, 57
Spitale, Total, Regiunea NORD-VEST, Anul 1991, Numar, 57
Spitale, Total, Regiunea NORD-VEST, Anul 1992, Numar, 57
Spitale, Total, Regiunea NORD-VEST, Anul 1993, Numar, 57
Spitale, Total, Regiunea NORD-VEST, Anul 1994, Numar, 55
Spitale, Total, Regiunea NORD-VEST, Anul 1995, Numar, 54
Spitale, Total, Regiunea NORD-VEST, Anul 1996, Numar, 54
Spitale, Total, Regiunea NORD-VEST, Anul 1997, Numar, 54
Spitale, Total, Regiunea NORD-VEST, Anul 1998, Numar, 55
Spitale, Total, Regiunea NORD-VEST, Anul 1999, Numar, 55
Spitale, Total, Regiunea NORD-VEST, Anul 2000, Numar, 59
Spitale, Total, Regiunea NORD-VEST, Anul 2001, Numar, 60
Spitale, Total, Regiunea NORD-VEST, Anul 2002, Numar, 60
Spitale, Total, Regiunea NORD-VEST, Anul 2003, Numar, 60
Spitale, Total, Regiunea NORD-VEST, Anul 2004, Numar, 60
Spitale, Total, Regiunea NORD-VEST, Anul 2005, Numar, 61
Spitale, Total, Regiunea NORD-VEST, Anul 2006, Numar, 62
Spitale, Total, Regiunea NORD-VEST, Anul 2007, Numar, 64
Spitale, Total, Regiunea NORD-VEST, Anul 2008, Numar, 67
Spitale, Total, Regiunea NORD-VEST, Anul 2009, Numar, 69
Spitale, Total, Regiunea NORD-VEST, Anul 2010, Numar, 71
Spitale, Total, Regiunea NORD-VEST, Anul 2011, Numar, 69
Spitale, Total, Regiunea NORD-VEST, Anul 2012, Numar, 70
Spitale, Total, Regiunea NORD-VEST, Anul 2013, Numar, 74
Spitale, Total, Regiunea NORD-VEST, Anul 2014, Numar, 78
Spitale, Total, Regiunea NORD-VEST, Anul 2015, Numar, 81
Spitale, Total, Regiunea NORD-VEST, Anul 2016, Numar, 83
Spitale, Total, Regiunea NORD-VEST, Anul 2017, Numar, 84
Spitale, Total, Bihor, Anul 1990, Numar, 17
Spitale, Total, Bihor, Anul 1991, Numar, 17
Spitale, Total, Bihor, Anul 1992, Numar, 16
Spitale, Total, Bihor, Anul 1993, Numar, 16
Spitale, Total, Bihor, Anul 1994, Numar, 16
Spitale, Total, Bihor, Anul 1995, Numar, 16
Spitale, Total, Bihor, Anul 1996, Numar, 16
Spitale, Total, Bihor, Anul 1997, Numar, 16
Spitale, Total, Bihor, Anul 1998, Numar, 16
Spitale, Total, Bihor, Anul 1999, Numar, 16
Spitale, Total, Bihor, Anul 2000, Numar, 17
Spitale, Total, Bihor, Anul 2001, Numar, 17
Spitale, Total, Bihor, Anul 2002, Numar, 17
Spitale, Total, Bihor, Anul 2003, Numar, 15
Spitale, Total, Bihor, Anul 2004, Numar, 15
Spitale, Total, Bihor, Anul 2005, Numar, 15
Spitale, Total, Bihor, Anul 2006, Numar, 15
Spitale, Total, Bihor, Anul 2007, Numar, 14
Spitale, Total, Bihor, Anul 2008, Numar, 15
Spitale, Total, Bihor, Anul 2009, Numar, 16
Spitale, Total, Bihor, Anul 2010, Numar, 16
Spitale, Total, Bihor, Anul 2011, Numar, 12
Spitale, Total, Bihor, Anul 2012, Numar, 13
Spitale, Total, Bihor, Anul 2013, Numar, 14
Spitale, Total, Bihor, Anul 2014, Numar, 14
Spitale, Total, Bihor, Anul 2015, Numar, 14
Spitale, Total, Bihor, Anul 2016, Numar, 14
Spitale, Total, Bihor, Anul 2017, Numar, 14
Spitale, Total, Bistrita-Nasaud, Anul 1990, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1991, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1992, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1993, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1994, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1995, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1996, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1997, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1998, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 1999, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2000, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2001, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2002, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2003, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2004, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2005, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2006, Numar, 3
Spitale, Total, Bistrita-Nasaud, Anul 2007, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2008, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2009, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2010, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2011, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2012, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2013, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2014, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2015, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2016, Numar, 4
Spitale, Total, Bistrita-Nasaud, Anul 2017, Numar, 4
Spitale, Total, Cluj, Anul 1990, Numar, 16
Spitale, Total, Cluj, Anul 1991, Numar, 16
Spitale, Total, Cluj, Anul 1992, Numar, 17
Spitale, Total, Cluj, Anul 1993, Numar, 17
Spitale, Total, Cluj, Anul 1994, Numar, 17
Spitale, Total, Cluj, Anul 1995, Numar, 16
Spitale, Total, Cluj, Anul 1996, Numar, 16
Spitale, Total, Cluj, Anul 1997, Numar, 16
Spitale, Total, Cluj, Anul 1998, Numar, 17
Spitale, Total, Cluj, Anul 1999, Numar, 17
Spitale, Total, Cluj, Anul 2000, Numar, 20
Spitale, Total, Cluj, Anul 2001, Numar, 21
Spitale, Total, Cluj, Anul 2002, Numar, 21
Spitale, Total, Cluj, Anul 2003, Numar, 22
Spitale, Total, Cluj, Anul 2004, Numar, 22
Spitale, Total, Cluj, Anul 2005, Numar, 23
Spitale, Total, Cluj, Anul 2006, Numar, 22
Spitale, Total, Cluj, Anul 2007, Numar, 24
Spitale, Total, Cluj, Anul 2008, Numar, 26
Spitale, Total, Cluj, Anul 2009, Numar, 26
Spitale, Total, Cluj, Anul 2010, Numar, 27
Spitale, Total, Cluj, Anul 2011, Numar, 32
Spitale, Total, Cluj, Anul 2012, Numar, 32
Spitale, Total, Cluj, Anul 2013, Numar, 34
Spitale, Total, Cluj, Anul 2014, Numar, 38
Spitale, Total, Cluj, Anul 2015, Numar, 40
Spitale, Total, Cluj, Anul 2016, Numar, 41
Spitale, Total, Cluj, Anul 2017, Numar, 42
Spitale, Total, Maramures, Anul 1990, Numar, 10
Spitale, Total, Maramures, Anul 1991, Numar, 10
Spitale, Total, Maramures, Anul 1992, Numar, 10
Spitale, Total, Maramures, Anul 1993, Numar, 10
Spitale, Total, Maramures, Anul 1994, Numar, 9
Spitale, Total, Maramures, Anul 1995, Numar, 9
Spitale, Total, Maramures, Anul 1996, Numar, 9
Spitale, Total, Maramures, Anul 1997, Numar, 9
Spitale, Total, Maramures, Anul 1998, Numar, 9
Spitale, Total, Maramures, Anul 1999, Numar, 9
Spitale, Total, Maramures, Anul 2000, Numar, 9
Spitale, Total, Maramures, Anul 2001, Numar, 9
Spitale, Total, Maramures, Anul 2002, Numar, 9
Spitale, Total, Maramures, Anul 2003, Numar, 9
Spitale, Total, Maramures, Anul 2004, Numar, 9
Spitale, Total, Maramures, Anul 2005, Numar, 9
Spitale, Total, Maramures, Anul 2006, Numar, 11
Spitale, Total, Maramures, Anul 2007, Numar, 11
Spitale, Total, Maramures, Anul 2008, Numar, 11
Spitale, Total, Maramures, Anul 2009, Numar, 11
Spitale, Total, Maramures, Anul 2010, Numar, 11
Spitale, Total, Maramures, Anul 2011, Numar, 10
Spitale, Total, Maramures, Anul 2012, Numar, 10
Spitale, Total, Maramures, Anul 2013, Numar, 11
Spitale, Total, Maramures, Anul 2014, Numar, 11
Spitale, Total, Maramures, Anul 2015, Numar, 12
Spitale, Total, Maramures, Anul 2016, Numar, 12
Spitale, Total, Maramures, Anul 2017, Numar, 12
Spitale, Total, Satu Mare, Anul 1990, Numar, 6
Spitale, Total, Satu Mare, Anul 1991, Numar, 6
Spitale, Total, Satu Mare, Anul 1992, Numar, 6
Spitale, Total, Satu Mare, Anul 1993, Numar, 6
Spitale, Total, Satu Mare, Anul 1994, Numar, 6
Spitale, Total, Satu Mare, Anul 1995, Numar, 6
Spitale, Total, Satu Mare, Anul 1996, Numar, 6
Spitale, Total, Satu Mare, Anul 1997, Numar, 6
Spitale, Total, Satu Mare, Anul 1998, Numar, 6
Spitale, Total, Satu Mare, Anul 1999, Numar, 6
Spitale, Total, Satu Mare, Anul 2000, Numar, 6
Spitale, Total, Satu Mare, Anul 2001, Numar, 6
Spitale, Total, Satu Mare, Anul 2002, Numar, 6
Spitale, Total, Satu Mare, Anul 2003, Numar, 6
Spitale, Total, Satu Mare, Anul 2004, Numar, 5
Spitale, Total, Satu Mare, Anul 2005, Numar, 5
Spitale, Total, Satu Mare, Anul 2006, Numar, 5
Spitale, Total, Satu Mare, Anul 2007, Numar, 5
Spitale, Total, Satu Mare, Anul 2008, Numar, 5
Spitale, Total, Satu Mare, Anul 2009, Numar, 5
Spitale, Total, Satu Mare, Anul 2010, Numar, 5
Spitale, Total, Satu Mare, Anul 2011, Numar, 5
Spitale, Total, Satu Mare, Anul 2012, Numar, 5
Spitale, Total, Satu Mare, Anul 2013, Numar, 5
Spitale, Total, Satu Mare, Anul 2014, Numar, 5
Spitale, Total, Satu Mare, Anul 2015, Numar, 5
Spitale, Total, Satu Mare, Anul 2016, Numar, 6
Spitale, Total, Satu Mare, Anul 2017, Numar, 6
Spitale, Total, Salaj, Anul 1990, Numar, 5
Spitale, Total, Salaj, Anul 1991, Numar, 5
Spitale, Total, Salaj, Anul 1992, Numar, 5
Spitale, Total, Salaj, Anul 1993, Numar, 5
Spitale, Total, Salaj, Anul 1994, Numar, 4
Spitale, Total, Salaj, Anul 1995, Numar, 4
Spitale, Total, Salaj, Anul 1996, Numar, 4
Spitale, Total, Salaj, Anul 1997, Numar, 4
Spitale, Total, Salaj, Anul 1998, Numar, 4
Spitale, Total, Salaj, Anul 1999, Numar, 4
Spitale, Total, Salaj, Anul 2000, Numar, 4
Spitale, Total, Salaj, Anul 2001, Numar, 4
Spitale, Total, Salaj, Anul 2002, Numar, 4
Spitale, Total, Salaj, Anul 2003, Numar, 5
Spitale, Total, Salaj, Anul 2004, Numar, 6
Spitale, Total, Salaj, Anul 2005, Numar, 6
Spitale, Total, Salaj, Anul 2006, Numar, 6
Spitale, Total, Salaj, Anul 2007, Numar, 6
Spitale, Total, Salaj, Anul 2008, Numar, 6
Spitale, Total, Salaj, Anul 2009, Numar, 7
Spitale, Total, Salaj, Anul 2010, Numar, 8
Spitale, Total, Salaj, Anul 2011, Numar, 6
