Categorii de unitati sanitare, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Cabinete medicale de specialitate, Total, TOTAL, Anul 2000, Numar, 804
Cabinete medicale de specialitate, Total, TOTAL, Anul 2001, Numar, 1314
Cabinete medicale de specialitate, Total, TOTAL, Anul 2002, Numar, 968
Cabinete medicale de specialitate, Total, TOTAL, Anul 2003, Numar, 5158
Cabinete medicale de specialitate, Total, TOTAL, Anul 2004, Numar, 5490
Cabinete medicale de specialitate, Total, TOTAL, Anul 2005, Numar, 5808
Cabinete medicale de specialitate, Total, TOTAL, Anul 2006, Numar, 6878
Cabinete medicale de specialitate, Total, TOTAL, Anul 2007, Numar, 8370
Cabinete medicale de specialitate, Total, TOTAL, Anul 2008, Numar, 9038
Cabinete medicale de specialitate, Total, TOTAL, Anul 2009, Numar, 9998
Cabinete medicale de specialitate, Total, TOTAL, Anul 2010, Numar, 8870
Cabinete medicale de specialitate, Total, TOTAL, Anul 2011, Numar, 9452
Cabinete medicale de specialitate, Total, TOTAL, Anul 2012, Numar, 9712
Cabinete medicale de specialitate, Total, TOTAL, Anul 2013, Numar, 10160
Cabinete medicale de specialitate, Total, TOTAL, Anul 2014, Numar, 10063
Cabinete medicale de specialitate, Total, TOTAL, Anul 2015, Numar, 10332
Cabinete medicale de specialitate, Total, TOTAL, Anul 2016, Numar, 10754
Cabinete medicale de specialitate, Total, TOTAL, Anul 2017, Numar, 11079
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 173
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 200
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 210
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 1290
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 1407
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 1448
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 1644
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 2198
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 2307
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 2454
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2010, Numar, 1994
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2011, Numar, 2117
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2012, Numar, 2181
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2013, Numar, 2233
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2014, Numar, 2238
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2015, Numar, 2285
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2016, Numar, 2301
Cabinete medicale de specialitate, Total, MACROREGIUNEA UNU, Anul 2017, Numar, 2392
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2001, Numar, 13
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2002, Numar, 17
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2003, Numar, 553
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2004, Numar, 640
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2005, Numar, 663
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2006, Numar, 804
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2007, Numar, 1026
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2008, Numar, 1079
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2009, Numar, 1166
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2010, Numar, 1002
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2011, Numar, 1103
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2012, Numar, 1171
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2013, Numar, 1226
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2014, Numar, 1163
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2015, Numar, 1140
Cabinete medicale de specialitate, Total, Regiunea NORD-VEST, Anul 2016, Numar, 1153
