Categorii de unitati sanitare , Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
In spitale - total, Total, TOTAL, Anul 1997, Numar, 163850
In spitale - total, Total, TOTAL, Anul 1998, Numar, 161991
In spitale - total, Total, TOTAL, Anul 1999, Numar, 161710
In spitale - total, Total, TOTAL, Anul 2000, Numar, 164335
In spitale - total, Total, TOTAL, Anul 2001, Numar, 165410
In spitale - total, Total, TOTAL, Anul 2002, Numar, 160463
In spitale - total, Total, TOTAL, Anul 2003, Numar, 140881
In spitale - total, Total, TOTAL, Anul 2004, Numar, 140950
In spitale - total, Total, TOTAL, Anul 2005, Numar, 141569
In spitale - total, Total, TOTAL, Anul 2006, Numar, 140594
In spitale - total, Total, TOTAL, Anul 2007, Numar, 136595
In spitale - total, Total, TOTAL, Anul 2008, Numar, 136775
In spitale - total, Total, TOTAL, Anul 2009, Numar, 137420
In spitale - total, Total, TOTAL, Anul 2010, Numar, 130691
In spitale - total, Total, TOTAL, Anul 2011, Numar, 128216
In spitale - total, Total, TOTAL, Anul 2012, Numar, 129397
In spitale - total, Total, TOTAL, Anul 2013, Numar, 130450
In spitale - total, Total, TOTAL, Anul 2014, Numar, 130735
In spitale - total, Total, TOTAL, Anul 2015, Numar, 131889
In spitale - total, Total, TOTAL, Anul 2016, Numar, 132047
In spitale - total, Total, TOTAL, Anul 2017, Numar, 132275
In spitale - total, Total, MACROREGIUNEA UNU, Anul 1997, Numar, 44014
In spitale - total, Total, MACROREGIUNEA UNU, Anul 1998, Numar, 44003
In spitale - total, Total, MACROREGIUNEA UNU, Anul 1999, Numar, 43775
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2000, Numar, 44589
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2001, Numar, 44874
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2002, Numar, 43124
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2003, Numar, 37402
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2004, Numar, 37701
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2005, Numar, 37839
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2006, Numar, 37486
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2007, Numar, 36960
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2008, Numar, 36579
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2009, Numar, 36749
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2010, Numar, 33695
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2011, Numar, 33584
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2012, Numar, 33832
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2013, Numar, 34339
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2014, Numar, 34182
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2015, Numar, 34377
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2016, Numar, 34454
In spitale - total, Total, MACROREGIUNEA UNU, Anul 2017, Numar, 34560
In spitale - total, Total, Regiunea NORD-VEST, Anul 1997, Numar, 22891
In spitale - total, Total, Regiunea NORD-VEST, Anul 1998, Numar, 22966
In spitale - total, Total, Regiunea NORD-VEST, Anul 1999, Numar, 22721
In spitale - total, Total, Regiunea NORD-VEST, Anul 2000, Numar, 23138
In spitale - total, Total, Regiunea NORD-VEST, Anul 2001, Numar, 23423
In spitale - total, Total, Regiunea NORD-VEST, Anul 2002, Numar, 22818
In spitale - total, Total, Regiunea NORD-VEST, Anul 2003, Numar, 19587
In spitale - total, Total, Regiunea NORD-VEST, Anul 2004, Numar, 19854
In spitale - total, Total, Regiunea NORD-VEST, Anul 2005, Numar, 19854
In spitale - total, Total, Regiunea NORD-VEST, Anul 2006, Numar, 19625
In spitale - total, Total, Regiunea NORD-VEST, Anul 2007, Numar, 19467
In spitale - total, Total, Regiunea NORD-VEST, Anul 2008, Numar, 19341
In spitale - total, Total, Regiunea NORD-VEST, Anul 2009, Numar, 19430
In spitale - total, Total, Regiunea NORD-VEST, Anul 2010, Numar, 17937
In spitale - total, Total, Regiunea NORD-VEST, Anul 2011, Numar, 17934
In spitale - total, Total, Regiunea NORD-VEST, Anul 2012, Numar, 18011
In spitale - total, Total, Regiunea NORD-VEST, Anul 2013, Numar, 18109
In spitale - total, Total, Regiunea NORD-VEST, Anul 2014, Numar, 17950
In spitale - total, Total, Regiunea NORD-VEST, Anul 2015, Numar, 18174
In spitale - total, Total, Regiunea NORD-VEST, Anul 2016, Numar, 18211
In spitale - total, Total, Regiunea NORD-VEST, Anul 2017, Numar, 18298
In spitale - total, Total, Bihor, Anul 1997, Numar, 5599
In spitale - total, Total, Bihor, Anul 1998, Numar, 5649
In spitale - total, Total, Bihor, Anul 1999, Numar, 5554
In spitale - total, Total, Bihor, Anul 2000, Numar, 5604
In spitale - total, Total, Bihor, Anul 2001, Numar, 5554
In spitale - total, Total, Bihor, Anul 2002, Numar, 5466
In spitale - total, Total, Bihor, Anul 2003, Numar, 4411
In spitale - total, Total, Bihor, Anul 2004, Numar, 4496
In spitale - total, Total, Bihor, Anul 2005, Numar, 4449
In spitale - total, Total, Bihor, Anul 2006, Numar, 4150
In spitale - total, Total, Bihor, Anul 2007, Numar, 4126
In spitale - total, Total, Bihor, Anul 2008, Numar, 4200
In spitale - total, Total, Bihor, Anul 2009, Numar, 4268
In spitale - total, Total, Bihor, Anul 2010, Numar, 3978
In spitale - total, Total, Bihor, Anul 2011, Numar, 3895
In spitale - total, Total, Bihor, Anul 2012, Numar, 3912
In spitale - total, Total, Bihor, Anul 2013, Numar, 3964
In spitale - total, Total, Bihor, Anul 2014, Numar, 3959
In spitale - total, Total, Bihor, Anul 2015, Numar, 3959
In spitale - total, Total, Bihor, Anul 2016, Numar, 3959
In spitale - total, Total, Bihor, Anul 2017, Numar, 4003
In spitale - total, Total, Bistrita-Nasaud, Anul 1997, Numar, 1842
In spitale - total, Total, Bistrita-Nasaud, Anul 1998, Numar, 1842
In spitale - total, Total, Bistrita-Nasaud, Anul 1999, Numar, 1842
In spitale - total, Total, Bistrita-Nasaud, Anul 2000, Numar, 1842
In spitale - total, Total, Bistrita-Nasaud, Anul 2001, Numar, 1842
In spitale - total, Total, Bistrita-Nasaud, Anul 2002, Numar, 1807
In spitale - total, Total, Bistrita-Nasaud, Anul 2003, Numar, 1620
In spitale - total, Total, Bistrita-Nasaud, Anul 2004, Numar, 1620
In spitale - total, Total, Bistrita-Nasaud, Anul 2005, Numar, 1620
In spitale - total, Total, Bistrita-Nasaud, Anul 2006, Numar, 1620
In spitale - total, Total, Bistrita-Nasaud, Anul 2007, Numar, 1623
In spitale - total, Total, Bistrita-Nasaud, Anul 2008, Numar, 1553
In spitale - total, Total, Bistrita-Nasaud, Anul 2009, Numar, 1553
In spitale - total, Total, Bistrita-Nasaud, Anul 2010, Numar, 1390
In spitale - total, Total, Bistrita-Nasaud, Anul 2011, Numar, 1440
In spitale - total, Total, Bistrita-Nasaud, Anul 2012, Numar, 1440
In spitale - total, Total, Bistrita-Nasaud, Anul 2013, Numar, 1470
In spitale - total, Total, Bistrita-Nasaud, Anul 2014, Numar, 1470
In spitale - total, Total, Bistrita-Nasaud, Anul 2015, Numar, 1470
In spitale - total, Total, Bistrita-Nasaud, Anul 2016, Numar, 1470
In spitale - total, Total, Bistrita-Nasaud, Anul 2017, Numar, 1470
In spitale - total, Total, Cluj, Anul 1997, Numar, 7267
In spitale - total, Total, Cluj, Anul 1998, Numar, 7267
In spitale - total, Total, Cluj, Anul 1999, Numar, 7267
In spitale - total, Total, Cluj, Anul 2000, Numar, 7711
In spitale - total, Total, Cluj, Anul 2001, Numar, 7901
In spitale - total, Total, Cluj, Anul 2002, Numar, 7751
In spitale - total, Total, Cluj, Anul 2003, Numar, 6960
In spitale - total, Total, Cluj, Anul 2004, Numar, 7012
In spitale - total, Total, Cluj, Anul 2005, Numar, 7044
In spitale - total, Total, Cluj, Anul 2006, Numar, 7055
In spitale - total, Total, Cluj, Anul 2007, Numar, 7150
In spitale - total, Total, Cluj, Anul 2008, Numar, 7011
In spitale - total, Total, Cluj, Anul 2009, Numar, 7066
In spitale - total, Total, Cluj, Anul 2010, Numar, 6658
In spitale - total, Total, Cluj, Anul 2011, Numar, 6712
In spitale - total, Total, Cluj, Anul 2012, Numar, 6772
In spitale - total, Total, Cluj, Anul 2013, Numar, 6770
In spitale - total, Total, Cluj, Anul 2014, Numar, 6632
In spitale - total, Total, Cluj, Anul 2015, Numar, 6817
In spitale - total, Total, Cluj, Anul 2016, Numar, 6824
In spitale - total, Total, Cluj, Anul 2017, Numar, 6845
In spitale - total, Total, Maramures, Anul 1997, Numar, 4176
In spitale - total, Total, Maramures, Anul 1998, Numar, 4176
In spitale - total, Total, Maramures, Anul 1999, Numar, 4176
In spitale - total, Total, Maramures, Anul 2000, Numar, 4074
In spitale - total, Total, Maramures, Anul 2001, Numar, 4074
In spitale - total, Total, Maramures, Anul 2002, Numar, 3830
In spitale - total, Total, Maramures, Anul 2003, Numar, 3183
In spitale - total, Total, Maramures, Anul 2004, Numar, 3223
In spitale - total, Total, Maramures, Anul 2005, Numar, 3238
In spitale - total, Total, Maramures, Anul 2006, Numar, 3294
In spitale - total, Total, Maramures, Anul 2007, Numar, 3291
In spitale - total, Total, Maramures, Anul 2008, Numar, 3240
In spitale - total, Total, Maramures, Anul 2009, Numar, 3240
In spitale - total, Total, Maramures, Anul 2010, Numar, 2852
In spitale - total, Total, Maramures, Anul 2011, Numar, 2809
In spitale - total, Total, Maramures, Anul 2012, Numar, 2809
In spitale - total, Total, Maramures, Anul 2013, Numar, 2827
In spitale - total, Total, Maramures, Anul 2014, Numar, 2792
In spitale - total, Total, Maramures, Anul 2015, Numar, 2831
In spitale - total, Total, Maramures, Anul 2016, Numar, 2831
In spitale - total, Total, Maramures, Anul 2017, Numar, 2853
In spitale - total, Total, Satu Mare, Anul 1997, Numar, 2316
In spitale - total, Total, Satu Mare, Anul 1998, Numar, 2341
In spitale - total, Total, Satu Mare, Anul 1999, Numar, 2191
In spitale - total, Total, Satu Mare, Anul 2000, Numar, 2216
In spitale - total, Total, Satu Mare, Anul 2001, Numar, 2361
In spitale - total, Total, Satu Mare, Anul 2002, Numar, 2336
In spitale - total, Total, Satu Mare, Anul 2003, Numar, 2027
In spitale - total, Total, Satu Mare, Anul 2004, Numar, 2027
In spitale - total, Total, Satu Mare, Anul 2005, Numar, 2027
In spitale - total, Total, Satu Mare, Anul 2006, Numar, 2030
In spitale - total, Total, Satu Mare, Anul 2007, Numar, 1885
In spitale - total, Total, Satu Mare, Anul 2008, Numar, 1880
In spitale - total, Total, Satu Mare, Anul 2009, Numar, 1865
In spitale - total, Total, Satu Mare, Anul 2010, Numar, 1741
In spitale - total, Total, Satu Mare, Anul 2011, Numar, 1795
In spitale - total, Total, Satu Mare, Anul 2012, Numar, 1805
In spitale - total, Total, Satu Mare, Anul 2013, Numar, 1805
In spitale - total, Total, Satu Mare, Anul 2014, Numar, 1794
In spitale - total, Total, Satu Mare, Anul 2015, Numar, 1794
In spitale - total, Total, Satu Mare, Anul 2016, Numar, 1824
In spitale - total, Total, Satu Mare, Anul 2017, Numar, 1824
In spitale - total, Total, Salaj, Anul 1997, Numar, 1691
In spitale - total, Total, Salaj, Anul 1998, Numar, 1691
In spitale - total, Total, Salaj, Anul 1999, Numar, 1691
In spitale - total, Total, Salaj, Anul 2000, Numar, 1691
In spitale - total, Total, Salaj, Anul 2001, Numar, 1691
In spitale - total, Total, Salaj, Anul 2002, Numar, 1628
In spitale - total, Total, Salaj, Anul 2003, Numar, 1386
In spitale - total, Total, Salaj, Anul 2004, Numar, 1476
In spitale - total, Total, Salaj, Anul 2005, Numar, 1476
In spitale - total, Total, Salaj, Anul 2006, Numar, 1476
In spitale - total, Total, Salaj, Anul 2007, Numar, 1392
In spitale - total, Total, Salaj, Anul 2008, Numar, 1457
In spitale - total, Total, Salaj, Anul 2009, Numar, 1438
In spitale - total, Total, Salaj, Anul 2010, Numar, 1318
In spitale - total, Total, Salaj, Anul 2011, Numar, 1283
In spitale - total, Total, Salaj, Anul 2012, Numar, 1273
In spitale - total, Total, Salaj, Anul 2013, Numar, 1273
In spitale - total, Total, Salaj, Anul 2014, Numar, 1303
In spitale - total, Total, Salaj, Anul 2015, Numar, 1303
In spitale - total, Total, Salaj, Anul 2016, Numar, 1303
In spitale - total, Total, Salaj, Anul 2017, Numar, 1303
In spitale - total, Total, Regiunea CENTRU, Anul 1997, Numar, 21123
In spitale - total, Total, Regiunea CENTRU, Anul 1998, Numar, 21037
In spitale - total, Total, Regiunea CENTRU, Anul 1999, Numar, 21054
In spitale - total, Total, Regiunea CENTRU, Anul 2000, Numar, 21451
In spitale - total, Total, Regiunea CENTRU, Anul 2001, Numar, 21451
In spitale - total, Total, Regiunea CENTRU, Anul 2002, Numar, 20306
In spitale - total, Total, Regiunea CENTRU, Anul 2003, Numar, 17815
In spitale - total, Total, Regiunea CENTRU, Anul 2004, Numar, 17847
In spitale - total, Total, Regiunea CENTRU, Anul 2005, Numar, 17985
In spitale - total, Total, Regiunea CENTRU, Anul 2006, Numar, 17861
In spitale - total, Total, Regiunea CENTRU, Anul 2007, Numar, 17493
In spitale - total, Total, Regiunea CENTRU, Anul 2008, Numar, 17238
In spitale - total, Total, Regiunea CENTRU, Anul 2009, Numar, 17319
In spitale - total, Total, Regiunea CENTRU, Anul 2010, Numar, 15758
