Categorii de personal sanitar, Forme de proprietate , Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Stomatologi, Total, Total, TOTAL, Anul 1997, Numar persoane, 6562
Stomatologi, Total, Total, TOTAL, Anul 1998, Numar persoane, 7033
Stomatologi, Total, Total, TOTAL, Anul 1999, Numar persoane, 7708
Stomatologi, Total, Total, TOTAL, Anul 2000, Numar persoane, 8307
Stomatologi, Total, Total, TOTAL, Anul 2001, Numar persoane, 8694
Stomatologi, Total, Total, TOTAL, Anul 2002, Numar persoane, 8830
Stomatologi, Total, Total, TOTAL, Anul 2003, Numar persoane, 9447
Stomatologi, Total, Total, TOTAL, Anul 2004, Numar persoane, 9907
Stomatologi, Total, Total, TOTAL, Anul 2005, Numar persoane, 10249
Stomatologi, Total, Total, TOTAL, Anul 2006, Numar persoane, 10620
Stomatologi, Total, Total, TOTAL, Anul 2007, Numar persoane, 11651
Stomatologi, Total, Total, TOTAL, Anul 2008, Numar persoane, 11901
Stomatologi, Total, Total, TOTAL, Anul 2009, Numar persoane, 12497
Stomatologi, Total, Total, TOTAL, Anul 2010, Numar persoane, 12990
Stomatologi, Total, Total, TOTAL, Anul 2011, Numar persoane, 13355
Stomatologi, Total, Total, TOTAL, Anul 2012, Numar persoane, 13814
Stomatologi, Total, Total, TOTAL, Anul 2013, Numar persoane, 14282
Stomatologi, Total, Total, TOTAL, Anul 2014, Numar persoane, 14879
Stomatologi, Total, Total, TOTAL, Anul 2015, Numar persoane, 15556
Stomatologi, Total, Total, TOTAL, Anul 2016, Numar persoane, 16442
Stomatologi, Total, Total, TOTAL, Anul 2017, Numar persoane, 15653
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 1623
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 1619
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 1776
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 1968
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 2164
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 2299
