Categorii de personal sanitar, Forme de proprietate , Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Farmacisti, Total, Total, TOTAL, Anul 1997, Numar persoane, 5955
Farmacisti, Total, Total, TOTAL, Anul 1998, Numar persoane, 6209
Farmacisti, Total, Total, TOTAL, Anul 1999, Numar persoane, 6610
Farmacisti, Total, Total, TOTAL, Anul 2000, Numar persoane, 7189
Farmacisti, Total, Total, TOTAL, Anul 2001, Numar persoane, 7298
Farmacisti, Total, Total, TOTAL, Anul 2002, Numar persoane, 7328
Farmacisti, Total, Total, TOTAL, Anul 2003, Numar persoane, 7793
Farmacisti, Total, Total, TOTAL, Anul 2004, Numar persoane, 8763
Farmacisti, Total, Total, TOTAL, Anul 2005, Numar persoane, 9283
Farmacisti, Total, Total, TOTAL, Anul 2006, Numar persoane, 9932
Farmacisti, Total, Total, TOTAL, Anul 2007, Numar persoane, 11108
Farmacisti, Total, Total, TOTAL, Anul 2008, Numar persoane, 11704
Farmacisti, Total, Total, TOTAL, Anul 2009, Numar persoane, 11996
Farmacisti, Total, Total, TOTAL, Anul 2010, Numar persoane, 13624
Farmacisti, Total, Total, TOTAL, Anul 2011, Numar persoane, 14575
Farmacisti, Total, Total, TOTAL, Anul 2012, Numar persoane, 15435
Farmacisti, Total, Total, TOTAL, Anul 2013, Numar persoane, 16301
Farmacisti, Total, Total, TOTAL, Anul 2014, Numar persoane, 17099
Farmacisti, Total, Total, TOTAL, Anul 2015, Numar persoane, 17135
Farmacisti, Total, Total, TOTAL, Anul 2016, Numar persoane, 17180
Farmacisti, Total, Total, TOTAL, Anul 2017, Numar persoane, 17833
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 1796
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 1866
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 1925
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 2309
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 2193
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 2199
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 2399
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 2505
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 2568
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 2808
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 2977
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 3176
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 3169
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 3184
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 3371
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 3614
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 3799
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 3878
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 3941
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 4027
Farmacisti, Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 4111
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 842
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 902
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 930
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 1181
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1086
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 999
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1244
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 1340
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1355
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1430
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1506
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1627
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1617
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 1642
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1796
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1978
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 2093
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 2147
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 2219
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 2174
Farmacisti, Total, Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 2213
Farmacisti, Total, Total, Bihor, Anul 1997, Numar persoane, 181
Farmacisti, Total, Total, Bihor, Anul 1998, Numar persoane, 186
Farmacisti, Total, Total, Bihor, Anul 1999, Numar persoane, 199
Farmacisti, Total, Total, Bihor, Anul 2000, Numar persoane, 297
Farmacisti, Total, Total, Bihor, Anul 2001, Numar persoane, 311
Farmacisti, Total, Total, Bihor, Anul 2002, Numar persoane, 311
Farmacisti, Total, Total, Bihor, Anul 2003, Numar persoane, 308
Farmacisti, Total, Total, Bihor, Anul 2004, Numar persoane, 279
Farmacisti, Total, Total, Bihor, Anul 2005, Numar persoane, 280
Farmacisti, Total, Total, Bihor, Anul 2006, Numar persoane, 321
Farmacisti, Total, Total, Bihor, Anul 2007, Numar persoane, 353
Farmacisti, Total, Total, Bihor, Anul 2008, Numar persoane, 460
Farmacisti, Total, Total, Bihor, Anul 2009, Numar persoane, 494
Farmacisti, Total, Total, Bihor, Anul 2010, Numar persoane, 471
Farmacisti, Total, Total, Bihor, Anul 2011, Numar persoane, 486
Farmacisti, Total, Total, Bihor, Anul 2012, Numar persoane, 501
Farmacisti, Total, Total, Bihor, Anul 2013, Numar persoane, 502
Farmacisti, Total, Total, Bihor, Anul 2014, Numar persoane, 515
Farmacisti, Total, Total, Bihor, Anul 2015, Numar persoane, 539
Farmacisti, Total, Total, Bihor, Anul 2016, Numar persoane, 551
