Categorii de personal sanitar, Forme de proprietate , Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 1997, Numar persoane, 41301
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 1998, Numar persoane, 42498
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 1999, Numar persoane, 46238
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2000, Numar persoane, 45786
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2001, Numar persoane, 46773
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2002, Numar persoane, 45805
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2003, Numar persoane, 46919
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2004, Numar persoane, 48150
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2005, Numar persoane, 47388
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2006, Numar persoane, 46936
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2007, Numar persoane, 48199
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2008, Numar persoane, 50267
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2009, Numar persoane, 50386
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2010, Numar persoane, 52204
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2011, Numar persoane, 52541
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2012, Numar persoane, 53681
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2013, Numar persoane, 54086
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2014, Numar persoane, 54929
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2015, Numar persoane, 56110
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2016, Numar persoane, 57304
Medici (exclusiv stomatologi), Total, Total, TOTAL, Anul 2017, Numar persoane, 58583
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 10817
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 10911
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 11305
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 11933
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 12153
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 11939
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 12138
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 12189
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 11700
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 11759
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 11874
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 12612
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 12805
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 13273
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 13753
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 14114
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 14381
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 14417
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 14717
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 14788
Medici (exclusiv stomatologi), Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 15036
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 5882
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 5922
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 5927
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 6683
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 6900
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 6527
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 6820
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 6733
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 6289
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 6298
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 6413
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 6859
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 7132
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 7383
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 7714
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 7738
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 7728
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 7783
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 7935
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 7769
Medici (exclusiv stomatologi), Total, Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 7911
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 1997, Numar persoane, 1109
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 1998, Numar persoane, 1113
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 1999, Numar persoane, 1099
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2000, Numar persoane, 1342
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2001, Numar persoane, 1621
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2002, Numar persoane, 1702
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2003, Numar persoane, 1554
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2004, Numar persoane, 1231
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2005, Numar persoane, 1185
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2006, Numar persoane, 1151
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2007, Numar persoane, 1180
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2008, Numar persoane, 1544
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2009, Numar persoane, 1624
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2010, Numar persoane, 1734
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2011, Numar persoane, 1866
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2012, Numar persoane, 1835
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2013, Numar persoane, 1814
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2014, Numar persoane, 1822
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2015, Numar persoane, 1899
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2016, Numar persoane, 1944
Medici (exclusiv stomatologi), Total, Total, Bihor, Anul 2017, Numar persoane, 1902
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 424
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 446
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 428
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 438
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 501
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 437
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 426
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 436
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 421
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 410
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 406
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 400
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 402
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 423
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 426
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 439
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 432
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 445
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 443
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 445
Medici (exclusiv stomatologi), Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 460
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 1997, Numar persoane, 2903
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 1998, Numar persoane, 2885
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 1999, Numar persoane, 2855
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2000, Numar persoane, 3256
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2001, Numar persoane, 3074
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2002, Numar persoane, 2660
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2003, Numar persoane, 3168
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2004, Numar persoane, 3440
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2005, Numar persoane, 3082
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2006, Numar persoane, 3115
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2007, Numar persoane, 3158
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2008, Numar persoane, 3284
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2009, Numar persoane, 3457
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2010, Numar persoane, 3512
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2011, Numar persoane, 3665
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2012, Numar persoane, 3627
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2013, Numar persoane, 3607
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2014, Numar persoane, 3632
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2015, Numar persoane, 3743
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2016, Numar persoane, 3499
Medici (exclusiv stomatologi), Total, Total, Cluj, Anul 2017, Numar persoane, 3617
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 1997, Numar persoane, 711
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 1998, Numar persoane, 716
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 1999, Numar persoane, 736
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2000, Numar persoane, 804
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2001, Numar persoane, 810
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2002, Numar persoane, 790
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2003, Numar persoane, 783
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2004, Numar persoane, 744
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2005, Numar persoane, 751
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2006, Numar persoane, 776
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2007, Numar persoane, 818
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2008, Numar persoane, 790
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2009, Numar persoane, 789
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2010, Numar persoane, 795
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2011, Numar persoane, 823
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2012, Numar persoane, 841
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2013, Numar persoane, 867
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2014, Numar persoane, 875
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2015, Numar persoane, 865
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2016, Numar persoane, 870
Medici (exclusiv stomatologi), Total, Total, Maramures, Anul 2017, Numar persoane, 877
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 1997, Numar persoane, 438
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 1998, Numar persoane, 456
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 1999, Numar persoane, 479
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2000, Numar persoane, 513
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2001, Numar persoane, 558
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2002, Numar persoane, 593
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2003, Numar persoane, 552
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2004, Numar persoane, 544
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2005, Numar persoane, 534
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2006, Numar persoane, 531
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2007, Numar persoane, 530
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2008, Numar persoane, 523
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2009, Numar persoane, 520
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2010, Numar persoane, 555
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2011, Numar persoane, 567
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2012, Numar persoane, 607
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2013, Numar persoane, 598
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2014, Numar persoane, 604
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2015, Numar persoane, 594
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2016, Numar persoane, 588
Medici (exclusiv stomatologi), Total, Total, Satu Mare, Anul 2017, Numar persoane, 618
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 1997, Numar persoane, 297
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 1998, Numar persoane, 306
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 1999, Numar persoane, 330
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2000, Numar persoane, 330
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2001, Numar persoane, 336
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2002, Numar persoane, 345
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2003, Numar persoane, 337
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2004, Numar persoane, 338
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2005, Numar persoane, 316
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2006, Numar persoane, 315
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2007, Numar persoane, 321
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2008, Numar persoane, 318
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2009, Numar persoane, 340
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2010, Numar persoane, 364
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2011, Numar persoane, 367
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2012, Numar persoane, 389
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2013, Numar persoane, 410
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2014, Numar persoane, 405
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2015, Numar persoane, 391
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2016, Numar persoane, 423
Medici (exclusiv stomatologi), Total, Total, Salaj, Anul 2017, Numar persoane, 437
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 4935
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 4989
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 5378
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 5250
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 5253
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 5412
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 5318
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 5456
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 5411
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 5461
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 5461
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 5753
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 5673
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 5890
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 6039
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 6376
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 6653
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 6634
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2015, Numar persoane, 6782
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2016, Numar persoane, 7019
Medici (exclusiv stomatologi), Total, Total, Regiunea CENTRU, Anul 2017, Numar persoane, 7125
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 1997, Numar persoane, 664
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 1998, Numar persoane, 647
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 1999, Numar persoane, 676
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2000, Numar persoane, 689
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2001, Numar persoane, 655
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2002, Numar persoane, 646
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2003, Numar persoane, 668
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2004, Numar persoane, 700
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2005, Numar persoane, 661
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2006, Numar persoane, 630
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2007, Numar persoane, 632
Medici (exclusiv stomatologi), Total, Total, Alba, Anul 2008, Numar persoane, 682
