Categorii de personal sanitar, Forme de proprietate , Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Personal sanitar mediu, Total, Total, TOTAL, Anul 1997, Numar persoane, 121815
Personal sanitar mediu, Total, Total, TOTAL, Anul 1998, Numar persoane, 123043
Personal sanitar mediu, Total, Total, TOTAL, Anul 1999, Numar persoane, 118875
Personal sanitar mediu, Total, Total, TOTAL, Anul 2000, Numar persoane, 119446
Personal sanitar mediu, Total, Total, TOTAL, Anul 2001, Numar persoane, 120433
Personal sanitar mediu, Total, Total, TOTAL, Anul 2002, Numar persoane, 123836
Personal sanitar mediu, Total, Total, TOTAL, Anul 2003, Numar persoane, 120740
Personal sanitar mediu, Total, Total, TOTAL, Anul 2004, Numar persoane, 121683
Personal sanitar mediu, Total, Total, TOTAL, Anul 2005, Numar persoane, 123455
Personal sanitar mediu, Total, Total, TOTAL, Anul 2006, Numar persoane, 126613
Personal sanitar mediu, Total, Total, TOTAL, Anul 2007, Numar persoane, 136353
Personal sanitar mediu, Total, Total, TOTAL, Anul 2008, Numar persoane, 132464
Personal sanitar mediu, Total, Total, TOTAL, Anul 2009, Numar persoane, 129673
Personal sanitar mediu, Total, Total, TOTAL, Anul 2010, Numar persoane, 126656
Personal sanitar mediu, Total, Total, TOTAL, Anul 2011, Numar persoane, 125992
Personal sanitar mediu, Total, Total, TOTAL, Anul 2012, Numar persoane, 125141
Personal sanitar mediu, Total, Total, TOTAL, Anul 2013, Numar persoane, 126860
Personal sanitar mediu, Total, Total, TOTAL, Anul 2014, Numar persoane, 128899
Personal sanitar mediu, Total, Total, TOTAL, Anul 2015, Numar persoane, 133173
Personal sanitar mediu, Total, Total, TOTAL, Anul 2016, Numar persoane, 137246
Personal sanitar mediu, Total, Total, TOTAL, Anul 2017, Numar persoane, 142103
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 32002
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 32280
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 31836
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 30823
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 30266
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 31258
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 30139
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 30410
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 31307
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 31565
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 32644
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 33721
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 32347
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 31134
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 30639
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 29969
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 31193
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 31992
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 32481
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 33349
Personal sanitar mediu, Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 34405
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 17032
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 17144
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 16828
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 16360
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 15933
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 16409
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 15885
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 15967
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 16634
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 16941
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 17602
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 17843
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 16805
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 16395
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 16425
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 15987
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 16262
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 16800
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 16993
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 17171
Personal sanitar mediu, Total, Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 17589
Personal sanitar mediu, Total, Total, Bihor, Anul 1997, Numar persoane, 3571
Personal sanitar mediu, Total, Total, Bihor, Anul 1998, Numar persoane, 3692
Personal sanitar mediu, Total, Total, Bihor, Anul 1999, Numar persoane, 3665
Personal sanitar mediu, Total, Total, Bihor, Anul 2000, Numar persoane, 3525
Personal sanitar mediu, Total, Total, Bihor, Anul 2001, Numar persoane, 3523
Personal sanitar mediu, Total, Total, Bihor, Anul 2002, Numar persoane, 3738
Personal sanitar mediu, Total, Total, Bihor, Anul 2003, Numar persoane, 3510
Personal sanitar mediu, Total, Total, Bihor, Anul 2004, Numar persoane, 3335
Personal sanitar mediu, Total, Total, Bihor, Anul 2005, Numar persoane, 3782
Personal sanitar mediu, Total, Total, Bihor, Anul 2006, Numar persoane, 3661
Personal sanitar mediu, Total, Total, Bihor, Anul 2007, Numar persoane, 3902
Personal sanitar mediu, Total, Total, Bihor, Anul 2008, Numar persoane, 4081
Personal sanitar mediu, Total, Total, Bihor, Anul 2009, Numar persoane, 3941
Personal sanitar mediu, Total, Total, Bihor, Anul 2010, Numar persoane, 3842
Personal sanitar mediu, Total, Total, Bihor, Anul 2011, Numar persoane, 3763
Personal sanitar mediu, Total, Total, Bihor, Anul 2012, Numar persoane, 3618
Personal sanitar mediu, Total, Total, Bihor, Anul 2013, Numar persoane, 3760
Personal sanitar mediu, Total, Total, Bihor, Anul 2014, Numar persoane, 3771
Personal sanitar mediu, Total, Total, Bihor, Anul 2015, Numar persoane, 3755
Personal sanitar mediu, Total, Total, Bihor, Anul 2016, Numar persoane, 3836
Personal sanitar mediu, Total, Total, Bihor, Anul 2017, Numar persoane, 3940
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 1788
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 1766
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 1714
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 1681
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 1573
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 1565
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 1551
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 1577
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 1656
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 1635
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 1572
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 1551
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 1501
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 1540
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 1481
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 1575
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 1514
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 1569
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 1591
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 1672
Personal sanitar mediu, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 1709
Personal sanitar mediu, Total, Total, Cluj, Anul 1997, Numar persoane, 5418
Personal sanitar mediu, Total, Total, Cluj, Anul 1998, Numar persoane, 5299
