
Gruparea dupa ocupatie a numarului de salariati din cercetare-dezvoltare, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, TOTAL, Anul 1995, Numar persoane, 64138
Total, TOTAL, Anul 1996, Numar persoane, 62297
Total, TOTAL, Anul 1997, Numar persoane, 57714
Total, TOTAL, Anul 1998, Numar persoane, 57125
Total, TOTAL, Anul 1999, Numar persoane, 48113
Total, TOTAL, Anul 2000, Numar persoane, 37241
Total, TOTAL, Anul 2001, Numar persoane, 37696
Total, TOTAL, Anul 2002, Numar persoane, 38433
Total, TOTAL, Anul 2003, Numar persoane, 39985
Total, TOTAL, Anul 2004, Numar persoane, 40725
Total, TOTAL, Anul 2005, Numar persoane, 41035
Total, TOTAL, Anul 2006, Numar persoane, 42220
Total, TOTAL, Anul 2007, Numar persoane, 42484
Total, TOTAL, Anul 2008, Numar persoane, 43502
Total, TOTAL, Anul 2009, Numar persoane, 42420
Total, TOTAL, Anul 2010, Numar persoane, 39065
Total, TOTAL, Anul 2011, Numar persoane, 42363
Total, TOTAL, Anul 2012, Numar persoane, 42674
Total, TOTAL, Anul 2013, Numar persoane, 43375
Total, TOTAL, Anul 2014, Numar persoane, 42963
Total, TOTAL, Anul 2015, Numar persoane, 43448
Total, TOTAL, Anul 2016, Numar persoane, 44386
Total, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 6150
Total, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 6643
Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 8841
Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 8404
Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 7174
Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 6194
Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 6683
Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 7463
Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 6221
Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 4810
Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 5109
Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 6349
Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 6564
Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 7043
Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 7917
Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 7131
Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 7335
Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 6476
Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 5820
Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 7370
Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 7005
Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 7247
Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 3155
Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 3981
Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 4329
Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 3319
Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 2808
Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 2379
Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 2992
Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 3183
Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 2742
Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 2302
Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 2690
Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 3484
Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 3923
Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 4146
Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 4185
Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 4018
Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 3809
Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 3503
Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 3137
Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 3485
Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 3277
Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 3175
Total, Bihor, Anul 1995, Numar persoane, 306
Total, Bihor, Anul 1996, Numar persoane, 340
Total, Bihor, Anul 1997, Numar persoane, 472
Total, Bihor, Anul 1998, Numar persoane, 494
Total, Bihor, Anul 1999, Numar persoane, 657
Total, Bihor, Anul 2000, Numar persoane, 541
Total, Bihor, Anul 2001, Numar persoane, 566
Total, Bihor, Anul 2002, Numar persoane, 856
Total, Bihor, Anul 2003, Numar persoane, 249
Total, Bihor, Anul 2004, Numar persoane, 121
Total, Bihor, Anul 2005, Numar persoane, 177
Total, Bihor, Anul 2006, Numar persoane, 204
Total, Bihor, Anul 2007, Numar persoane, 503
Total, Bihor, Anul 2008, Numar persoane, 438
Total, Bihor, Anul 2009, Numar persoane, 529
Total, Bihor, Anul 2010, Numar persoane, 571
Total, Bihor, Anul 2011, Numar persoane, 86
Total, Bihor, Anul 2013, Numar persoane, 74
