
Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Milioane lei, Valoare
TOTAL, Anul 2000, Milioane lei, 81275.3
TOTAL, Anul 2001, Milioane lei, 118327.2
TOTAL, Anul 2002, Milioane lei, 152630
TOTAL, Anul 2003, Milioane lei, 198761.1
TOTAL, Anul 2004, Milioane lei, 248747.6
TOTAL, Anul 2005, Milioane lei, 290488.8
TOTAL, Anul 2006, Milioane lei, 347004.3
TOTAL, Anul 2007, Milioane lei, 428979
TOTAL, Anul 2008, Milioane lei, 538049.9
TOTAL, Anul 2009, Milioane lei, 526345.3
TOTAL, Anul 2010, Milioane lei, 529623.5
TOTAL, Anul 2011, Milioane lei, 562062.4
TOTAL, Anul 2012, Milioane lei, 595367.3
TOTAL, Anul 2013, Milioane lei, 637456
TOTAL, Anul 2014, Milioane lei, 668143.6
TOTAL, Anul 2015, Milioane lei, 712658.5
MACROREGIUNEA UNU, Anul 2000, Milioane lei, 19024.7
MACROREGIUNEA UNU, Anul 2001, Milioane lei, 27922.9
MACROREGIUNEA UNU, Anul 2002, Milioane lei, 36769.3
MACROREGIUNEA UNU, Anul 2003, Milioane lei, 47500.7
MACROREGIUNEA UNU, Anul 2004, Milioane lei, 58609.2
MACROREGIUNEA UNU, Anul 2005, Milioane lei, 66838.4
MACROREGIUNEA UNU, Anul 2006, Milioane lei, 81131.1
MACROREGIUNEA UNU, Anul 2007, Milioane lei, 102353.8
MACROREGIUNEA UNU, Anul 2008, Milioane lei, 121661.7
MACROREGIUNEA UNU, Anul 2009, Milioane lei, 120806.3
MACROREGIUNEA UNU, Anul 2010, Milioane lei, 121133
MACROREGIUNEA UNU, Anul 2011, Milioane lei, 124022.3
MACROREGIUNEA UNU, Anul 2012, Milioane lei, 135365.9
MACROREGIUNEA UNU, Anul 2013, Milioane lei, 142214.9
MACROREGIUNEA UNU, Anul 2014, Milioane lei, 149846.5
MACROREGIUNEA UNU, Anul 2015, Milioane lei, 160483.9
Regiunea NORD-VEST, Anul 2000, Milioane lei, 9190.2
Regiunea NORD-VEST, Anul 2001, Milioane lei, 13675
Regiunea NORD-VEST, Anul 2002, Milioane lei, 18127.7
Regiunea NORD-VEST, Anul 2003, Milioane lei, 23577.2
Regiunea NORD-VEST, Anul 2004, Milioane lei, 29641.1
Regiunea NORD-VEST, Anul 2005, Milioane lei, 34080
Regiunea NORD-VEST, Anul 2006, Milioane lei, 41185.2
Regiunea NORD-VEST, Anul 2007, Milioane lei, 51630
Regiunea NORD-VEST, Anul 2008, Milioane lei, 61180
Regiunea NORD-VEST, Anul 2009, Milioane lei, 60733.9
Regiunea NORD-VEST, Anul 2010, Milioane lei, 60723.9
Regiunea NORD-VEST, Anul 2011, Milioane lei, 61590.4
Regiunea NORD-VEST, Anul 2012, Milioane lei, 67650.5
Regiunea NORD-VEST, Anul 2013, Milioane lei, 71712
Regiunea NORD-VEST, Anul 2014, Milioane lei, 76641.5
Regiunea NORD-VEST, Anul 2015, Milioane lei, 81669.4
Bihor, Anul 2000, Milioane lei, 2134.3
Bihor, Anul 2001, Milioane lei, 3249.6
Bihor, Anul 2002, Milioane lei, 4524.2
Bihor, Anul 2003, Milioane lei, 5683.2
Bihor, Anul 2004, Milioane lei, 7200.8
Bihor, Anul 2005, Milioane lei, 7964.2
Bihor, Anul 2006, Milioane lei, 9886.6
Bihor, Anul 2007, Milioane lei, 11861.1
Bihor, Anul 2008, Milioane lei, 13905.1
Bihor, Anul 2009, Milioane lei, 13273.5
Bihor, Anul 2010, Milioane lei, 13492.2
Bihor, Anul 2011, Milioane lei, 12714.1
Bihor, Anul 2012, Milioane lei, 13161
Bihor, Anul 2013, Milioane lei, 13982.5
Bihor, Anul 2014, Milioane lei, 15289.6
Bihor, Anul 2015, Milioane lei, 16218.9
Bistrita-Nasaud, Anul 2000, Milioane lei, 947
Bistrita-Nasaud, Anul 2001, Milioane lei, 1260.6
Bistrita-Nasaud, Anul 2002, Milioane lei, 1701.2
Bistrita-Nasaud, Anul 2003, Milioane lei, 2275.3
Bistrita-Nasaud, Anul 2004, Milioane lei, 2724.7
Bistrita-Nasaud, Anul 2005, Milioane lei, 3361.5
Bistrita-Nasaud, Anul 2006, Milioane lei, 4062.1
Bistrita-Nasaud, Anul 2007, Milioane lei, 5069.6
Bistrita-Nasaud, Anul 2008, Milioane lei, 6289.3
Bistrita-Nasaud, Anul 2009, Milioane lei, 6376.5
Bistrita-Nasaud, Anul 2010, Milioane lei, 6014.5
Bistrita-Nasaud, Anul 2011, Milioane lei, 6253
Bistrita-Nasaud, Anul 2012, Milioane lei, 6585.3
Bistrita-Nasaud, Anul 2013, Milioane lei, 6535
Bistrita-Nasaud, Anul 2014, Milioane lei, 6779.1
Bistrita-Nasaud, Anul 2015, Milioane lei, 7483.3
Cluj, Anul 2000, Milioane lei, 3062
Cluj, Anul 2001, Milioane lei, 4532.9
Cluj, Anul 2002, Milioane lei, 6058.8
Cluj, Anul 2003, Milioane lei, 7868
Cluj, Anul 2004, Milioane lei, 9820.2
Cluj, Anul 2005, Milioane lei, 11627.4
Cluj, Anul 2006, Milioane lei, 13779.4
Cluj, Anul 2007, Milioane lei, 18420.6
Cluj, Anul 2008, Milioane lei, 21356.6
Cluj, Anul 2009, Milioane lei, 21327.8
Cluj, Anul 2010, Milioane lei, 21223.5
Cluj, Anul 2011, Milioane lei, 22314.7
Cluj, Anul 2012, Milioane lei, 25791.6
Cluj, Anul 2013, Milioane lei, 27741.6
Cluj, Anul 2014, Milioane lei, 29805.6
Cluj, Anul 2015, Milioane lei, 31178.2
Maramures, Anul 2000, Milioane lei, 1310.7
Maramures, Anul 2001, Milioane lei, 1855.1
Maramures, Anul 2002, Milioane lei, 2416.8
Maramures, Anul 2003, Milioane lei, 3180.5
Maramures, Anul 2004, Milioane lei, 4219.8
Maramures, Anul 2005, Milioane lei, 4760.1
Maramures, Anul 2006, Milioane lei, 5837.4
Maramures, Anul 2007, Milioane lei, 6972.7
Maramures, Anul 2008, Milioane lei, 8336.3
Maramures, Anul 2009, Milioane lei, 8601.5
Maramures, Anul 2010, Milioane lei, 8998.8
Maramures, Anul 2011, Milioane lei, 9037
Maramures, Anul 2012, Milioane lei, 9946.2
Maramures, Anul 2013, Milioane lei, 10212.4
Maramures, Anul 2014, Milioane lei, 10893.6
Maramures, Anul 2015, Milioane lei, 12092.2
Satu Mare, Anul 2000, Milioane lei, 1057.4
Satu Mare, Anul 2001, Milioane lei, 1770
Satu Mare, Anul 2002, Milioane lei, 2135.8
Satu Mare, Anul 2003, Milioane lei, 2783.5
Satu Mare, Anul 2004, Milioane lei, 3575.2
Satu Mare, Anul 2005, Milioane lei, 3937
Satu Mare, Anul 2006, Milioane lei, 4482.7
Satu Mare, Anul 2007, Milioane lei, 5448.1
Satu Mare, Anul 2008, Milioane lei, 6690.2
Satu Mare, Anul 2009, Milioane lei, 6513.9
Satu Mare, Anul 2010, Milioane lei, 6503.6
Satu Mare, Anul 2011, Milioane lei, 6761.1
Satu Mare, Anul 2012, Milioane lei, 7177.4
Satu Mare, Anul 2013, Milioane lei, 7856.7
Satu Mare, Anul 2014, Milioane lei, 8106.8
Satu Mare, Anul 2015, Milioane lei, 8609.7
Salaj, Anul 2000, Milioane lei, 678.8
Salaj, Anul 2001, Milioane lei, 1006.8
Salaj, Anul 2002, Milioane lei, 1290.9
Salaj, Anul 2003, Milioane lei, 1786.7
Salaj, Anul 2004, Milioane lei, 2100.4
Salaj, Anul 2005, Milioane lei, 2429.8
Salaj, Anul 2006, Milioane lei, 3137
Salaj, Anul 2007, Milioane lei, 3857.9
Salaj, Anul 2008, Milioane lei, 4602.5
Salaj, Anul 2009, Milioane lei, 4640.7
Salaj, Anul 2010, Milioane lei, 4491.3
Salaj, Anul 2011, Milioane lei, 4510.5
Salaj, Anul 2012, Milioane lei, 4989
Salaj, Anul 2013, Milioane lei, 5383.8
Salaj, Anul 2014, Milioane lei, 5766.8
Salaj, Anul 2015, Milioane lei, 6087.1
Regiunea CENTRU, Anul 2000, Milioane lei, 9834.5
Regiunea CENTRU, Anul 2001, Milioane lei, 14247.9
Regiunea CENTRU, Anul 2002, Milioane lei, 18641.6
Regiunea CENTRU, Anul 2003, Milioane lei, 23923.5
Regiunea CENTRU, Anul 2004, Milioane lei, 28968.1
Regiunea CENTRU, Anul 2005, Milioane lei, 32758.4
Regiunea CENTRU, Anul 2006, Milioane lei, 39945.9
Regiunea CENTRU, Anul 2007, Milioane lei, 50723.8
Regiunea CENTRU, Anul 2008, Milioane lei, 60481.7
Regiunea CENTRU, Anul 2009, Milioane lei, 60072.4
Regiunea CENTRU, Anul 2010, Milioane lei, 60409.1
Regiunea CENTRU, Anul 2011, Milioane lei, 62431.9
Regiunea CENTRU, Anul 2012, Milioane lei, 67715.4
Regiunea CENTRU, Anul 2013, Milioane lei, 70502.9
Regiunea CENTRU, Anul 2014, Milioane lei, 73205
Regiunea CENTRU, Anul 2015, Milioane lei, 78814.5
Alba, Anul 2000, Milioane lei, 1261.8
Alba, Anul 2001, Milioane lei, 1824.8
Alba, Anul 2002, Milioane lei, 2301.3
Alba, Anul 2003, Milioane lei, 3209.5
Alba, Anul 2004, Milioane lei, 4094.5
Alba, Anul 2005, Milioane lei, 4483.8
Alba, Anul 2006, Milioane lei, 5766.7
Alba, Anul 2007, Milioane lei, 8066.3
Alba, Anul 2008, Milioane lei, 9319.1
Alba, Anul 2009, Milioane lei, 8881.4
Alba, Anul 2010, Milioane lei, 9283
Alba, Anul 2011, Milioane lei, 9371.3
Alba, Anul 2012, Milioane lei, 10167.2
Alba, Anul 2013, Milioane lei, 10393.2
Alba, Anul 2014, Milioane lei, 11009.3
Alba, Anul 2015, Milioane lei, 11776.4
Brasov, Anul 2000, Milioane lei, 2739.8
Brasov, Anul 2001, Milioane lei, 4089.2
Brasov, Anul 2002, Milioane lei, 5403.3
Brasov, Anul 2003, Milioane lei, 6721.4
Brasov, Anul 2004, Milioane lei, 7905.9
Brasov, Anul 2005, Milioane lei, 9355.3
Brasov, Anul 2006, Milioane lei, 10956.1
Brasov, Anul 2007, Milioane lei, 13987
Brasov, Anul 2008, Milioane lei, 16765.3
Brasov, Anul 2009, Milioane lei, 17406.1
Brasov, Anul 2010, Milioane lei, 17686.1
Brasov, Anul 2011, Milioane lei, 17812
Brasov, Anul 2012, Milioane lei, 20242.4
Brasov, Anul 2013, Milioane lei, 21242
Brasov, Anul 2014, Milioane lei, 22014.4
Brasov, Anul 2015, Milioane lei, 23442.6
Covasna, Anul 2000, Milioane lei, 885.1
Covasna, Anul 2001, Milioane lei, 1164.4
Covasna, Anul 2002, Milioane lei, 1574.9
Covasna, Anul 2003, Milioane lei, 1861.7
Covasna, Anul 2004, Milioane lei, 2399.6
Covasna, Anul 2005, Milioane lei, 2500.4
Covasna, Anul 2006, Milioane lei, 2778.9
Covasna, Anul 2007, Milioane lei, 3617.6
Covasna, Anul 2008, Milioane lei, 4280.4
Covasna, Anul 2009, Milioane lei, 4222.7
Covasna, Anul 2010, Milioane lei, 4055.2
Covasna, Anul 2011, Milioane lei, 4429.4
Covasna, Anul 2012, Milioane lei, 4351.6
Covasna, Anul 2013, Milioane lei, 4657.1
Covasna, Anul 2014, Milioane lei, 4723.7
Covasna, Anul 2015, Milioane lei, 5105.5
Harghita, Anul 2000, Milioane lei, 1161.6
Harghita, Anul 2001, Milioane lei, 1473.4
Harghita, Anul 2002, Milioane lei, 1981.8
Harghita, Anul 2003, Milioane lei, 2469.4
Harghita, Anul 2004, Milioane lei, 3054.8
