
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, TOTAL, Anul 1990, Procente, 82
Total, TOTAL, Anul 1991, Procente, 82.5
Total, TOTAL, Anul 1992, Procente, 79.6
Total, TOTAL, Anul 1993, Procente, 76.1
Total, TOTAL, Anul 1994, Procente, 75.6
Total, TOTAL, Anul 1995, Procente, 71.5
Total, TOTAL, Anul 1996, Procente, 70.1
Total, TOTAL, Anul 1997, Procente, 67.3
Total, TOTAL, Anul 1998, Procente, 66
Total, TOTAL, Anul 1999, Procente, 63
Total, TOTAL, Anul 2000, Procente, 64.6
Total, TOTAL, Anul 2001, Procente, 62.9
Total, TOTAL, Anul 2002, Procente, 62.4
Total, TOTAL, Anul 2003, Procente, 61.3
Total, TOTAL, Anul 2004, Procente, 60.1
Total, TOTAL, Anul 2005, Procente, 60.7
Total, TOTAL, Anul 2006, Procente, 61.4
Total, TOTAL, Anul 2007, Procente, 63.4
Total, TOTAL, Anul 2008, Procente, 63.6
Total, TOTAL, Anul 2009, Procente, 60.6
Total, TOTAL, Anul 2010, Procente, 59.6
Total, TOTAL, Anul 2011, Procente, 59.6
Total, TOTAL, Anul 2012, Procente, 61.1
Total, TOTAL, Anul 2013, Procente, 60.9
Total, TOTAL, Anul 2014, Procente, 66.9
Total, TOTAL, Anul 2015, Procente, 66.8
Total, TOTAL, Anul 2016, Procente, 66.2
Total, TOTAL, Anul 2017, Procente, 67.3
Total, MACROREGIUNEA UNU, Anul 1990, Procente, 81.4
Total, MACROREGIUNEA UNU, Anul 1991, Procente, 83.2
Total, MACROREGIUNEA UNU, Anul 1992, Procente, 79.8
Total, MACROREGIUNEA UNU, Anul 1993, Procente, 77.3
Total, MACROREGIUNEA UNU, Anul 1994, Procente, 76.8
Total, MACROREGIUNEA UNU, Anul 1995, Procente, 72.8
Total, MACROREGIUNEA UNU, Anul 1996, Procente, 72.7
Total, MACROREGIUNEA UNU, Anul 1997, Procente, 69.5
Total, MACROREGIUNEA UNU, Anul 1998, Procente, 69.8
Total, MACROREGIUNEA UNU, Anul 1999, Procente, 67.2
Total, MACROREGIUNEA UNU, Anul 2000, Procente, 67.9
Total, MACROREGIUNEA UNU, Anul 2001, Procente, 66.3
Total, MACROREGIUNEA UNU, Anul 2002, Procente, 66.7
Total, MACROREGIUNEA UNU, Anul 2003, Procente, 65.1
Total, MACROREGIUNEA UNU, Anul 2004, Procente, 63.6
Total, MACROREGIUNEA UNU, Anul 2005, Procente, 63.7
Total, MACROREGIUNEA UNU, Anul 2006, Procente, 64.6
Total, MACROREGIUNEA UNU, Anul 2007, Procente, 66.3
Total, MACROREGIUNEA UNU, Anul 2008, Procente, 66.3
Total, MACROREGIUNEA UNU, Anul 2009, Procente, 63.4
Total, MACROREGIUNEA UNU, Anul 2010, Procente, 62.5
Total, MACROREGIUNEA UNU, Anul 2011, Procente, 62.8
Total, MACROREGIUNEA UNU, Anul 2012, Procente, 64.7
Total, MACROREGIUNEA UNU, Anul 2013, Procente, 64.9
Total, MACROREGIUNEA UNU, Anul 2014, Procente, 70.4
Total, MACROREGIUNEA UNU, Anul 2015, Procente, 70.5
Total, MACROREGIUNEA UNU, Anul 2016, Procente, 70
Total, MACROREGIUNEA UNU, Anul 2017, Procente, 71.2
Total, Regiunea NORD-VEST, Anul 1990, Procente, 83.2
Total, Regiunea NORD-VEST, Anul 1991, Procente, 84
Total, Regiunea NORD-VEST, Anul 1992, Procente, 81
Total, Regiunea NORD-VEST, Anul 1993, Procente, 77.6
Total, Regiunea NORD-VEST, Anul 1994, Procente, 76.4
Total, Regiunea NORD-VEST, Anul 1995, Procente, 73.6
Total, Regiunea NORD-VEST, Anul 1996, Procente, 73.1
Total, Regiunea NORD-VEST, Anul 1997, Procente, 69.8
Total, Regiunea NORD-VEST, Anul 1998, Procente, 71.9
Total, Regiunea NORD-VEST, Anul 1999, Procente, 68.4
Total, Regiunea NORD-VEST, Anul 2000, Procente, 69.7
Total, Regiunea NORD-VEST, Anul 2001, Procente, 69
Total, Regiunea NORD-VEST, Anul 2002, Procente, 67.9
Total, Regiunea NORD-VEST, Anul 2003, Procente, 66.8
Total, Regiunea NORD-VEST, Anul 2004, Procente, 65.5
Total, Regiunea NORD-VEST, Anul 2005, Procente, 66.4
Total, Regiunea NORD-VEST, Anul 2006, Procente, 66.7
Total, Regiunea NORD-VEST, Anul 2007, Procente, 68.5
Total, Regiunea NORD-VEST, Anul 2008, Procente, 68.6
Total, Regiunea NORD-VEST, Anul 2009, Procente, 66.1
Total, Regiunea NORD-VEST, Anul 2010, Procente, 64.9
Total, Regiunea NORD-VEST, Anul 2011, Procente, 65
Total, Regiunea NORD-VEST, Anul 2012, Procente, 66.7
Total, Regiunea NORD-VEST, Anul 2013, Procente, 66.9
Total, Regiunea NORD-VEST, Anul 2014, Procente, 81.3
Total, Regiunea NORD-VEST, Anul 2015, Procente, 71.6
Total, Regiunea NORD-VEST, Anul 2016, Procente, 70.4
Total, Regiunea NORD-VEST, Anul 2017, Procente, 71.6
Total, Bihor, Anul 1990, Procente, 84.1
Total, Bihor, Anul 1991, Procente, 86.4
Total, Bihor, Anul 1992, Procente, 83.2
Total, Bihor, Anul 1993, Procente, 82.3
Total, Bihor, Anul 1994, Procente, 79.3
Total, Bihor, Anul 1995, Procente, 74.8
Total, Bihor, Anul 1996, Procente, 74.4
Total, Bihor, Anul 1997, Procente, 72.5
Total, Bihor, Anul 1998, Procente, 76.6
Total, Bihor, Anul 1999, Procente, 74.2
Total, Bihor, Anul 2000, Procente, 80
Total, Bihor, Anul 2001, Procente, 78.5
Total, Bihor, Anul 2002, Procente, 78.6
Total, Bihor, Anul 2003, Procente, 78.7
Total, Bihor, Anul 2004, Procente, 76.5
Total, Bihor, Anul 2005, Procente, 76.7
Total, Bihor, Anul 2006, Procente, 76.6
Total, Bihor, Anul 2007, Procente, 77.7
Total, Bihor, Anul 2008, Procente, 76.7
Total, Bihor, Anul 2009, Procente, 73.8
Total, Bihor, Anul 2010, Procente, 71.4
Total, Bihor, Anul 2011, Procente, 70.1
Total, Bihor, Anul 2012, Procente, 71.4
Total, Bihor, Anul 2013, Procente, 70.9
Total, Bihor, Anul 2014, Procente, 73.8
Total, Bihor, Anul 2015, Procente, 73.5
Total, Bihor, Anul 2016, Procente, 71.6
Total, Bihor, Anul 2017, Procente, 72
Total, Bistrita-Nasaud, Anul 1990, Procente, 83.4
Total, Bistrita-Nasaud, Anul 1991, Procente, 81.8
Total, Bistrita-Nasaud, Anul 1992, Procente, 75.5
Total, Bistrita-Nasaud, Anul 1993, Procente, 69.5
Total, Bistrita-Nasaud, Anul 1994, Procente, 68.2
Total, Bistrita-Nasaud, Anul 1995, Procente, 65
Total, Bistrita-Nasaud, Anul 1996, Procente, 65.1
Total, Bistrita-Nasaud, Anul 1997, Procente, 65
Total, Bistrita-Nasaud, Anul 1998, Procente, 60.9
Total, Bistrita-Nasaud, Anul 1999, Procente, 60.8
Total, Bistrita-Nasaud, Anul 2000, Procente, 60.2
Total, Bistrita-Nasaud, Anul 2001, Procente, 59.4
Total, Bistrita-Nasaud, Anul 2002, Procente, 57.5
Total, Bistrita-Nasaud, Anul 2003, Procente, 58
Total, Bistrita-Nasaud, Anul 2004, Procente, 57.6
Total, Bistrita-Nasaud, Anul 2005, Procente, 58.4
Total, Bistrita-Nasaud, Anul 2006, Procente, 59.6
Total, Bistrita-Nasaud, Anul 2007, Procente, 61.9
Total, Bistrita-Nasaud, Anul 2008, Procente, 62.3
Total, Bistrita-Nasaud, Anul 2009, Procente, 59.9
Total, Bistrita-Nasaud, Anul 2010, Procente, 59.7
Total, Bistrita-Nasaud, Anul 2011, Procente, 60.6
Total, Bistrita-Nasaud, Anul 2012, Procente, 63.1
Total, Bistrita-Nasaud, Anul 2013, Procente, 62.4
Total, Bistrita-Nasaud, Anul 2014, Procente, 72.9
Total, Bistrita-Nasaud, Anul 2015, Procente, 73.4
Total, Bistrita-Nasaud, Anul 2016, Procente, 71.9
Total, Bistrita-Nasaud, Anul 2017, Procente, 72.7
Total, Cluj, Anul 1990, Procente, 85.1
Total, Cluj, Anul 1991, Procente, 84.1
Total, Cluj, Anul 1992, Procente, 83.5
Total, Cluj, Anul 1993, Procente, 78.9
Total, Cluj, Anul 1994, Procente, 78.3
Total, Cluj, Anul 1995, Procente, 75.7
Total, Cluj, Anul 1996, Procente, 73.9
Total, Cluj, Anul 1997, Procente, 70.8
Total, Cluj, Anul 1998, Procente, 70.4
Total, Cluj, Anul 1999, Procente, 64.8
Total, Cluj, Anul 2000, Procente, 66.3
Total, Cluj, Anul 2001, Procente, 66.7
Total, Cluj, Anul 2002, Procente, 68.8
Total, Cluj, Anul 2003, Procente, 67.5
Total, Cluj, Anul 2004, Procente, 65.8
Total, Cluj, Anul 2005, Procente, 68.5
Total, Cluj, Anul 2006, Procente, 68.3
Total, Cluj, Anul 2007, Procente, 71.8
Total, Cluj, Anul 2008, Procente, 73.2
Total, Cluj, Anul 2009, Procente, 70.5
Total, Cluj, Anul 2010, Procente, 69.5
Total, Cluj, Anul 2011, Procente, 70.3
Total, Cluj, Anul 2012, Procente, 71.7
Total, Cluj, Anul 2013, Procente, 73
