
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, TOTAL, Anul 1991, Procente, 3
Total, TOTAL, Anul 1992, Procente, 8.2
Total, TOTAL, Anul 1993, Procente, 10.4
Total, TOTAL, Anul 1994, Procente, 10.9
Total, TOTAL, Anul 1995, Procente, 9.5
Total, TOTAL, Anul 1996, Procente, 6.6
Total, TOTAL, Anul 1997, Procente, 8.9
Total, TOTAL, Anul 1998, Procente, 10.4
Total, TOTAL, Anul 1999, Procente, 11.8
Total, TOTAL, Anul 2000, Procente, 10.5
Total, TOTAL, Anul 2001, Procente, 8.8
Total, TOTAL, Anul 2002, Procente, 8.4
Total, TOTAL, Anul 2003, Procente, 7.4
Total, TOTAL, Anul 2004, Procente, 6.3
Total, TOTAL, Anul 2005, Procente, 5.9
Total, TOTAL, Anul 2006, Procente, 5.2
Total, TOTAL, Anul 2007, Procente, 4
Total, TOTAL, Anul 2008, Procente, 4.4
Total, TOTAL, Anul 2009, Procente, 7.8
Total, TOTAL, Anul 2010, Procente, 7
Total, TOTAL, Anul 2011, Procente, 5.2
Total, TOTAL, Anul 2012, Procente, 5.4
Total, TOTAL, Anul 2013, Procente, 5.7
Total, TOTAL, Anul 2014, Procente, 5.4
Total, TOTAL, Anul 2015, Procente, 5
Total, TOTAL, Anul 2016, Procente, 4.8
Total, TOTAL, Anul 2017, Procente, 4
Total, MACROREGIUNEA UNU, Anul 1991, Procente, 2.5
Total, MACROREGIUNEA UNU, Anul 1992, Procente, 7.9
Total, MACROREGIUNEA UNU, Anul 1993, Procente, 9.4
Total, MACROREGIUNEA UNU, Anul 1994, Procente, 10.1
Total, MACROREGIUNEA UNU, Anul 1995, Procente, 8.9
Total, MACROREGIUNEA UNU, Anul 1996, Procente, 5.8
Total, MACROREGIUNEA UNU, Anul 1997, Procente, 8.4
Total, MACROREGIUNEA UNU, Anul 1998, Procente, 9.5
Total, MACROREGIUNEA UNU, Anul 1999, Procente, 10.5
Total, MACROREGIUNEA UNU, Anul 2000, Procente, 9.4
Total, MACROREGIUNEA UNU, Anul 2001, Procente, 7.7
Total, MACROREGIUNEA UNU, Anul 2002, Procente, 7.9
Total, MACROREGIUNEA UNU, Anul 2003, Procente, 6.8
Total, MACROREGIUNEA UNU, Anul 2004, Procente, 5.9
