ABF - Categorii de venituri  intrari de bani si in natura, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, UM: Lei  lei RON (incepand cu 2005), Valoare
Venituri totale, Total, TOTAL, Anul 2008, Lei, 2131.67
Venituri totale, Total, TOTAL, Anul 2009, Lei, 2315.99
Venituri totale, Total, TOTAL, Anul 2010, Lei, 2304.28
Venituri totale, Total, TOTAL, Anul 2011, Lei, 2417.26
Venituri totale, Total, TOTAL, Anul 2012, Lei, 2475.04
Venituri totale, Total, TOTAL, Anul 2013, Lei, 2559.05
Venituri totale, Total, TOTAL, Anul 2014, Lei, 2500.72
Venituri totale, Total, TOTAL, Anul 2015, Lei, 2686.77
Venituri totale, Total, TOTAL, Anul 2016, Lei, 2944.6
Venituri totale, Total, TOTAL, Anul 2017, Lei, 3391.67
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 2164.17
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 2280.31
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 2303.53
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 2495.67
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 2513.98
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 2673.22
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2014, Lei, 2584.75
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2015, Lei, 2904.06
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2016, Lei, 3104.76
Venituri totale, Total, MACROREGIUNEA UNU, Anul 2017, Lei, 3567.04
Venituri totale, Total, Regiunea NORD-VEST, Anul 2008, Lei, 2193.69
Venituri totale, Total, Regiunea NORD-VEST, Anul 2009, Lei, 2270.76
Venituri totale, Total, Regiunea NORD-VEST, Anul 2010, Lei, 2307.85
Venituri totale, Total, Regiunea NORD-VEST, Anul 2011, Lei, 2511.94
Venituri totale, Total, Regiunea NORD-VEST, Anul 2012, Lei, 2523.17
Venituri totale, Total, Regiunea NORD-VEST, Anul 2013, Lei, 2609.73
