
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
TOTAL, Anul 2007, Procente, 24.6
TOTAL, Anul 2008, Procente, 23.6
TOTAL, Anul 2009, Procente, 22.1
TOTAL, Anul 2010, Procente, 21.6
TOTAL, Anul 2011, Procente, 22.3
TOTAL, Anul 2012, Procente, 22.9
TOTAL, Anul 2013, Procente, 23
TOTAL, Anul 2014, Procente, 25.1
TOTAL, Anul 2015, Procente, 25.4
TOTAL, Anul 2016, Procente, 25.3
TOTAL, Anul 2017, Procente, 23.6
MACROREGIUNEA UNU, Anul 2007, Procente, 19.1
MACROREGIUNEA UNU, Anul 2008, Procente, 20.8
MACROREGIUNEA UNU, Anul 2009, Procente, 19
MACROREGIUNEA UNU, Anul 2010, Procente, 18
MACROREGIUNEA UNU, Anul 2011, Procente, 19.7
MACROREGIUNEA UNU, Anul 2012, Procente, 17.7
MACROREGIUNEA UNU, Anul 2013, Procente, 17.6
MACROREGIUNEA UNU, Anul 2014, Procente, 20.4
MACROREGIUNEA UNU, Anul 2015, Procente, 18.5
MACROREGIUNEA UNU, Anul 2016, Procente, 18.8
MACROREGIUNEA UNU, Anul 2017, Procente, 18.2
Regiunea NORD-VEST, Anul 2007, Procente, 20
Regiunea NORD-VEST, Anul 2008, Procente, 20
Regiunea NORD-VEST, Anul 2009, Procente, 18.5
Regiunea NORD-VEST, Anul 2010, Procente, 15.8
Regiunea NORD-VEST, Anul 2011, Procente, 20.6
Regiunea NORD-VEST, Anul 2012, Procente, 17.4
Regiunea NORD-VEST, Anul 2013, Procente, 17.1
Regiunea NORD-VEST, Anul 2014, Procente, 20.4
Regiunea NORD-VEST, Anul 2015, Procente, 19.2
Regiunea NORD-VEST, Anul 2016, Procente, 17.1
Regiunea NORD-VEST, Anul 2017, Procente, 19
Regiunea CENTRU, Anul 2007, Procente, 18.2
Regiunea CENTRU, Anul 2008, Procente, 21.6
Regiunea CENTRU, Anul 2009, Procente, 19.6
Regiunea CENTRU, Anul 2010, Procente, 20.5
Regiunea CENTRU, Anul 2011, Procente, 18.7
Regiunea CENTRU, Anul 2012, Procente, 18
Regiunea CENTRU, Anul 2013, Procente, 18.2
Regiunea CENTRU, Anul 2014, Procente, 20.4
Regiunea CENTRU, Anul 2015, Procente, 17.8
Regiunea CENTRU, Anul 2016, Procente, 20.8
Regiunea CENTRU, Anul 2017, Procente, 17.3
MACROREGIUNEA DOI, Anul 2007, Procente, 33.8
MACROREGIUNEA DOI, Anul 2008, Procente, 30.2
MACROREGIUNEA DOI, Anul 2009, Procente, 27.1
MACROREGIUNEA DOI, Anul 2010, Procente, 29.5
MACROREGIUNEA DOI, Anul 2011, Procente, 30.8
MACROREGIUNEA DOI, Anul 2012, Procente, 31.8
MACROREGIUNEA DOI, Anul 2013, Procente, 33.5
MACROREGIUNEA DOI, Anul 2014, Procente, 35.2
MACROREGIUNEA DOI, Anul 2015, Procente, 34.4
