
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
TOTAL, Anul 2007, Procente, 47
TOTAL, Anul 2008, Procente, 44.2
TOTAL, Anul 2009, Procente, 43
TOTAL, Anul 2010, Procente, 41.5
TOTAL, Anul 2011, Procente, 40.9
TOTAL, Anul 2012, Procente, 43.2
TOTAL, Anul 2013, Procente, 41.9
TOTAL, Anul 2014, Procente, 40.3
TOTAL, Anul 2015, Procente, 37.4
TOTAL, Anul 2016, Procente, 38.8
TOTAL, Anul 2017, Procente, 35.7
MACROREGIUNEA UNU, Anul 2007, Procente, 39.4
MACROREGIUNEA UNU, Anul 2008, Procente, 36.9
MACROREGIUNEA UNU, Anul 2009, Procente, 34.8
MACROREGIUNEA UNU, Anul 2010, Procente, 31.7
MACROREGIUNEA UNU, Anul 2011, Procente, 33
MACROREGIUNEA UNU, Anul 2012, Procente, 33.9
MACROREGIUNEA UNU, Anul 2013, Procente, 34
MACROREGIUNEA UNU, Anul 2014, Procente, 33.8
MACROREGIUNEA UNU, Anul 2015, Procente, 29.7
MACROREGIUNEA UNU, Anul 2016, Procente, 29.4
MACROREGIUNEA UNU, Anul 2017, Procente, 26.1
Regiunea NORD-VEST, Anul 2007, Procente, 39.2
Regiunea NORD-VEST, Anul 2008, Procente, 34.9
Regiunea NORD-VEST, Anul 2009, Procente, 36.2
Regiunea NORD-VEST, Anul 2010, Procente, 32.1
Regiunea NORD-VEST, Anul 2011, Procente, 35.2
Regiunea NORD-VEST, Anul 2012, Procente, 33.5
Regiunea NORD-VEST, Anul 2013, Procente, 32.3
Regiunea NORD-VEST, Anul 2014, Procente, 32.1
Regiunea NORD-VEST, Anul 2015, Procente, 28
Regiunea NORD-VEST, Anul 2016, Procente, 29.3
Regiunea NORD-VEST, Anul 2017, Procente, 26.4
Regiunea CENTRU, Anul 2007, Procente, 39.5
Regiunea CENTRU, Anul 2008, Procente, 39
Regiunea CENTRU, Anul 2009, Procente, 33.3
Regiunea CENTRU, Anul 2010, Procente, 31.3
Regiunea CENTRU, Anul 2011, Procente, 30.6
Regiunea CENTRU, Anul 2012, Procente, 34.3
Regiunea CENTRU, Anul 2013, Procente, 36
Regiunea CENTRU, Anul 2014, Procente, 35.7
Regiunea CENTRU, Anul 2015, Procente, 31.6
Regiunea CENTRU, Anul 2016, Procente, 29.5
Regiunea CENTRU, Anul 2017, Procente, 25.7
MACROREGIUNEA DOI, Anul 2007, Procente, 55
MACROREGIUNEA DOI, Anul 2008, Procente, 51.7
MACROREGIUNEA DOI, Anul 2009, Procente, 48.4
MACROREGIUNEA DOI, Anul 2010, Procente, 52.1
MACROREGIUNEA DOI, Anul 2011, Procente, 50.8
MACROREGIUNEA DOI, Anul 2012, Procente, 53
MACROREGIUNEA DOI, Anul 2013, Procente, 52.6
MACROREGIUNEA DOI, Anul 2014, Procente, 51.1
MACROREGIUNEA DOI, Anul 2015, Procente, 46.2
MACROREGIUNEA DOI, Anul 2016, Procente, 45.5
MACROREGIUNEA DOI, Anul 2017, Procente, 43.3
Regiunea NORD-EST, Anul 2007, Procente, 56.7
Regiunea NORD-EST, Anul 2008, Procente, 55.5
Regiunea NORD-EST, Anul 2009, Procente, 52.9
Regiunea NORD-EST, Anul 2010, Procente, 52.4
Regiunea NORD-EST, Anul 2011, Procente, 51.7
Regiunea NORD-EST, Anul 2012, Procente, 52.1
Regiunea NORD-EST, Anul 2013, Procente, 51.5
Regiunea NORD-EST, Anul 2014, Procente, 49.4
Regiunea NORD-EST, Anul 2015, Procente, 46.3
Regiunea NORD-EST, Anul 2016, Procente, 46
Regiunea NORD-EST, Anul 2017, Procente, 43.9
Regiunea SUD-EST, Anul 2007, Procente, 52.9
Regiunea SUD-EST, Anul 2008, Procente, 46.7
Regiunea SUD-EST, Anul 2009, Procente, 42.6
Regiunea SUD-EST, Anul 2010, Procente, 51.7
Regiunea SUD-EST, Anul 2011, Procente, 49.6
Regiunea SUD-EST, Anul 2012, Procente, 54.1
Regiunea SUD-EST, Anul 2013, Procente, 53.9
Regiunea SUD-EST, Anul 2014, Procente, 53.2
Regiunea SUD-EST, Anul 2015, Procente, 46.2
Regiunea SUD-EST, Anul 2016, Procente, 44.9
Regiunea SUD-EST, Anul 2017, Procente, 42.5
MACROREGIUNEA TREI, Anul 2007, Procente, 45.9
MACROREGIUNEA TREI, Anul 2008, Procente, 41.1
MACROREGIUNEA TREI, Anul 2009, Procente, 44.6
MACROREGIUNEA TREI, Anul 2010, Procente, 38.6
MACROREGIUNEA TREI, Anul 2011, Procente, 37.7
MACROREGIUNEA TREI, Anul 2012, Procente, 39.6
MACROREGIUNEA TREI, Anul 2013, Procente, 37.2
MACROREGIUNEA TREI, Anul 2014, Procente, 34.7
MACROREGIUNEA TREI, Anul 2015, Procente, 34.4
MACROREGIUNEA TREI, Anul 2016, Procente, 37.7
MACROREGIUNEA TREI, Anul 2017, Procente, 34
Regiunea SUD-MUNTENIA, Anul 2007, Procente, 52
Regiunea SUD-MUNTENIA, Anul 2008, Procente, 46
Regiunea SUD-MUNTENIA, Anul 2009, Procente, 47.6
Regiunea SUD-MUNTENIA, Anul 2010, Procente, 42.8
Regiunea SUD-MUNTENIA, Anul 2011, Procente, 43.5
Regiunea SUD-MUNTENIA, Anul 2012, Procente, 45.5
Regiunea SUD-MUNTENIA, Anul 2013, Procente, 42
Regiunea SUD-MUNTENIA, Anul 2014, Procente, 41.7
Regiunea SUD-MUNTENIA, Anul 2015, Procente, 43.5
Regiunea SUD-MUNTENIA, Anul 2016, Procente, 41.2
Regiunea SUD-MUNTENIA, Anul 2017, Procente, 40.9
Regiunea BUCURESTI - ILFOV, Anul 2007, Procente, 37.3
Regiunea BUCURESTI - ILFOV, Anul 2008, Procente, 34
Regiunea BUCURESTI - ILFOV, Anul 2009, Procente, 40.3
Regiunea BUCURESTI - ILFOV, Anul 2010, Procente, 32.7
Regiunea BUCURESTI - ILFOV, Anul 2011, Procente, 29.7
Regiunea BUCURESTI - ILFOV, Anul 2012, Procente, 31.4
Regiunea BUCURESTI - ILFOV, Anul 2013, Procente, 30.7
Regiunea BUCURESTI - ILFOV, Anul 2014, Procente, 25.1
Regiunea BUCURESTI - ILFOV, Anul 2015, Procente, 20.5
Regiunea BUCURESTI - ILFOV, Anul 2016, Procente, 32.9
Regiunea BUCURESTI - ILFOV, Anul 2017, Procente, 25
MACROREGIUNEA PATRU, Anul 2007, Procente, 45.9
MACROREGIUNEA PATRU, Anul 2008, Procente, 46.2
MACROREGIUNEA PATRU, Anul 2009, Procente, 43.2
MACROREGIUNEA PATRU, Anul 2010, Procente, 42.2
