
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
TOTAL, Anul 2007, Procente, 38
TOTAL, Anul 2008, Procente, 32.7
TOTAL, Anul 2009, Procente, 32.1
TOTAL, Anul 2010, Procente, 30.5
TOTAL, Anul 2011, Procente, 29.5
TOTAL, Anul 2012, Procente, 31.1
TOTAL, Anul 2013, Procente, 29.8
TOTAL, Anul 2014, Procente, 25.9
TOTAL, Anul 2015, Procente, 22.7
TOTAL, Anul 2016, Procente, 23.8
TOTAL, Anul 2017, Procente, 23.6
MACROREGIUNEA UNU, Anul 2007, Procente, 30.1
MACROREGIUNEA UNU, Anul 2008, Procente, 26.1
MACROREGIUNEA UNU, Anul 2009, Procente, 22.8
MACROREGIUNEA UNU, Anul 2010, Procente, 20.8
MACROREGIUNEA UNU, Anul 2011, Procente, 21.7
MACROREGIUNEA UNU, Anul 2012, Procente, 23.1
MACROREGIUNEA UNU, Anul 2013, Procente, 24.4
MACROREGIUNEA UNU, Anul 2014, Procente, 21.4
MACROREGIUNEA UNU, Anul 2015, Procente, 19.1
MACROREGIUNEA UNU, Anul 2016, Procente, 17.9
MACROREGIUNEA UNU, Anul 2017, Procente, 12.5
Regiunea NORD-VEST, Anul 2007, Procente, 30.4
Regiunea NORD-VEST, Anul 2008, Procente, 25
Regiunea NORD-VEST, Anul 2009, Procente, 24.3
Regiunea NORD-VEST, Anul 2010, Procente, 21.8
Regiunea NORD-VEST, Anul 2011, Procente, 24.2
Regiunea NORD-VEST, Anul 2012, Procente, 22.7
Regiunea NORD-VEST, Anul 2013, Procente, 21.9
Regiunea NORD-VEST, Anul 2014, Procente, 18
Regiunea NORD-VEST, Anul 2015, Procente, 16.5
Regiunea NORD-VEST, Anul 2016, Procente, 17.6
Regiunea NORD-VEST, Anul 2017, Procente, 11.9
Regiunea CENTRU, Anul 2007, Procente, 29.7
Regiunea CENTRU, Anul 2008, Procente, 27.3
Regiunea CENTRU, Anul 2009, Procente, 21.2
Regiunea CENTRU, Anul 2010, Procente, 19.7
Regiunea CENTRU, Anul 2011, Procente, 18.9
Regiunea CENTRU, Anul 2012, Procente, 23.5
Regiunea CENTRU, Anul 2013, Procente, 27.2
Regiunea CENTRU, Anul 2014, Procente, 25
Regiunea CENTRU, Anul 2015, Procente, 21.9
Regiunea CENTRU, Anul 2016, Procente, 18.3
Regiunea CENTRU, Anul 2017, Procente, 13.2
MACROREGIUNEA DOI, Anul 2007, Procente, 43.7
MACROREGIUNEA DOI, Anul 2008, Procente, 37.8
MACROREGIUNEA DOI, Anul 2009, Procente, 37.2
MACROREGIUNEA DOI, Anul 2010, Procente, 39.5
MACROREGIUNEA DOI, Anul 2011, Procente, 37.1
MACROREGIUNEA DOI, Anul 2012, Procente, 37.2
MACROREGIUNEA DOI, Anul 2013, Procente, 36.4
MACROREGIUNEA DOI, Anul 2014, Procente, 32.1
MACROREGIUNEA DOI, Anul 2015, Procente, 28.9
MACROREGIUNEA DOI, Anul 2016, Procente, 26.4
MACROREGIUNEA DOI, Anul 2017, Procente, 23.9
Regiunea NORD-EST, Anul 2007, Procente, 43.5
Regiunea NORD-EST, Anul 2008, Procente, 40.5
Regiunea NORD-EST, Anul 2009, Procente, 41.9
Regiunea NORD-EST, Anul 2010, Procente, 40.3
Regiunea NORD-EST, Anul 2011, Procente, 38.6
Regiunea NORD-EST, Anul 2012, Procente, 37.5
Regiunea NORD-EST, Anul 2013, Procente, 34.5
Regiunea NORD-EST, Anul 2014, Procente, 30.4
Regiunea NORD-EST, Anul 2015, Procente, 26.7
