Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2011, Numar, 325120
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2012, Numar, 301586
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2013, Numar, 260416
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2014, Numar, 247620
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2015, Numar, 277624
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2016, Numar, 273337
Numarul mediu lunar de beneficiari - total, TOTAL, Anul 2017, Numar, 257538
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2011, Numar, 78275
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2012, Numar, 70699
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2013, Numar, 58580
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2014, Numar, 54451
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2015, Numar, 59806
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2016, Numar, 58650
Numarul mediu lunar de beneficiari - total, MACROREGIUNEA UNU, Anul 2017, Numar, 56522
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2011, Numar, 37563
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2012, Numar, 34510
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2013, Numar, 27841
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2014, Numar, 25638
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2015, Numar, 27843
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2016, Numar, 27450
Numarul mediu lunar de beneficiari - total, Regiunea NORD-VEST, Anul 2017, Numar, 26556
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2011, Numar, 7080
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2012, Numar, 5753
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2013, Numar, 4881
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2014, Numar, 4973
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2015, Numar, 5736
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2016, Numar, 5525
Numarul mediu lunar de beneficiari - total, Bihor, Anul 2017, Numar, 4899
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2011, Numar, 5853
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2012, Numar, 6221
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2013, Numar, 4968
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2014, Numar, 4236
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2015, Numar, 4588
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2016, Numar, 4264
Numarul mediu lunar de beneficiari - total, Bistrita-Nasaud, Anul 2017, Numar, 4130
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2011, Numar, 3910
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2012, Numar, 4063
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2013, Numar, 3295
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2014, Numar, 3308
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2015, Numar, 3630
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2016, Numar, 3752
Numarul mediu lunar de beneficiari - total, Cluj, Anul 2017, Numar, 3673
Numarul mediu lunar de beneficiari - total, Maramures, Anul 2011, Numar, 9842
Numarul mediu lunar de beneficiari - total, Maramures, Anul 2012, Numar, 8920
Numarul mediu lunar de beneficiari - total, Maramures, Anul 2013, Numar, 6387
Numarul mediu lunar de beneficiari - total, Maramures, Anul 2014, Numar, 5841
Numarul mediu lunar de beneficiari - total, Maramures, Anul 2015, Numar, 6391
