Unitati  capacitate  cheltuieli de functionare, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar, Valoare
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1994, Numar persoane, 38611
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1995, Numar persoane, 46085
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1996, Numar persoane, 31266
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1997, Numar persoane, 27861
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1998, Numar persoane, 32642
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 1999, Numar persoane, 32417
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2000, Numar persoane, 34508
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2001, Numar persoane, 37083
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2002, Numar persoane, 30183
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2003, Numar persoane, 25779
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2004, Numar persoane, 27510
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2005, Numar persoane, 19600
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2006, Numar persoane, 23590
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2007, Numar persoane, 21268
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2008, Numar persoane, 20469
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2009, Numar persoane, 18828
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2010, Numar persoane, 18631
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2011, Numar persoane, 16530
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2012, Numar persoane, 17300
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2013, Numar persoane, 17969.5
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2014, Numar persoane, 18710
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2015, Numar persoane, 18610
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2016, Numar persoane, 14302
Cantine publice-numar mediu zilnic de beneficiari, TOTAL, Anul 2017, Numar persoane, 11981
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 4441
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 9135
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 5488
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 4997
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 5847
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 6792
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 7540
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 7543
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 5748
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 4296
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 4521
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 4485
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 4244
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 3892
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 3733
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 3801
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 4002
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 3264
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 3717
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 3629
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 3723
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 3670
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 2611
Cantine publice-numar mediu zilnic de beneficiari, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 2819
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1994, Numar persoane, 2499
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1995, Numar persoane, 3266
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1996, Numar persoane, 3305
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1997, Numar persoane, 3220
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1998, Numar persoane, 4486
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 1999, Numar persoane, 4599
