Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
TOTAL, Anul 1990, Numar persoane, 37112
TOTAL, Anul 1991, Numar persoane, 60883
TOTAL, Anul 1992, Numar persoane, 69143
TOTAL, Anul 1993, Numar persoane, 83247
TOTAL, Anul 1994, Numar persoane, 95795
TOTAL, Anul 1995, Numar persoane, 101705
TOTAL, Anul 1996, Numar persoane, 104029
TOTAL, Anul 1997, Numar persoane, 111926
TOTAL, Anul 1998, Numar persoane, 106221
TOTAL, Anul 1999, Numar persoane, 87576
TOTAL, Anul 2000, Numar persoane, 75407
TOTAL, Anul 2001, Numar persoane, 82912
TOTAL, Anul 2002, Numar persoane, 81814
TOTAL, Anul 2003, Numar persoane, 76739
TOTAL, Anul 2004, Numar persoane, 69397
TOTAL, Anul 2005, Numar persoane, 65682
TOTAL, Anul 2006, Numar persoane, 56705
TOTAL, Anul 2007, Numar persoane, 46127
TOTAL, Anul 2008, Numar persoane, 36795
TOTAL, Anul 2009, Numar persoane, 34226
TOTAL, Anul 2010, Numar persoane, 41891
TOTAL, Anul 2011, Numar persoane, 47577
TOTAL, Anul 2012, Numar persoane, 49188
TOTAL, Anul 2013, Numar persoane, 47133
TOTAL, Anul 2014, Numar persoane, 40832
TOTAL, Anul 2015, Numar persoane, 42276
TOTAL, Anul 2016, Numar persoane, 32720
MACROREGIUNEA UNU, Anul 1990, Numar persoane, 8023
MACROREGIUNEA UNU, Anul 1991, Numar persoane, 14004
MACROREGIUNEA UNU, Anul 1992, Numar persoane, 14971
MACROREGIUNEA UNU, Anul 1993, Numar persoane, 22137
MACROREGIUNEA UNU, Anul 1994, Numar persoane, 24269
MACROREGIUNEA UNU, Anul 1995, Numar persoane, 25070
MACROREGIUNEA UNU, Anul 1996, Numar persoane, 24221
MACROREGIUNEA UNU, Anul 1997, Numar persoane, 24934
MACROREGIUNEA UNU, Anul 1998, Numar persoane, 25544
MACROREGIUNEA UNU, Anul 1999, Numar persoane, 22160
MACROREGIUNEA UNU, Anul 2000, Numar persoane, 18598
MACROREGIUNEA UNU, Anul 2001, Numar persoane, 18862
MACROREGIUNEA UNU, Anul 2002, Numar persoane, 17870
MACROREGIUNEA UNU, Anul 2003, Numar persoane, 17294
MACROREGIUNEA UNU, Anul 2004, Numar persoane, 16964
MACROREGIUNEA UNU, Anul 2005, Numar persoane, 15778
MACROREGIUNEA UNU, Anul 2006, Numar persoane, 13575
MACROREGIUNEA UNU, Anul 2007, Numar persoane, 11164
MACROREGIUNEA UNU, Anul 2008, Numar persoane, 9619
MACROREGIUNEA UNU, Anul 2009, Numar persoane, 8974
MACROREGIUNEA UNU, Anul 2010, Numar persoane, 11348
MACROREGIUNEA UNU, Anul 2011, Numar persoane, 13448
MACROREGIUNEA UNU, Anul 2012, Numar persoane, 13841
MACROREGIUNEA UNU, Anul 2013, Numar persoane, 13079
MACROREGIUNEA UNU, Anul 2014, Numar persoane, 11330
MACROREGIUNEA UNU, Anul 2015, Numar persoane, 11205
MACROREGIUNEA UNU, Anul 2016, Numar persoane, 8166
Regiunea NORD-VEST, Anul 1990, Numar persoane, 4285
Regiunea NORD-VEST, Anul 1991, Numar persoane, 7150
Regiunea NORD-VEST, Anul 1992, Numar persoane, 7948
Regiunea NORD-VEST, Anul 1993, Numar persoane, 12504
Regiunea NORD-VEST, Anul 1994, Numar persoane, 12400
Regiunea NORD-VEST, Anul 1995, Numar persoane, 13355
Regiunea NORD-VEST, Anul 1996, Numar persoane, 12733
Regiunea NORD-VEST, Anul 1997, Numar persoane, 13300
Regiunea NORD-VEST, Anul 1998, Numar persoane, 14052
Regiunea NORD-VEST, Anul 1999, Numar persoane, 12330
Regiunea NORD-VEST, Anul 2000, Numar persoane, 10079
Regiunea NORD-VEST, Anul 2001, Numar persoane, 10428
Regiunea NORD-VEST, Anul 2002, Numar persoane, 10113
Regiunea NORD-VEST, Anul 2003, Numar persoane, 9505
Regiunea NORD-VEST, Anul 2004, Numar persoane, 10808
Regiunea NORD-VEST, Anul 2005, Numar persoane, 9678
Regiunea NORD-VEST, Anul 2006, Numar persoane, 7375
Regiunea NORD-VEST, Anul 2007, Numar persoane, 6215
Regiunea NORD-VEST, Anul 2008, Numar persoane, 5207
Regiunea NORD-VEST, Anul 2009, Numar persoane, 4530
Regiunea NORD-VEST, Anul 2010, Numar persoane, 5784
Regiunea NORD-VEST, Anul 2011, Numar persoane, 6709
Regiunea NORD-VEST, Anul 2012, Numar persoane, 7541
Regiunea NORD-VEST, Anul 2013, Numar persoane, 6944
Regiunea NORD-VEST, Anul 2014, Numar persoane, 6015
Regiunea NORD-VEST, Anul 2015, Numar persoane, 6302
Regiunea NORD-VEST, Anul 2016, Numar persoane, 4392
Bihor, Anul 1990, Numar persoane, 886
Bihor, Anul 1991, Numar persoane, 1266
Bihor, Anul 1992, Numar persoane, 1254
Bihor, Anul 1993, Numar persoane, 1801
Bihor, Anul 1994, Numar persoane, 2261
Bihor, Anul 1995, Numar persoane, 2632
Bihor, Anul 1996, Numar persoane, 2873
Bihor, Anul 1997, Numar persoane, 3038
Bihor, Anul 1998, Numar persoane, 3092
Bihor, Anul 1999, Numar persoane, 3387
Bihor, Anul 2000, Numar persoane, 2508
Bihor, Anul 2001, Numar persoane, 2721
Bihor, Anul 2002, Numar persoane, 2739
Bihor, Anul 2003, Numar persoane, 2715
Bihor, Anul 2004, Numar persoane, 4434
Bihor, Anul 2005, Numar persoane, 3425
Bihor, Anul 2006, Numar persoane, 1659
Bihor, Anul 2007, Numar persoane, 911
Bihor, Anul 2008, Numar persoane, 885
Bihor, Anul 2009, Numar persoane, 765
Bihor, Anul 2010, Numar persoane, 1230
Bihor, Anul 2011, Numar persoane, 1364
Bihor, Anul 2012, Numar persoane, 1558
Bihor, Anul 2013, Numar persoane, 1234
Bihor, Anul 2014, Numar persoane, 1069
Bihor, Anul 2015, Numar persoane, 1585
Bihor, Anul 2016, Numar persoane, 943
Bistrita-Nasaud, Anul 1990, Numar persoane, 502
Bistrita-Nasaud, Anul 1991, Numar persoane, 954
Bistrita-Nasaud, Anul 1992, Numar persoane, 692
Bistrita-Nasaud, Anul 1993, Numar persoane, 1737
Bistrita-Nasaud, Anul 1994, Numar persoane, 1504
Bistrita-Nasaud, Anul 1995, Numar persoane, 1629
Bistrita-Nasaud, Anul 1996, Numar persoane, 1358
Bistrita-Nasaud, Anul 1997, Numar persoane, 1494
Bistrita-Nasaud, Anul 1998, Numar persoane, 1388
Bistrita-Nasaud, Anul 1999, Numar persoane, 1228
Bistrita-Nasaud, Anul 2000, Numar persoane, 1074
Bistrita-Nasaud, Anul 2001, Numar persoane, 1068
Bistrita-Nasaud, Anul 2002, Numar persoane, 1008
Bistrita-Nasaud, Anul 2003, Numar persoane, 845
Bistrita-Nasaud, Anul 2004, Numar persoane, 760
Bistrita-Nasaud, Anul 2005, Numar persoane, 891
Bistrita-Nasaud, Anul 2006, Numar persoane, 795
Bistrita-Nasaud, Anul 2007, Numar persoane, 621
Bistrita-Nasaud, Anul 2008, Numar persoane, 507
Bistrita-Nasaud, Anul 2009, Numar persoane, 491
Bistrita-Nasaud, Anul 2010, Numar persoane, 544
Bistrita-Nasaud, Anul 2011, Numar persoane, 712
Bistrita-Nasaud, Anul 2012, Numar persoane, 617
Bistrita-Nasaud, Anul 2013, Numar persoane, 617
Bistrita-Nasaud, Anul 2014, Numar persoane, 535
Bistrita-Nasaud, Anul 2015, Numar persoane, 443
Bistrita-Nasaud, Anul 2016, Numar persoane, 516
Cluj, Anul 1990, Numar persoane, 1133
Cluj, Anul 1991, Numar persoane, 1600
Cluj, Anul 1992, Numar persoane, 1644
Cluj, Anul 1993, Numar persoane, 2450
Cluj, Anul 1994, Numar persoane, 2524
Cluj, Anul 1995, Numar persoane, 2787
Cluj, Anul 1996, Numar persoane, 2743
Cluj, Anul 1997, Numar persoane, 2877
Cluj, Anul 1998, Numar persoane, 3102
Cluj, Anul 1999, Numar persoane, 2805
Cluj, Anul 2000, Numar persoane, 2277
Cluj, Anul 2001, Numar persoane, 2072
Cluj, Anul 2002, Numar persoane, 2010
Cluj, Anul 2003, Numar persoane, 2065
Cluj, Anul 2004, Numar persoane, 1981
Cluj, Anul 2005, Numar persoane, 1934
Cluj, Anul 2006, Numar persoane, 1848
Cluj, Anul 2007, Numar persoane, 1668
Cluj, Anul 2008, Numar persoane, 1480
Cluj, Anul 2009, Numar persoane, 1121
Cluj, Anul 2010, Numar persoane, 1324
Cluj, Anul 2011, Numar persoane, 1990
Cluj, Anul 2012, Numar persoane, 2075
Cluj, Anul 2013, Numar persoane, 1995
Cluj, Anul 2014, Numar persoane, 1728
Cluj, Anul 2015, Numar persoane, 2112
Cluj, Anul 2016, Numar persoane, 954
