Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
TOTAL, Anul 1990, Numar, 160
TOTAL, Anul 1991, Numar, 263
TOTAL, Anul 1992, Numar, 303
TOTAL, Anul 1993, Numar, 366
TOTAL, Anul 1994, Numar, 421
TOTAL, Anul 1995, Numar, 448
TOTAL, Anul 1996, Numar, 460
TOTAL, Anul 1997, Numar, 496
TOTAL, Anul 1998, Numar, 472
TOTAL, Anul 1999, Numar, 390
TOTAL, Anul 2000, Numar, 336
TOTAL, Anul 2001, Numar, 370
TOTAL, Anul 2002, Numar, 375
TOTAL, Anul 2003, Numar, 353
TOTAL, Anul 2004, Numar, 320
TOTAL, Anul 2005, Numar, 304
TOTAL, Anul 2006, Numar, 263
TOTAL, Anul 2007, Numar, 214
TOTAL, Anul 2008, Numar, 171
TOTAL, Anul 2009, Numar, 159
TOTAL, Anul 2010, Numar, 195
TOTAL, Anul 2011, Numar, 223
TOTAL, Anul 2012, Numar, 245
TOTAL, Anul 2013, Numar, 236
TOTAL, Anul 2014, Numar, 205
TOTAL, Anul 2015, Numar, 213
TOTAL, Anul 2016, Numar, 166
MACROREGIUNEA UNU, Anul 1990, Numar, 138
MACROREGIUNEA UNU, Anul 1991, Numar, 242
MACROREGIUNEA UNU, Anul 1992, Numar, 267
MACROREGIUNEA UNU, Anul 1993, Numar, 396
MACROREGIUNEA UNU, Anul 1994, Numar, 435
MACROREGIUNEA UNU, Anul 1995, Numar, 451
MACROREGIUNEA UNU, Anul 1996, Numar, 437
MACROREGIUNEA UNU, Anul 1997, Numar, 452
MACROREGIUNEA UNU, Anul 1998, Numar, 463
MACROREGIUNEA UNU, Anul 1999, Numar, 403
MACROREGIUNEA UNU, Anul 2000, Numar, 339
MACROREGIUNEA UNU, Anul 2001, Numar, 344
MACROREGIUNEA UNU, Anul 2002, Numar, 337
MACROREGIUNEA UNU, Anul 2003, Numar, 327
MACROREGIUNEA UNU, Anul 2004, Numar, 321
MACROREGIUNEA UNU, Anul 2005, Numar, 300
MACROREGIUNEA UNU, Anul 2006, Numar, 258
MACROREGIUNEA UNU, Anul 2007, Numar, 213
MACROREGIUNEA UNU, Anul 2008, Numar, 183
MACROREGIUNEA UNU, Anul 2009, Numar, 171
MACROREGIUNEA UNU, Anul 2010, Numar, 217
MACROREGIUNEA UNU, Anul 2011, Numar, 257
MACROREGIUNEA UNU, Anul 2012, Numar, 279
MACROREGIUNEA UNU, Anul 2013, Numar, 264
MACROREGIUNEA UNU, Anul 2014, Numar, 229
MACROREGIUNEA UNU, Anul 2015, Numar, 227
MACROREGIUNEA UNU, Anul 2016, Numar, 166
Regiunea NORD-VEST, Anul 1990, Numar, 144
Regiunea NORD-VEST, Anul 1991, Numar, 240
Regiunea NORD-VEST, Anul 1992, Numar, 274
Regiunea NORD-VEST, Anul 1993, Numar, 431
Regiunea NORD-VEST, Anul 1994, Numar, 429
Regiunea NORD-VEST, Anul 1995, Numar, 463
Regiunea NORD-VEST, Anul 1996, Numar, 443
Regiunea NORD-VEST, Anul 1997, Numar, 465
Regiunea NORD-VEST, Anul 1998, Numar, 492
Regiunea NORD-VEST, Anul 1999, Numar, 433
Regiunea NORD-VEST, Anul 2000, Numar, 354
Regiunea NORD-VEST, Anul 2001, Numar, 367
Regiunea NORD-VEST, Anul 2002, Numar, 367
Regiunea NORD-VEST, Anul 2003, Numar, 346
Regiunea NORD-VEST, Anul 2004, Numar, 395
Regiunea NORD-VEST, Anul 2005, Numar, 354
Regiunea NORD-VEST, Anul 2006, Numar, 270
Regiunea NORD-VEST, Anul 2007, Numar, 228
Regiunea NORD-VEST, Anul 2008, Numar, 191
Regiunea NORD-VEST, Anul 2009, Numar, 167
Regiunea NORD-VEST, Anul 2010, Numar, 213
Regiunea NORD-VEST, Anul 2011, Numar, 247
Regiunea NORD-VEST, Anul 2012, Numar, 290
Regiunea NORD-VEST, Anul 2013, Numar, 268
Regiunea NORD-VEST, Anul 2014, Numar, 232
Regiunea NORD-VEST, Anul 2015, Numar, 244
Regiunea NORD-VEST, Anul 2016, Numar, 171
Bihor, Anul 1990, Numar, 134
Bihor, Anul 1991, Numar, 192
Bihor, Anul 1992, Numar, 196
Bihor, Anul 1993, Numar, 283
Bihor, Anul 1994, Numar, 357
Bihor, Anul 1995, Numar, 417
Bihor, Anul 1996, Numar, 457
Bihor, Anul 1997, Numar, 486
Bihor, Anul 1998, Numar, 495
Bihor, Anul 1999, Numar, 545
Bihor, Anul 2000, Numar, 404
Bihor, Anul 2001, Numar, 439
Bihor, Anul 2002, Numar, 454
Bihor, Anul 2003, Numar, 452
Bihor, Anul 2004, Numar, 743
Bihor, Anul 2005, Numar, 575
Bihor, Anul 2006, Numar, 279
Bihor, Anul 2007, Numar, 153
Bihor, Anul 2008, Numar, 149
Bihor, Anul 2009, Numar, 129
Bihor, Anul 2010, Numar, 208
Bihor, Anul 2011, Numar, 230
Bihor, Anul 2012, Numar, 271
Bihor, Anul 2013, Numar, 215
Bihor, Anul 2014, Numar, 187
Bihor, Anul 2015, Numar, 278
Bihor, Anul 2016, Numar, 166
Bistrita-Nasaud, Anul 1990, Numar, 152
Bistrita-Nasaud, Anul 1991, Numar, 290
Bistrita-Nasaud, Anul 1992, Numar, 211
Bistrita-Nasaud, Anul 1993, Numar, 528
Bistrita-Nasaud, Anul 1994, Numar, 457
Bistrita-Nasaud, Anul 1995, Numar, 496
Bistrita-Nasaud, Anul 1996, Numar, 415
Bistrita-Nasaud, Anul 1997, Numar, 458
Bistrita-Nasaud, Anul 1998, Numar, 425
Bistrita-Nasaud, Anul 1999, Numar, 377
Bistrita-Nasaud, Anul 2000, Numar, 329
Bistrita-Nasaud, Anul 2001, Numar, 327
Bistrita-Nasaud, Anul 2002, Numar, 317
Bistrita-Nasaud, Anul 2003, Numar, 265
Bistrita-Nasaud, Anul 2004, Numar, 239
Bistrita-Nasaud, Anul 2005, Numar, 281
Bistrita-Nasaud, Anul 2006, Numar, 250
Bistrita-Nasaud, Anul 2007, Numar, 196
Bistrita-Nasaud, Anul 2008, Numar, 160
Bistrita-Nasaud, Anul 2009, Numar, 155
Bistrita-Nasaud, Anul 2010, Numar, 171
Bistrita-Nasaud, Anul 2011, Numar, 225
Bistrita-Nasaud, Anul 2012, Numar, 217
Bistrita-Nasaud, Anul 2013, Numar, 217
Bistrita-Nasaud, Anul 2014, Numar, 189
Bistrita-Nasaud, Anul 2015, Numar, 157
Bistrita-Nasaud, Anul 2016, Numar, 183
Cluj, Anul 1990, Numar, 152
Cluj, Anul 1991, Numar, 216
Cluj, Anul 1992, Numar, 226
Cluj, Anul 1993, Numar, 337
Cluj, Anul 1994, Numar, 347
Cluj, Anul 1995, Numar, 383
Cluj, Anul 1996, Numar, 377
Cluj, Anul 1997, Numar, 397
Cluj, Anul 1998, Numar, 429
Cluj, Anul 1999, Numar, 388
Cluj, Anul 2000, Numar, 316
Cluj, Anul 2001, Numar, 288
Cluj, Anul 2002, Numar, 291
Cluj, Anul 2003, Numar, 302
Cluj, Anul 2004, Numar, 288
Cluj, Anul 2005, Numar, 278
Cluj, Anul 2006, Numar, 268
Cluj, Anul 2007, Numar, 241
Cluj, Anul 2008, Numar, 214
Cluj, Anul 2009, Numar, 162
Cluj, Anul 2010, Numar, 192
Cluj, Anul 2011, Numar, 289
Cluj, Anul 2012, Numar, 298
Cluj, Anul 2013, Numar, 286
Cluj, Anul 2014, Numar, 247
Cluj, Anul 2015, Numar, 301
Cluj, Anul 2016, Numar, 136
Maramures, Anul 1990, Numar, 111
Maramures, Anul 1991, Numar, 209
Maramures, Anul 1992, Numar, 323
Maramures, Anul 1993, Numar, 397
Maramures, Anul 1994, Numar, 391
Maramures, Anul 1995, Numar, 488
Maramures, Anul 1996, Numar, 461
Maramures, Anul 1997, Numar, 453
Maramures, Anul 1998, Numar, 557
Maramures, Anul 1999, Numar, 479
Maramures, Anul 2000, Numar, 418
Maramures, Anul 2001, Numar, 433
Maramures, Anul 2002, Numar, 437
Maramures, Anul 2003, Numar, 334
Maramures, Anul 2004, Numar, 346
Maramures, Anul 2005, Numar, 367
Maramures, Anul 2006, Numar, 304
Maramures, Anul 2007, Numar, 300
Maramures, Anul 2008, Numar, 224
Maramures, Anul 2009, Numar, 207
Maramures, Anul 2010, Numar, 248
Maramures, Anul 2011, Numar, 295
Maramures, Anul 2012, Numar, 314
Maramures, Anul 2013, Numar, 344
Maramures, Anul 2014, Numar, 299
Maramures, Anul 2015, Numar, 219
Maramures, Anul 2016, Numar, 215
Satu Mare, Anul 1990, Numar, 181
Satu Mare, Anul 1991, Numar, 340
Satu Mare, Anul 1992, Numar, 450
Satu Mare, Anul 1993, Numar, 697
Satu Mare, Anul 1994, Numar, 651
Satu Mare, Anul 1995, Numar, 619
Satu Mare, Anul 1996, Numar, 565
Satu Mare, Anul 1997, Numar, 580
Satu Mare, Anul 1998, Numar, 558
Satu Mare, Anul 1999, Numar, 401
Satu Mare, Anul 2000, Numar, 384
Satu Mare, Anul 2001, Numar, 442
Satu Mare, Anul 2002, Numar, 408
Satu Mare, Anul 2003, Numar, 406
Satu Mare, Anul 2004, Numar, 317
Satu Mare, Anul 2005, Numar, 251
Satu Mare, Anul 2006, Numar, 267
Satu Mare, Anul 2007, Numar, 285
Satu Mare, Anul 2008, Numar, 226
Satu Mare, Anul 2009, Numar, 194
Satu Mare, Anul 2010, Numar, 239
Satu Mare, Anul 2011, Numar, 177
Satu Mare, Anul 2012, Numar, 296
Satu Mare, Anul 2013, Numar, 212
Satu Mare, Anul 2014, Numar, 184
Satu Mare, Anul 2015, Numar, 148
Satu Mare, Anul 2016, Numar, 188
Salaj, Anul 1990, Numar, 146
Salaj, Anul 1991, Numar, 276
Salaj, Anul 1992, Numar, 300
Salaj, Anul 1993, Numar, 594
Salaj, Anul 1994, Numar, 532
Salaj, Anul 1995, Numar, 469
Salaj, Anul 1996, Numar, 409
Salaj, Anul 1997, Numar, 464
Salaj, Anul 1998, Numar, 509
Salaj, Anul 1999, Numar, 311
Salaj, Anul 2000, Numar, 196
Salaj, Anul 2001, Numar, 215
Salaj, Anul 2002, Numar, 221
Salaj, Anul 2003, Numar, 253
Salaj, Anul 2004, Numar, 269
Salaj, Anul 2005, Numar, 250
Salaj, Anul 2006, Numar, 215
Salaj, Anul 2007, Numar, 178
Salaj, Anul 2008, Numar, 150
Salaj, Anul 2009, Numar, 160
Salaj, Anul 2010, Numar, 229
Salaj, Anul 2011, Numar, 207
Salaj, Anul 2012, Numar, 352
