Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
TOTAL, Anul 1990, Numar, 422
TOTAL, Anul 1991, Numar, 601
TOTAL, Anul 1992, Numar, 635
TOTAL, Anul 1993, Numar, 965
TOTAL, Anul 1994, Numar, 1043
TOTAL, Anul 1995, Numar, 1310
TOTAL, Anul 1996, Numar, 1423
TOTAL, Anul 1997, Numar, 1601
TOTAL, Anul 1998, Numar, 1774
TOTAL, Anul 1999, Numar, 1619
TOTAL, Anul 2000, Numar, 1577
TOTAL, Anul 2001, Numar, 1519
TOTAL, Anul 2002, Numar, 1432
TOTAL, Anul 2003, Numar, 1274
TOTAL, Anul 2004, Numar, 1069
TOTAL, Anul 2005, Numar, 963
TOTAL, Anul 2006, Numar, 1078
TOTAL, Anul 2007, Numar, 1307
TOTAL, Anul 2008, Numar, 1345
TOTAL, Anul 2009, Numar, 1397
TOTAL, Anul 2010, Numar, 1366
TOTAL, Anul 2011, Numar, 1212
TOTAL, Anul 2012, Numar, 1538
TOTAL, Anul 2013, Numar, 1555
TOTAL, Anul 2014, Numar, 2014
TOTAL, Anul 2015, Numar, 1726
TOTAL, Anul 2016, Numar, 1717
MACROREGIUNEA UNU, Anul 1990, Numar, 362
MACROREGIUNEA UNU, Anul 1991, Numar, 503
MACROREGIUNEA UNU, Anul 1992, Numar, 563
MACROREGIUNEA UNU, Anul 1993, Numar, 922
MACROREGIUNEA UNU, Anul 1994, Numar, 950
MACROREGIUNEA UNU, Anul 1995, Numar, 1179
MACROREGIUNEA UNU, Anul 1996, Numar, 1265
MACROREGIUNEA UNU, Anul 1997, Numar, 1445
MACROREGIUNEA UNU, Anul 1998, Numar, 1652
MACROREGIUNEA UNU, Anul 1999, Numar, 1490
MACROREGIUNEA UNU, Anul 2000, Numar, 1471
MACROREGIUNEA UNU, Anul 2001, Numar, 1417
MACROREGIUNEA UNU, Anul 2002, Numar, 1293
MACROREGIUNEA UNU, Anul 2003, Numar, 1198
MACROREGIUNEA UNU, Anul 2004, Numar, 1046
MACROREGIUNEA UNU, Anul 2005, Numar, 978
MACROREGIUNEA UNU, Anul 2006, Numar, 1095
MACROREGIUNEA UNU, Anul 2007, Numar, 1267
MACROREGIUNEA UNU, Anul 2008, Numar, 1292
MACROREGIUNEA UNU, Anul 2009, Numar, 1484
MACROREGIUNEA UNU, Anul 2010, Numar, 1501
MACROREGIUNEA UNU, Anul 2011, Numar, 1347
MACROREGIUNEA UNU, Anul 2012, Numar, 1488
MACROREGIUNEA UNU, Anul 2013, Numar, 1468
MACROREGIUNEA UNU, Anul 2014, Numar, 1892
MACROREGIUNEA UNU, Anul 2015, Numar, 1592
MACROREGIUNEA UNU, Anul 2016, Numar, 1506
Regiunea NORD-VEST, Anul 1990, Numar, 407
Regiunea NORD-VEST, Anul 1991, Numar, 541
Regiunea NORD-VEST, Anul 1992, Numar, 617
Regiunea NORD-VEST, Anul 1993, Numar, 997
Regiunea NORD-VEST, Anul 1994, Numar, 982
Regiunea NORD-VEST, Anul 1995, Numar, 1257
Regiunea NORD-VEST, Anul 1996, Numar, 1279
Regiunea NORD-VEST, Anul 1997, Numar, 1360
Regiunea NORD-VEST, Anul 1998, Numar, 1495
Regiunea NORD-VEST, Anul 1999, Numar, 1290
Regiunea NORD-VEST, Anul 2000, Numar, 1265
Regiunea NORD-VEST, Anul 2001, Numar, 1213
