Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
TOTAL, Anul 1990, Numar, 97828
TOTAL, Anul 1991, Numar, 139290
TOTAL, Anul 1992, Numar, 144750
TOTAL, Anul 1993, Numar, 219487
TOTAL, Anul 1994, Numar, 237004
TOTAL, Anul 1995, Numar, 297046
TOTAL, Anul 1996, Numar, 321651
TOTAL, Anul 1997, Numar, 361061
TOTAL, Anul 1998, Numar, 399105
TOTAL, Anul 1999, Numar, 363690
TOTAL, Anul 2000, Numar, 353745
TOTAL, Anul 2001, Numar, 340414
TOTAL, Anul 2002, Numar, 312204
TOTAL, Anul 2003, Numar, 276841
TOTAL, Anul 2004, Numar, 231637
TOTAL, Anul 2005, Numar, 208239
TOTAL, Anul 2006, Numar, 232659
TOTAL, Anul 2007, Numar, 281457
TOTAL, Anul 2008, Numar, 289331
TOTAL, Anul 2009, Numar, 299889
TOTAL, Anul 2010, Numar, 292682
TOTAL, Anul 2011, Numar, 258895
TOTAL, Anul 2012, Numar, 308468
TOTAL, Anul 2013, Numar, 310844
TOTAL, Anul 2014, Numar, 401094
TOTAL, Anul 2015, Numar, 342118
TOTAL, Anul 2016, Numar, 338238
MACROREGIUNEA UNU, Anul 1990, Numar, 21093
MACROREGIUNEA UNU, Anul 1991, Numar, 29145
MACROREGIUNEA UNU, Anul 1992, Numar, 31557
MACROREGIUNEA UNU, Anul 1993, Numar, 51532
MACROREGIUNEA UNU, Anul 1994, Numar, 53024
MACROREGIUNEA UNU, Anul 1995, Numar, 65575
MACROREGIUNEA UNU, Anul 1996, Numar, 70075
MACROREGIUNEA UNU, Anul 1997, Numar, 79778
MACROREGIUNEA UNU, Anul 1998, Numar, 91080
MACROREGIUNEA UNU, Anul 1999, Numar, 81912
MACROREGIUNEA UNU, Anul 2000, Numar, 80690
MACROREGIUNEA UNU, Anul 2001, Numar, 77663
MACROREGIUNEA UNU, Anul 2002, Numar, 68550
MACROREGIUNEA UNU, Anul 2003, Numar, 63373
MACROREGIUNEA UNU, Anul 2004, Numar, 55229
MACROREGIUNEA UNU, Anul 2005, Numar, 51520
MACROREGIUNEA UNU, Anul 2006, Numar, 57629
MACROREGIUNEA UNU, Anul 2007, Numar, 66496
MACROREGIUNEA UNU, Anul 2008, Numar, 67752
MACROREGIUNEA UNU, Anul 2009, Numar, 77786
MACROREGIUNEA UNU, Anul 2010, Numar, 78677
MACROREGIUNEA UNU, Anul 2011, Numar, 70479
MACROREGIUNEA UNU, Anul 2012, Numar, 73790
MACROREGIUNEA UNU, Anul 2013, Numar, 72654
MACROREGIUNEA UNU, Anul 2014, Numar, 93516
MACROREGIUNEA UNU, Anul 2015, Numar, 78449
MACROREGIUNEA UNU, Anul 2016, Numar, 73976
Regiunea NORD-VEST, Anul 1990, Numar, 12117
Regiunea NORD-VEST, Anul 1991, Numar, 16118
Regiunea NORD-VEST, Anul 1992, Numar, 17933
Regiunea NORD-VEST, Anul 1993, Numar, 28916
Regiunea NORD-VEST, Anul 1994, Numar, 28386
Regiunea NORD-VEST, Anul 1995, Numar, 36238
Regiunea NORD-VEST, Anul 1996, Numar, 36747
Regiunea NORD-VEST, Anul 1997, Numar, 38923
Regiunea NORD-VEST, Anul 1998, Numar, 42715
Regiunea NORD-VEST, Anul 1999, Numar, 36777
Regiunea NORD-VEST, Anul 2000, Numar, 35990
Regiunea NORD-VEST, Anul 2001, Numar, 34461
Regiunea NORD-VEST, Anul 2002, Numar, 28652
Regiunea NORD-VEST, Anul 2003, Numar, 28191
Regiunea NORD-VEST, Anul 2004, Numar, 26202
Regiunea NORD-VEST, Anul 2005, Numar, 25408
Regiunea NORD-VEST, Anul 2006, Numar, 28050
Regiunea NORD-VEST, Anul 2007, Numar, 31715
Regiunea NORD-VEST, Anul 2008, Numar, 31242
Regiunea NORD-VEST, Anul 2009, Numar, 37287
Regiunea NORD-VEST, Anul 2010, Numar, 39168
