Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1990, Numar spectacole, 1349927
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1991, Numar spectacole, 925172
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1992, Numar spectacole, 663932
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1993, Numar spectacole, 534746
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1994, Numar spectacole, 431288
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1995, Numar spectacole, 351419
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1996, Numar spectacole, 305666
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 1997, Numar spectacole, 272063
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2002, Numar spectacole, 176874
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2003, Numar spectacole, 156175
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2004, Numar spectacole, 124525
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2005, Numar spectacole, 104934
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2006, Numar spectacole, 95929
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2007, Numar spectacole, 98852
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2008, Numar spectacole, 127879
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2009, Numar spectacole, 185290
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2010, Numar spectacole, 239879
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2011, Numar spectacole, 299484
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2012, Numar spectacole, 371014
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2013, Numar spectacole, 396806
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2014, Numar spectacole, 419928
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2015, Numar spectacole, 487541
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2016, Numar spectacole, 577253
Cinematografe si instalatii cinematografice - total, TOTAL, Anul 2017, Numar spectacole, 602305
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1990, Numar spectacole, 342734
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1991, Numar spectacole, 226195
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1992, Numar spectacole, 156117
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1993, Numar spectacole, 129285
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1994, Numar spectacole, 103851
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1995, Numar spectacole, 87091
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1996, Numar spectacole, 80648
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 1997, Numar spectacole, 71807
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2002, Numar spectacole, 44357
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2003, Numar spectacole, 42109
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2004, Numar spectacole, 34754
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2005, Numar spectacole, 31082
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2006, Numar spectacole, 21041
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2007, Numar spectacole, 22809
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2008, Numar spectacole, 24794
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2009, Numar spectacole, 44119
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2010, Numar spectacole, 51791
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2011, Numar spectacole, 61153
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2012, Numar spectacole, 87333
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2013, Numar spectacole, 86659
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2014, Numar spectacole, 95121
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2015, Numar spectacole, 108886
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2016, Numar spectacole, 110408
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA UNU, Anul 2017, Numar spectacole, 101443
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 1990, Numar spectacole, 167558
Cinematografe si instalatii cinematografice - total, Regiunea NORD-VEST, Anul 1991, Numar spectacole, 111953
