Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
TOTAL, Anul 1992, Numar, 8134
TOTAL, Anul 1993, Numar, 9029
TOTAL, Anul 1994, Numar, 9064
TOTAL, Anul 1995, Numar, 8436
TOTAL, Anul 1996, Numar, 7191
TOTAL, Anul 1997, Numar, 7235
TOTAL, Anul 1998, Numar, 6397
TOTAL, Anul 1999, Numar, 6390
TOTAL, Anul 2000, Numar, 8272
TOTAL, Anul 2001, Numar, 5365
TOTAL, Anul 2002, Numar, 4762
TOTAL, Anul 2003, Numar, 4708
TOTAL, Anul 2004, Numar, 5862
TOTAL, Anul 2005, Numar, 3379
TOTAL, Anul 2006, Numar, 3725
TOTAL, Anul 2007, Numar, 3914
TOTAL, Anul 2008, Numar, 6739
TOTAL, Anul 2009, Numar, 7275
TOTAL, Anul 2010, Numar, 7296
TOTAL, Anul 2011, Numar, 7622
TOTAL, Anul 2012, Numar, 7919
TOTAL, Anul 2013, Numar, 7803
TOTAL, Anul 2014, Numar, 7314
TOTAL, Anul 2015, Numar, 8348
TOTAL, Anul 2016, Numar, 7837
TOTAL, Anul 2017, Numar, 7628
MACROREGIUNEA UNU, Anul 1992, Numar, 2785
MACROREGIUNEA UNU, Anul 1993, Numar, 2813
MACROREGIUNEA UNU, Anul 1994, Numar, 2748
MACROREGIUNEA UNU, Anul 1995, Numar, 2455
MACROREGIUNEA UNU, Anul 1996, Numar, 2063
MACROREGIUNEA UNU, Anul 1997, Numar, 2080
MACROREGIUNEA UNU, Anul 1998, Numar, 1878
MACROREGIUNEA UNU, Anul 1999, Numar, 1815
MACROREGIUNEA UNU, Anul 2000, Numar, 2344
MACROREGIUNEA UNU, Anul 2001, Numar, 1575
MACROREGIUNEA UNU, Anul 2002, Numar, 1322
MACROREGIUNEA UNU, Anul 2003, Numar, 1366
MACROREGIUNEA UNU, Anul 2004, Numar, 1627
MACROREGIUNEA UNU, Anul 2005, Numar, 953
MACROREGIUNEA UNU, Anul 2006, Numar, 1070
MACROREGIUNEA UNU, Anul 2007, Numar, 1132
MACROREGIUNEA UNU, Anul 2008, Numar, 1930
MACROREGIUNEA UNU, Anul 2009, Numar, 2088
MACROREGIUNEA UNU, Anul 2010, Numar, 2102
MACROREGIUNEA UNU, Anul 2011, Numar, 2213
MACROREGIUNEA UNU, Anul 2012, Numar, 2283
MACROREGIUNEA UNU, Anul 2013, Numar, 2256
MACROREGIUNEA UNU, Anul 2014, Numar, 2060
MACROREGIUNEA UNU, Anul 2015, Numar, 2419
MACROREGIUNEA UNU, Anul 2016, Numar, 2226
MACROREGIUNEA UNU, Anul 2017, Numar, 2179
Regiunea NORD-VEST, Anul 1992, Numar, 1422
Regiunea NORD-VEST, Anul 1993, Numar, 1320
Regiunea NORD-VEST, Anul 1994, Numar, 1276
Regiunea NORD-VEST, Anul 1995, Numar, 1165
Regiunea NORD-VEST, Anul 1996, Numar, 900
Regiunea NORD-VEST, Anul 1997, Numar, 906
Regiunea NORD-VEST, Anul 1998, Numar, 833
Regiunea NORD-VEST, Anul 1999, Numar, 788
Regiunea NORD-VEST, Anul 2000, Numar, 1093
Regiunea NORD-VEST, Anul 2001, Numar, 658
Regiunea NORD-VEST, Anul 2002, Numar, 619
Regiunea NORD-VEST, Anul 2003, Numar, 642
Regiunea NORD-VEST, Anul 2004, Numar, 789
Regiunea NORD-VEST, Anul 2005, Numar, 484
Regiunea NORD-VEST, Anul 2006, Numar, 534
Regiunea NORD-VEST, Anul 2007, Numar, 561
Regiunea NORD-VEST, Anul 2008, Numar, 939
Regiunea NORD-VEST, Anul 2009, Numar, 1028
Regiunea NORD-VEST, Anul 2010, Numar, 1051
Regiunea NORD-VEST, Anul 2011, Numar, 1064
Regiunea NORD-VEST, Anul 2012, Numar, 1089
Regiunea NORD-VEST, Anul 2013, Numar, 1078
Regiunea NORD-VEST, Anul 2014, Numar, 995
Regiunea NORD-VEST, Anul 2015, Numar, 1136
Regiunea NORD-VEST, Anul 2016, Numar, 1085
Regiunea NORD-VEST, Anul 2017, Numar, 1045
Bihor, Anul 1992, Numar, 396
Bihor, Anul 1993, Numar, 317
Bihor, Anul 1994, Numar, 235
Bihor, Anul 1995, Numar, 230
Bihor, Anul 1996, Numar, 170
Bihor, Anul 1997, Numar, 173
Bihor, Anul 1998, Numar, 171
Bihor, Anul 1999, Numar, 158
Bihor, Anul 2000, Numar, 227
Bihor, Anul 2001, Numar, 124
Bihor, Anul 2002, Numar, 118
Bihor, Anul 2003, Numar, 126
Bihor, Anul 2004, Numar, 147
Bihor, Anul 2005, Numar, 105
Bihor, Anul 2006, Numar, 111
Bihor, Anul 2007, Numar, 118
Bihor, Anul 2008, Numar, 175
Bihor, Anul 2009, Numar, 198
Bihor, Anul 2010, Numar, 198
Bihor, Anul 2011, Numar, 206
Bihor, Anul 2012, Numar, 217
Bihor, Anul 2013, Numar, 222
Bihor, Anul 2014, Numar, 198
Bihor, Anul 2015, Numar, 217
Bihor, Anul 2016, Numar, 198
Bihor, Anul 2017, Numar, 195
Bistrita-Nasaud, Anul 1992, Numar, 122
