--- Education ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;40.261172406173365;40.24583445510036;39.70925644274094;40.1949990729056;40.14145510559225;40.28544610667917;40.62563010567979;40.36376825617435;39.73278894002622;40.03612485062235;40.47780266052262;40.16071094895855;39.90140671402889;39.73011154774559;39.798095624733364;39.879385798765064;40.21814334461968;40.51819188929863;40.17106847068017;40.103971404608984;40.567544736132675;39.82483207306093;39.68102385579609;39.46960190641834;40.58459060914239;40.326773694895415;40.11794810830615;40.351974360573465
2008;40.27574234317503;40.25079406162991;39.729304066387144;40.21107841113788;40.15518527382712;40.308260135764954;40.620463683834714;40.42330718474741;39.760772679401136;40.014651728935895;40.47950363014419;40.17019739711829;39.914201787617905;39.734213873704704;39.77879389710088;39.88407053714051;40.22394430059779;40.53324074929598;40.199087332130155;40.11873300057954;40.5857898379082;39.84288917831869;39.70989561494813;39.51816995955439;40.62034124047491;40.32848003787409;40.1339008197805;40.38894801411205
2009;40.293807418275996;40.25314425340999;39.72392469255088;40.19232455334957;40.139965350097455;40.31795778656051;40.634640558999884;40.42221212787639;39.78865697670946;39.99341534732611;40.463573989753364;40.15902995770511;39.90465510574995;39.72240833852664;39.74602688603634;39.876227594282625;40.20351583320423;40.664863571686816;40.15588459893731;40.091305005496906;40.583913441473584;39.86510103228662;39.7478960475451;39.497806644009316;40.61386132725371;40.340104767410644;40.12183934888796;40.398717870615755
2010;40.30430152788877;40.26168674525495;39.73471606111947;40.186523244302435;40.15173041916696;40.31662688152408;40.67630381532571;40.40869491627444;39.779506709784386;40.019101024154274;40.48484060582744;40.15257082029591;39.90143274223217;39.73282410112207;39.89686826821332;39.87560389073451;40.20919926488695;40.663788793646084;40.16762356696558;40.17070227659818;40.59962660676728;39.90556821929116;39.76261044728007;39.459844136307815;40.652237798003405;40.36523604237377;40.120449388490925;40.41160621837282
2011;40.30421938764266;40.188565252770985;39.6345627817689;40.17006647413027;40.19002765054507;40.37520568523058;40.71270034749465;40.44379359566107;39.787521693193796;40.01792261259797;40.547518893432446;40.164947416259885;39.89254045610888;39.818826870878155;39.89729915612096;39.8663359419756;40.24483782906574;40.691479586248406;40.20255620536295;40.175106250103774;40.61331658686205;39.902003073704066;39.932336533128066;39.47570771494256;40.64831248293603;40.38525570309036;40.09988580237832;40.39178457483952
2012;40.31817973058124;40.1912818726553;39.64202082315907;40.16372751067066;40.179656273840905;40.38580047314338;40.716498173493214;40.42648672582137;39.78689994538143;40.02905240765005;40.56403926112841;40.17824084926791;39.895743114948594;39.81369585183011;39.92414360105199;39.87536906006704;40.258971963123216;40.69559642805422;40.251423629448574;40.19938168327002;40.61593786787779;39.94194428571563;39.94737833771908;39.482004299904276;40.668833707167245;40.36733229489222;40.09497656962841;40.42026734218862
2013;40.321980587967424;40.19687127170505;39.66147352833284;40.147806369200424;40.174805972090454;40.391404236444735;40.731804008676434;40.433265746754714;39.80192327541589;40.046321460814816;40.61441042208621;40.32054330349488;39.87691952394428;39.81723965019027;39.96202540113252;39.8626043986859;40.283230792776976;40.73314090770344;40.27528284325154;40.2303544214453;40.62203552083027;39.95038281892786;39.95832374783939;39.496083093444874;40.697302978055234;40.36396207296814;40.09730750883259;40.44945979276711
2014;40.40327588130754;40.221448881214464;39.68836631697976;40.16920916564921;40.19487577828492;40.374631497160806;40.744541210586796;40.42276272006321;39.861381549122825;40.06094959874773;40.6154163090391;40.33325213075682;39.91233387617668;39.84589728915135;39.979653832740944;39.88458733815664;40.31084747918269;40.75715954100392;40.2750373273651;40.22354105418743;40.62206269014437;39.97268209178604;39.99397607996164;39.487195664836406;40.72319293216119;40.359597475844886;40.1050973480184;40.45644261763036
2015;40.41264808210039;40.21281019561806;39.69386313392244;40.232204904871885;40.198925674035664;40.37739959816862;40.746518616003634;40.44356416117103;39.87668562143197;40.087733346088186;40.62270613642922;40.33348156162491;39.940206062116964;39.899058933482344;39.97822020400446;39.887995128314365;40.34771267476353;40.74582232429344;40.289663924040475;40.24471146267852;40.644507537642546;39.99335469974583;40.03153110675205;39.48291129758128;40.73241097630327;40.37023818473884;40.11048059153214;40.478738204874205
2016;40.47457590839685;40.36430833107203;39.72205466836785;40.24924967702875;40.26179489539401;40.384340170672765;40.75336721762222;40.49826618162933;39.96867770864805;40.108659804274225;40.66164169537942;40.34396844344882;40.01096091623167;39.93394225029063;40.17530679286941;39.923201636620504;40.35948777247397;40.72035909090737;40.323595119563244;40.24531231171053;40.679427122582645;40.08122183549885;40.06962721835217;39.54802203831132;40.752138069927156;40.34081640605655;40.14214948424467;40.34003987597867
2017;40.506373311251465;40.40261983033286;39.75432089183913;40.30540057615214;40.32667266582939;40.389770163064824;40.698278983634225;40.51366356852101;39.99377118431052;40.14509269177153;40.698179389794355;40.3556457103373;39.962035872521824;39.9292635944849;40.245565441905626;39.94632693163963;40.38715331891681;40.69711306723939;40.337343313747404;40.32594722777855;40.71014891063229;40.10462067102415;40.13680512347108;39.583091067008816;40.812198419356925;40.384794343356404;40.182135081972554;40.29933717851271
