--- Health ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;56.6032147353167;56.548506661549055;56.2518570981634;56.35683540005927;56.45963376359074;56.50405872344801;56.53905935273098;56.20137370547545;56.53752052546444;56.24283419320147;56.453622667224835;56.51520775010115;56.11183587950588;56.19936099825412;56.66500356228049;56.36513183007595;56.39511332532556;56.48787036120632;56.18637608023563;56.61600502069561;56.49428863097414;56.249077215322174;56.144712140396685;56.30432476325964;56.338248875023574;56.13264143639586;56.39143795752674;56.45217850167275
2008;56.59285480440737;56.547736932515015;56.264418325778514;56.36058334505825;56.45483991300694;56.53532035157132;56.53538728767317;56.232310930839766;56.539629809616635;56.27017863202065;56.44873362866713;56.49486684917567;56.11221817151272;56.27538494452257;56.662033140555764;56.357668530306086;56.38518652024051;56.48959454546217;56.204564191586144;56.58633437028717;56.503588818748895;56.263982863072435;56.16704387438439;56.319478162137436;56.3344907308957;56.1467557252118;56.422131905752835;56.470400762779576
2009;56.60933850163307;56.54573822102702;56.35454121899746;56.33655618508403;56.45629122107415;56.55281298374684;56.49931436841783;56.22593327830063;56.549060041211575;56.2741421041314;56.39754966938558;56.47394455750269;56.1076856937989;56.301832754203666;56.512305040631134;56.360109920537866;56.43069287343522;56.50954148876936;56.15693560759849;56.38289820499868;56.50828629431324;56.24450275102429;56.13522887735077;56.331884173826026;56.35688339457537;56.207548369030604;56.43261998760134;56.46898399456027
2010;56.58949392193958;56.537362999906314;56.38158210434919;56.27798993399683;56.4773227434462;56.5674614470759;56.512483864706105;56.20236519057774;56.51814462787054;56.30107291061269;56.40560397667177;56.45529480398395;56.13522624433926;56.291439842143454;56.490309683493166;56.37572785986156;56.46615042983974;56.51399669310747;56.040722036353216;56.360801902085626;56.4982663207724;56.24499323394988;56.17171919756317;56.31443789643906;56.37543609189573;56.17584194352388;56.43485153957084;56.44855919125546
2011;56.60021368203042;56.52361339262654;56.394882681418046;56.29279788737227;56.451058559980595;56.57736448933034;56.4906187334286;56.169993950395806;56.50665589387565;56.36893202527211;56.37727250007262;56.45662090269234;56.14916619568637;56.29557520585429;56.49489205484384;56.33049893716164;56.44730453248729;56.49891001995702;56.02632412653055;56.3630636169434;56.487842375262886;56.248618563724754;56.1991800732075;56.309240496971185;56.372285692629795;56.19341682211519;56.39919951977194;56.4256260938069
2012;56.619580400232536;56.53581157604235;56.41775458057348;56.3113128633413;56.456218700736365;56.58689368117087;56.489107095298486;56.18522955917496;56.490053046735476;56.33333876984188;56.34802498326867;56.45836860653019;56.21325080072751;56.29825764750752;56.46776694940612;56.36209051806038;56.4561023561242;56.50728822832786;56.07046566221833;56.403556454132975;56.47627035676239;56.24365451778933;56.15644893493088;56.35131593836782;56.37332929165986;56.21665270173748;56.419680764438695;56.42015716952547
2013;56.609024543041876;56.526549219182876;56.428643160735234;56.316072253987336;56.430375098219834;56.578711958250366;56.49672794855038;56.15184472091387;56.46480605712298;56.28284611657416;56.30735712013081;56.44892216288184;56.20291767753334;56.30164003651068;56.450222890085556;56.33310030970684;56.44996749014485;56.48230749333791;56.02361566326369;56.433057873154716;56.466168783013075;56.25279516185443;56.13861839122343;56.37422552586191;56.359528117466596;56.262602363612075;56.41362972266808;56.40981995431465
2014;56.61550425615255;56.52924913936355;56.468351186544496;56.335474478647804;56.4383829444669;56.584947792655676;56.46725757728156;56.115635098102466;56.4349944822479;56.2997735602423;56.33773417730959;56.44670131763326;56.29260745231631;56.317392684772855;56.457771688836864;56.33858745060081;56.43290537187676;56.49397710041565;56.02535821957206;56.45778087192048;56.49739932702066;56.26938837035061;56.129309863435424;56.39746418579845;56.362882412558896;56.27166133796817;56.40942229725172;56.37603994969838
2015;56.623287511249025;56.53153464974927;56.48489637328101;56.39910061513169;56.42820376652953;56.55480845037199;56.451256494722855;56.093612837783255;56.432475019940064;56.29344023857201;56.31616569979295;56.455048074178116;56.26489533010233;56.28321697182005;56.50548456553777;56.32012777012765;56.39369516995791;56.472605185687875;56.072003642962116;56.44401893105712;56.49697366562802;56.2617788573534;56.141197207682325;56.41921236408936;56.36119620377211;56.26790115997827;56.412853576047276;56.35694535928087
2016;56.60829715904852;56.52286266769004;56.51335259399123;56.41243688573876;56.42069118010712;56.56186565933027;56.461352762521976;56.10080218137378;56.43333606766506;56.30054879328046;56.2886207797792;56.43569780656733;56.267663507162105;56.33420032900259;56.52735258849532;56.42952315406163;56.388654324673844;56.44646482395286;56.091894945553875;56.45411024763066;56.50612071833698;56.278090345876294;56.1785403091315;56.46331249679616;56.33350791107265;56.26525544274674;56.43197547083453;56.36234449097881
2017;56.60121402381206;56.52562829345658;56.515755105919105;56.37799983449407;56.42107865026579;56.553958489408565;56.46761250176044;56.12091243268337;56.46853595136902;56.33333887262831;56.23981844109546;56.433743171354884;56.27494324850601;56.33822153006228;56.52595654363049;56.52495845053152;56.40375912532998;56.45810462144827;56.05211931527776;56.47726206299865;56.50056064037165;56.283671079924;56.20151384495799;56.483480845946914;56.348123609695314;56.218699433641284;56.42654205599464;56.356075308586014
