--- LSI ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2008;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2009;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2010;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2011;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2012;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2013;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2014;30.60693097084673;30.541124592700985;29.927243241848615;30.32665749562984;30.4178349154168;30.561856757718132;30.714251341508298;30.37010673884217;30.074804653265183;30.37308168477538;30.73541719092385;30.487591211247548;30.11836088016907;30.256258949682053;30.587147114371305;30.238885924577698;30.204117514712163;30.662253380384005;30.148078707615674;30.307158391336973;30.744482756077;30.223799758884034;30.260173685010788;29.859745623415634;30.744438296049495;30.53069293098572;30.372523520859453;30.549477306646224
2015;30.629060703938688;30.54681670010537;29.996179790605332;30.334167388059857;30.495283334090075;30.576564263499158;30.731231235011236;30.40424438762068;30.24043476469366;30.351036063127935;30.753015143770877;30.51274314945198;30.215167579924305;30.26683940349495;30.597395752934517;30.219170807896653;30.26391377700716;30.698013555091606;30.230326921718536;30.354248046925147;30.759165281998136;30.265785407778026;30.31142486298895;29.88691464116888;30.761689872323707;30.577250076345152;30.369426351868892;30.54540882481885
2016;30.629060703938688;30.54681670010537;29.996179790605332;30.334167388059857;30.495283334090075;30.576564263499158;30.731231235011236;30.40424438762068;30.24043476469366;30.351036063127935;30.753015143770877;30.51274314945198;30.215167579924305;30.26683940349495;30.597395752934517;30.219170807896653;30.26391377700716;30.698013555091606;30.230326921718536;30.354248046925147;30.759165281998136;30.265785407778026;30.31142486298895;29.88691464116888;30.761689872323707;30.577250076345152;30.369426351868892;30.54540882481885
2017;30.629060703938688;30.54681670010537;29.996179790605332;30.334167388059857;30.495283334090075;30.576564263499158;30.731231235011236;30.40424438762068;30.24043476469366;30.351036063127935;30.753015143770877;30.51274314945198;30.215167579924305;30.26683940349495;30.597395752934517;30.219170807896653;30.26391377700716;30.698013555091606;30.230326921718536;30.354248046925147;30.759165281998136;30.265785407778026;30.31142486298895;29.88691464116888;30.761689872323707;30.577250076345152;30.369426351868892;30.54540882481885
