--- Leisure ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2008;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2009;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2010;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2011;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2012;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2013;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2014;19.798758757032253;19.567644298710455;18.943692555920755;19.282637474751454;19.418921908363263;19.772666236423934;20.062305357883446;19.45395406070453;19.1932258988004;19.358872646935787;19.948388533349203;19.62975992165393;19.22061607163846;19.169939107346902;19.773856281467776;19.244612852929436;19.40298227510305;19.91997426487964;19.241596644979083;19.237224706689524;19.897368196811254;19.388713851623677;19.312979291379076;18.94465237238024;19.962554168249127;19.70898276329857;19.37992562498332;19.709215088471797
2015;19.825955900772783;19.56247038662249;18.970381139573153;19.25760487853884;19.46291048161005;19.741724541539057;20.075670967166815;19.498852328069574;19.198496003224637;19.332268901417812;19.96399283167675;19.663965667407776;19.22061607163846;19.16737335866547;19.784593881101415;19.21259443667594;19.44638648416665;19.939200344591956;19.30047324217561;19.267895952660012;19.929116895125834;19.41228933025422;19.34646796113312;18.94465237238024;19.973198228295075;19.754032790918657;19.368765450414767;19.69695866763482
2016;19.825955900772783;19.56247038662249;18.970381139573153;19.25760487853884;19.46291048161005;19.741724541539057;20.075670967166815;19.498852328069574;19.198496003224637;19.332268901417812;19.96399283167675;19.663965667407776;19.22061607163846;19.16737335866547;19.784593881101415;19.21259443667594;19.44638648416665;19.939200344591956;19.30047324217561;19.267895952660012;19.929116895125834;19.41228933025422;19.34646796113312;18.94465237238024;19.973198228295075;19.754032790918657;19.368765450414767;19.69695866763482
2017;19.825955900772783;19.56247038662249;18.970381139573153;19.25760487853884;19.46291048161005;19.741724541539057;20.075670967166815;19.498852328069574;19.198496003224637;19.332268901417812;19.96399283167675;19.663965667407776;19.22061607163846;19.16737335866547;19.784593881101415;19.21259443667594;19.44638648416665;19.939200344591956;19.30047324217561;19.267895952660012;19.929116895125834;19.41228933025422;19.34646796113312;18.94465237238024;19.973198228295075;19.754032790918657;19.368765450414767;19.69695866763482
