--- MLC ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;62.00418312976495;62.0979578244314;60.48941430005695;61.81898419578271;61.48404087191698;61.98109026771493;62.17869192714485;61.33525425881554;61.17335648481986;61.90964131853628;62.21114355650989;61.872187763246984;61.05299084355348;61.056854981795034;62.04965373632269;61.39002043076607;61.100306080293656;62.18004634812368;60.82318927531385;61.99186060297433;62.19260596864745;60.99518623753981;61.519516413291164;60.526176289994424;62.19431343960599;61.40261503845263;61.35308695971368;61.99916646795398
2008;61.94202382163425;62.06022880053186;60.648901084792456;61.8005232159109;61.5205139653821;61.95474234756147;62.20258080995269;61.38684119365333;61.177101600955865;61.91811903950362;62.21297506576161;61.894707367545095;61.05299084355348;60.964850808616774;62.05886453083304;61.38574060493865;61.12223300144007;62.15791220154378;60.86903015643617;62.01149391894786;62.21217041211592;61.16678620621264;61.44618290091723;60.64359749143635;62.136632132947184;61.28513691289348;61.33532033202172;61.986455758059314
2009;61.96008708488229;62.080606835372336;60.696630877984184;61.784583281314326;61.571893713441355;61.94858598638929;62.17738323670885;61.321156129185646;61.185941297288046;61.88726102735722;62.20688341125317;61.88238165596742;61.05299084355348;60.98804434550418;62.01136367075292;61.42228633777381;61.1063406672185;62.16808301069776;60.799524243191236;61.92115835696948;62.21826767525926;61.24051001044812;61.45585632469284;60.67539227734498;62.12347706454035;61.30569600561805;61.413937074581106;61.97532162898515
2010;61.98368056269276;62.04032954557652;60.706609884384875;61.74486625007094;61.63568682558302;61.96305803756597;62.186305829984896;61.3216492915475;61.17926182795969;61.84945569698369;62.212312964803026;61.87056937090911;61.05299084355348;60.91247799554382;61.967285008822614;61.4014137459247;61.060545286260506;62.18120360061581;60.71840676485573;61.89770820176099;62.20115523587842;61.264796314414454;61.43982239037956;60.735689138964204;62.110959059470126;61.3017095167187;61.40457481448433;61.97287211238253
2011;61.971726156715775;62.05578952320443;60.714667228789665;61.733658931897565;61.650976972494924;61.96182792402302;62.16362129690419;61.58738669101133;61.10143065222995;61.845899137882725;62.19444457303833;61.905049592101314;61.041516573268005;60.92028565045748;61.95100271153407;61.32717122317667;61.36860624241731;62.19825743150723;60.827281572926665;61.97738399629024;62.19812447919523;61.30055408488385;61.56788415367098;60.74983285685157;62.08659066613507;61.493140412755224;61.41375594905553;61.98486049222381
2012;61.97506158157166;62.071926251390316;60.709264225347255;61.75309109689042;61.627327361159466;61.97115722601086;62.15903329762416;61.611255851184914;60.96050666331701;61.84354812805298;62.20831427197738;61.90512731625765;61.01170686988306;60.869078021030695;61.942457591573394;61.293452887415306;61.40159697140879;62.17101853922211;60.94781540605245;61.91439756900209;62.18023251360652;61.315042123476815;61.56887389309048;60.74748846056374;62.114647338628636;61.52288498810148;61.40021958214541;61.95992985125614
2013;61.94317990996064;62.08731425353987;60.73050278154443;61.671778156175776;61.63830456133147;61.96492293982344;62.12819419819759;61.56389281084041;60.87792991224058;61.784417077267605;62.22286382885695;61.9064415719643;61.00373016191285;60.891468687866485;61.92542268850588;61.27712056340744;61.33227634773438;62.150076817909806;60.966717118496966;61.92614330787061;62.12761105834056;61.34835484400109;61.44644157234827;60.76340703266268;62.10761292986881;61.534693240740935;61.368953567032726;61.95904073252372
2014;61.93810964487899;62.08258520095956;60.804082371666006;61.69580540108056;61.63793929521405;61.982935190393356;62.14598863436196;61.674954133500236;60.900991794218655;61.75562886464348;62.1968881765315;61.89488615703798;61.040578692639045;60.960783796566055;61.90235171336271;61.27800674743882;61.39954174538844;62.1604229968157;60.99030089215122;61.960772173302665;62.099974946577085;61.38510634895267;61.46790599056143;60.82141297200203;62.13233091463919;61.54302423871162;61.390693978117085;61.98768014929495
2015;61.94867734966358;62.07893073163168;60.8302547662536;61.69102852112362;61.69178386937844;61.97568736701356;62.13574597874239;61.727686303217446;60.89273730904769;61.80230826286269;62.206914599440665;61.910136409910464;61.10049489769235;61.0658420574426;61.96810053709275;61.29513735426519;61.41003120840943;62.1424230882201;61.052456899066776;62.03648691948163;62.104109393768795;61.39422171808638;61.52187793351928;60.86013472858143;62.12805264522326;61.59196643938325;61.39782265641105;62.02076284396896
2016;61.95488147900551;62.04276588579704;60.849502615340825;61.68505294117114;61.739734007979166;61.97639370845751;62.151300856684124;61.734178226893455;60.9019948118457;61.78656169735426;62.203821972010786;61.896120360421264;61.14308155714196;61.117643147397104;62.003200332907646;61.316459916035875;61.4299767303193;62.10649897269204;61.09554320597752;62.095662322149366;62.09847326203376;61.470033461936055;61.55828494067259;60.88895867243738;62.12111998728562;61.63684171543122;61.42072379205383;62.01640869481657
2017;61.955767190889105;62.01610580262341;60.90114235880834;61.8003233850962;61.78739591326331;61.99358798586642;62.1492559352862;61.75012396722887;60.9320621606596;61.89892444484652;62.20326879059419;61.91805483040106;61.21888591984629;61.16495699246601;62.06000972143068;61.402338030379994;61.44891374047615;62.12066779963932;61.12201590637982;62.14174899237381;62.12839601448209;61.50165453182741;61.61828244427164;61.01696628064038;62.12822099587851;61.67953714323399;61.44819604737105;62.125175864922426
