--- PMA ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;41.54176261047609;41.4312389226801;40.92293548149037;41.14461815493552;41.418258408193715;41.405659463429735;41.759365057174314;41.40126232185349;41.07223843686429;41.18350808046961;41.67366011983768;41.3357248476804;41.10742049101849;41.13252455959748;41.44181440849038;41.12375178922653;41.33280732486534;41.77035826979714;41.24910242733103;41.13126670420005;41.52985877799261;40.99445215124363;41.107391616369114;40.911215554415286;41.58305290499566;41.44376693504036;41.15407656950864;41.50836600700333
2008;41.592259302975826;41.44699279902861;41.02203472590115;41.13677299505226;41.445119278687635;41.43480632347673;41.88085021484014;41.41875427933986;41.08474272774818;41.169834493102;41.68108662886721;41.33004690703562;41.14744504061318;41.13317105788342;41.428306397895156;41.11968377260301;41.353929375492555;41.736841301026296;41.23284382284509;41.16823623336931;41.54425021213806;41.06971524869928;41.18382178421585;40.93640932743517;41.61049494726777;41.491919767597246;41.13394236341026;41.50363499945574
2009;41.575310486380154;41.455397226301386;41.014241624033254;41.09917670428066;41.42562077514241;41.45477332053363;41.81844596216221;41.2921285218706;41.02435410413744;41.063745350673656;41.64882557533936;41.32826905256686;41.15390533948754;41.102782725064024;41.28918182172801;41.08633280575393;41.21510562972576;41.73899183182972;40.97655627598778;41.15474032278863;41.50306799251487;41.06169057387503;41.17545671236637;40.92878967265578;41.56908752982518;41.51017537297141;41.13365347130042;41.490024260066136
2010;41.603194847287206;41.45300405774436;40.95514133138733;41.076636191345415;41.41354161200435;41.4760420004756;41.79049836864568;41.22787644665246;40.95161751741887;40.99131207471604;41.636886408977425;41.32136581079311;41.10763999396868;41.068137947031424;41.18507264872279;41.04866817806137;41.12493341082204;41.77399294700061;40.970100544668156;41.16388032554621;41.551113010917724;41.054938885850596;41.12718896635374;40.919844644636804;41.55182742116264;41.49232247478415;41.091759129852605;41.48009508814336
2011;41.620434022176106;41.47405298095121;40.91123130564772;40.960829308487305;41.42560159198286;41.545101852584615;41.78445662423536;41.29942425858782;40.85765494591825;40.91663902176186;41.624717413586765;41.330405536721656;41.05886029799775;41.06703365969102;41.157817647672175;41.022235275528;41.14155007155015;41.767943636963984;41.00534674937482;41.23764890287086;41.60604572920998;41.049019640446296;41.11520621616695;40.93421480998053;41.56617208252324;41.538084109547974;41.10293584284499;41.43417483505428
2012;41.64771733852338;41.5035260929316;40.836247835674676;40.86826591745808;41.451573514570114;41.56940252588488;41.772680301012436;41.35422310724917;40.73845793130865;40.83562255487326;41.639647237137524;41.331452892794644;41.03822649761912;41.08198577678069;41.238074704299905;40.984507330333834;41.18468381817946;41.69482284326458;41.040689235858984;41.254984901580706;41.60334825091077;41.03966021889942;41.05682193631653;40.938582424860144;41.57605763616683;41.52024537005722;41.055448624551616;41.46142661033634
2013;41.6444038723929;41.49966720190029;40.87161977759434;40.783246565582935;41.48142495489169;41.57869443459245;41.766829844642395;41.39004671181496;40.689985813412505;40.790061324490324;41.623576151798865;41.31980891951264;41.00371097150147;41.092989470385795;41.28816997622278;40.937479202678084;41.22898734681648;41.71990496445647;41.09865869738361;41.25588724788096;41.58085299212107;41.02442358405607;41.022771650107934;40.92386823571106;41.566818213264426;41.50372356478494;41.03806822976302;41.480301557724445
2014;41.6656997230258;41.519370639251115;40.90447604683626;40.709784225776204;41.48802831486746;41.600293242419234;41.78652444423359;41.42525396986878;40.673282298719236;40.795390762461075;41.59203297620817;41.29581146776074;40.997879194488476;41.14483880539706;41.34585406282512;40.90911303645156;41.275188109446624;41.7240910254648;41.153461506516784;41.28202632049149;41.567698788139815;41.05175230970463;41.049827761841584;40.92302949032723;41.57823583853721;41.50413744891942;41.04556919366751;41.51918997106853
2015;41.664588666951055;41.539797461778306;40.98902022360573;40.69115094239672;41.53198921509952;41.63110495217854;41.81147700894359;41.449599028423016;40.72616905037373;40.830754209624;41.5521259611714;41.29141998273561;41.001509484651834;41.18726341369508;41.378870119909365;40.92658956802345;41.28164274517483;41.679439080306615;41.19240026261494;41.28061885883124;41.60224066840205;41.096620150701774;41.0750618210081;40.91210121695713;41.58337359759298;41.47378223870153;41.08336135332446;41.55121669921358
2016;41.67864512150243;41.5603768371381;41.05438503643201;40.731538944506305;41.5618395513095;41.65643795614386;41.8291679715496;41.47407604213629;40.70315891195064;40.87904301385506;41.50684615712388;41.29146994739555;41.02382687387395;41.25731430558093;41.415034565029195;40.97884418155398;41.3154141481145;41.69766021785223;41.1671226513347;41.335726821263286;41.61970288349105;41.153271739514544;41.12027822537939;40.931527863444984;41.633375596811426;41.48866959794912;41.095417143413506;41.57105451043435
2017;41.70391168836657;41.59121101600239;41.06830120039328;40.791292761141456;41.6288026465757;41.69815387533626;41.82996859246021;41.52117048233998;40.7898031810641;40.93013543082879;41.54416671337293;41.3089461648288;41.03993907575416;41.33376201003244;41.48173361789179;40.99357298068844;41.354427144496164;41.68453036093768;41.213118530982406;41.357344194053894;41.65260906175301;41.27055980339011;41.19588234211872;40.97365187265711;41.625364408148506;41.54596969256257;41.15842024067107;41.5923248859805
