--- Safety ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2007;31.067541964493167;30.8446015966203;29.78408685267002;30.489165368971115;30.537051320796394;30.84345588968052;30.842833459340515;30.358084146816573;30.695995462153647;30.722680889920063;30.817993328959886;30.92392599609536;30.24982999354173;30.250127753492276;30.62263472758719;30.82539003173852;30.374363846279767;31.358659055744802;30.04279194097441;30.50940218455764;30.920758140525788;30.340171445426524;30.752612550375613;30.236429697167857;30.83689718229171;30.575543137157204;30.44472245759139;30.660720694060075
2008;31.07014556449028;30.862753996758556;29.96302357429819;30.592703511630162;30.55432471739303;30.8552120622533;30.805320293786714;30.424230406897813;30.76262745434522;30.75691653817364;30.832818060324232;30.937008578608236;30.249818639008804;30.279305007999238;30.63411251327349;30.842863350212536;30.445834253151688;31.40453130699878;30.06700173733432;30.524263954205253;30.958147064654945;30.42975098087607;30.73584944183315;30.24996379618158;30.832835182103345;30.566848736534435;30.501715705280933;30.678706749966842
2009;31.0895857468965;30.877100310479936;29.954804387709206;30.55837556885659;30.564256249521442;30.961918758565393;30.819462730283195;30.384429858991407;30.7272629725337;30.721359807936476;30.856432520492323;30.91261090267179;30.264838591176307;30.18795338910788;30.59957667914742;30.85749673984109;30.36844391493757;31.365341748765942;29.967515026903644;30.572432963933036;30.93390100101742;30.451107849197477;30.724784865428205;30.254313958612;30.83872607704106;30.56064684219643;30.49194736824726;30.68470033512984
2010;31.138761695731283;30.90086273701476;29.9402995473119;30.456800465111968;30.59375499062995;31.008838038267154;30.883693072874916;30.310202197197647;30.66363746423549;30.73832939912254;30.930198815249028;30.955819681300483;30.272943145787178;30.186127038026967;30.643887018281347;30.92686896011156;30.303696319484388;31.3731407241732;29.962461366322803;30.601745693261797;31.081497054155836;30.466908729664922;30.770540368161708;30.257942260968044;30.868818384345836;30.563967968788777;30.526154268821085;30.706578989875474
2011;31.166140906941166;30.926882768206887;29.97332083650098;30.434752545722056;30.591783342621106;31.016948482090395;30.883351462400817;30.334480742867164;30.605702692646737;30.78465328949662;30.94352550988403;30.98923810422817;30.26777419392702;30.20098399669745;30.5880478235227;30.878888815780712;30.307981697134423;31.38486494948617;29.94589991296532;30.57042185149064;31.094697301100734;30.477572580046196;30.75285336641827;30.207500724090142;30.86963715605401;30.574167911186375;30.569730840785283;30.732689338345335
2012;31.216789445403734;30.959902423257077;29.957231333296544;30.43869001502412;30.60747705420959;31.052467192366375;30.918478899582727;30.347466198055447;30.532996917429347;30.761608835120338;30.993509698755748;31.016861130986236;30.259313114444875;30.1656665187425;30.57935681284481;30.865020051298814;30.336934734716884;31.392608002350183;30.035834629519105;30.596471010395977;31.125874243886795;30.482757972503276;30.71574979510528;30.182091113529722;30.904687467651488;30.56877964182729;30.590512425015724;30.76813216340057
2013;31.211662235643875;30.986806836277733;29.99062090775463;30.410733678117946;30.619005401143724;31.056427349378442;30.976830558573628;30.400410698330322;30.426868135109466;30.753409207874117;31.010354591360702;31.017687320045937;30.287586714754358;30.179252325863416;30.559689188188297;30.84203323833658;30.344657965595484;31.403709938677096;30.127618144966117;30.598992346279115;31.133219848506283;30.528782381625746;30.703304935887772;30.178694316432672;30.914803841436854;30.56257497624278;30.602201220090347;30.778093381580742
2014;31.22732299397652;31.018242339248623;30.123341616548835;30.390146673442707;30.65652732768886;31.084819537949343;31.02300150322115;30.4490127543633;30.43706706421597;30.782910146641022;31.05962467308824;31.041617653010995;30.32887390408097;30.191392914144917;30.57182081522217;30.843042163726277;30.400416307289227;31.41568329499619;30.147907999411558;30.60249274868419;31.140778628429935;30.560630933847158;30.728329708604733;30.21877071079506;30.935843345813954;30.569083694708283;30.627192352743222;30.76577159445285
2015;31.269815032680814;31.06826887155474;30.12713232683772;30.428632092233382;30.729159218321907;31.129844132923573;31.101239067977726;30.540788994628244;30.45033784173613;30.838371694196738;31.097723814776725;31.086773005460834;30.37766302672582;30.26271865531031;30.650605629165746;30.86428850675127;30.45055564980198;31.4765903825782;30.2512016646404;30.660707631101747;31.190143201167338;30.66698212286302;30.770850716242414;30.2934372212006;30.98665245240348;30.651433934275808;30.665176664547115;30.796176281104522
2016;31.261201893635175;31.05525505268242;30.13618665305552;30.4938633147542;30.759394296437453;31.147841324809352;31.06506918832342;30.608334812856643;30.452867431989816;30.85190471191127;31.099713231274563;31.070289953266887;30.42011963975985;30.432604396530742;30.710709586929834;30.916677082647645;30.457023470863177;31.457970868769127;30.295939185473387;30.67339874468253;31.192920722207777;30.70661795308209;30.796043404617862;30.294450350032868;30.97252383297296;30.66838142595576;30.670655362941957;30.7525308087613
2017;31.28436084857819;31.07308840758793;30.15609071295138;30.53238206253287;30.804210752017784;31.1586830227429;31.07310054091691;30.603418664339152;30.4631561287799;30.88024162406533;31.10924258333214;31.08637874787745;30.456670052323307;30.591126653257614;30.740237660927168;30.970583259059648;30.464916129916396;31.50240767602911;30.310644526463058;30.73339526547289;31.230879909710566;30.732442835044107;30.8122763443828;30.334629971382427;30.986593282317443;30.713142276655926;30.69511705397557;30.75096191813537
