--- COUNTRY --- Education ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;40.27;40.26;40.26;40.26;40.28;40.29;40.3;40.3;40.32;40.32;40.4;40.41;40.47;40.51;40.51;40.5;40.47;40.48
BE;40.23;40.23;40.25;40.25;40.25;40.25;40.26;40.19;40.19;40.2;40.22;40.21;40.36;40.4;40.41;40.41;40.41;40.42
BG;39.61;39.62;39.65;39.71;39.73;39.72;39.73;39.63;39.64;39.66;39.69;39.69;39.72;39.75;39.75;39.74;39.73;39.76
CY;40.06;40.02;40.15;40.19;40.21;40.19;40.19;40.17;40.16;40.15;40.17;40.23;40.25;40.31;40.35;40.32;40.3;40.41
CZ;40.09;40.09;40.11;40.14;40.16;40.14;40.15;40.19;40.18;40.17;40.19;40.2;40.26;40.33;40.32;40.32;40.29;40.3
DE;40.23;40.23;40.26;40.29;40.31;40.32;40.32;40.38;40.39;40.39;40.37;40.38;40.38;40.39;40.39;40.41;40.4;40.26
DK;40.66;40.65;40.68;40.63;40.63;40.64;40.68;40.72;40.72;40.74;40.74;40.75;40.75;40.7;40.68;40.69;40.65;40.68
EE;40.34;40.37;40.37;40.36;40.42;40.42;40.41;40.44;40.43;40.43;40.42;40.42;40.48;40.49;40.53;40.55;40.53;40.5
EL;39.7;39.72;39.74;39.73;39.76;39.79;39.78;39.79;39.79;39.8;39.86;39.88;39.97;39.99;39.98;40.08;40.1;40.13
ES;39.97;40.04;40.04;40.04;40.01;39.99;40.02;40.02;40.03;40.05;40.06;40.09;40.11;40.15;40.17;40.19;40.19;40.31
FI;40.44;40.44;40.45;40.48;40.48;40.46;40.48;40.55;40.56;40.61;40.62;40.62;40.66;40.7;40.73;40.75;40.74;40.76
FR;40.15;40.15;40.15;40.16;40.17;40.16;40.15;40.16;40.18;40.32;40.33;40.33;40.34;40.35;40.37;40.39;40.34;40.37
HR;39.81;39.83;39.88;39.9;39.91;39.9;39.9;39.89;39.9;39.88;39.91;39.94;40.01;39.96;39.98;40.09;40.09;40.16
HU;39.71;39.7;39.71;39.73;39.73;39.72;39.73;39.82;39.81;39.82;39.85;39.9;39.93;39.93;39.94;39.94;39.94;39.97
IE;39.74;39.74;39.78;39.8;39.78;39.75;39.9;39.9;39.92;39.96;39.98;39.98;40.18;40.25;40.29;40.32;40.31;40.49
IT;39.85;39.85;39.87;39.88;39.88;39.88;39.88;39.87;39.88;39.86;39.88;39.89;39.92;39.95;39.95;39.96;39.95;40
LT;40.12;40.16;40.18;40.22;40.22;40.2;40.21;40.24;40.26;40.28;40.31;40.35;40.36;40.39;40.41;40.46;40.45;40.42
LU;40.5;40.53;40.5;40.52;40.53;40.66;40.66;40.69;40.7;40.73;40.76;40.75;40.72;40.7;40.74;40.66;40.6;40.63
LV;40.16;40.17;40.16;40.17;40.2;40.16;40.17;40.2;40.25;40.28;40.28;40.29;40.32;40.34;40.35;40.33;40.35;40.42
MT;39.99;40.03;40.08;40.1;40.12;40.09;40.17;40.18;40.2;40.23;40.22;40.24;40.25;40.33;40.35;40.37;40.35;40.42
NL;40.42;40.39;40.41;40.57;40.59;40.58;40.6;40.61;40.62;40.62;40.62;40.64;40.68;40.71;40.71;40.73;40.73;40.82
PL;39.74;39.76;39.78;39.82;39.84;39.87;39.91;39.9;39.94;39.95;39.97;39.99;40.08;40.1;40.14;40.13;40.13;40.13
PT;39.64;39.64;39.65;39.68;39.71;39.75;39.76;39.93;39.95;39.96;39.99;40.03;40.07;40.14;40.15;40.2;40.22;40.31
RO;39.38;39.41;39.44;39.47;39.52;39.5;39.46;39.48;39.48;39.5;39.49;39.48;39.55;39.58;39.59;39.58;39.58;39.57
SE;40.69;40.56;40.55;40.58;40.62;40.61;40.65;40.65;40.67;40.7;40.72;40.73;40.75;40.81;40.83;40.83;40.78;40.82
SI;40.34;40.31;40.29;40.33;40.33;40.34;40.37;40.39;40.37;40.36;40.36;40.37;40.34;40.38;40.38;40.39;40.38;40.49
SK;40.06;40.1;40.11;40.12;40.13;40.12;40.12;40.1;40.09;40.1;40.11;40.11;40.14;40.18;40.24;40.22;40.22;40.24
UK;40.52;40.46;40.45;40.35;40.39;40.4;40.41;40.39;40.42;40.45;40.46;40.48;40.34;40.3;40.32;40.35;40.35;40.35
