--- Environment ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2004;26.070823787971193;26.047236093702164;25.74885340418053;25.84887822452995;25.944380454666142;26.072004275390686;26.180076148303947;25.707382660901043;25.88272656174224;26.059500179325564;26.218187689392998;26.105275182209816;26.021771210703186;26.105029727829297;26.18487464403319;25.695358556181503;26.028174252705366;26.07584827766026;25.978393766786315;25.959015802085307;26.009839137391186;25.94822109629407;25.98241420688506;25.547223098003254;26.203328444756455;25.90423388051926;25.867722260729654;26.08682730212381
2005;26.05775948760144;26.04076975400337;25.762889667414314;25.84887822452995;25.928310085406224;26.054124275142666;26.155726197859913;25.981372737698056;25.88819235345218;26.021317446808684;26.201689426647544;26.141270933568208;26.021771210703186;26.01478284998152;26.193648959550497;25.69374837083814;26.03098403258147;26.07586917233597;25.976314981547123;25.952965892272857;26.01335407949863;25.930478162781583;25.968767032002148;25.57803598443279;26.199723826179447;25.92744167229573;25.857822468452582;26.07810380386604
2006;26.059361557452483;26.04556354892351;25.737536218436457;25.803750799450285;25.949312890137275;25.999891552005753;26.14229312304233;25.960746831093168;25.892247262950168;25.990693125812758;26.18900833155924;26.149924462591276;26.021771210703186;26.07195338898512;26.164423234868494;25.85448182802901;26.044880299988794;26.094394863505777;25.9631391486398;25.888726299039227;26.012508767844544;25.91928752890852;25.991914188907987;25.555353224086506;26.175576580541296;25.97849277311118;25.890917411932524;26.094930389598378
2007;26.10223464554846;26.054997694753695;25.757545001076863;25.790931412900463;26.05329293807262;26.055580925583246;26.15936980034244;25.963942459500338;25.926332526610892;26.06057314344916;26.190546580054097;26.1165444112151;26.021771210703186;26.117056916770444;26.18875037277165;25.863196633784344;26.042888108084462;26.127871433524376;25.95234838261296;25.949525737911518;26.018143456998764;25.988557599689745;25.971719671338814;25.584322767095664;26.201988890876265;25.969076034509357;25.958995469265123;26.100131954552506
2008;26.112454843282595;26.086493357007154;25.72895078434394;25.865831473975746;26.058562918339568;26.055824958042486;26.17240264537379;26.116260981691585;25.901416324009077;26.116801049298665;26.213514225674526;26.137038352548974;26.021771210703186;26.157121826912718;26.208808407266886;25.916701795720606;26.08122566216228;26.153560465438716;25.949506979407293;25.9561139136113;26.0730065211907;25.93914030944126;26.08426232039268;25.671359413250368;26.179903685675367;25.989278516282706;25.965821633358043;26.132323830308707
2009;26.11168083309969;26.085056740024775;25.875187789564038;25.854467792731548;26.027467035559116;26.05042484726128;26.192570691563738;26.182444155922337;25.949607878965306;26.11286856461272;26.238292901560808;26.110138156460284;26.021771210703186;26.148425591417464;26.23282660576943;25.912480050619923;26.05553228062107;26.14526903020792;26.02089844757187;25.93233128520165;26.084247127963923;25.949830976350526;26.081276446333227;25.677906856737234;26.20909366970941;26.03393207593492;25.92745988302106;26.136100618172723
2010;26.085682371835837;26.111285718657147;25.91739538958818;25.869862144406504;26.01638103189465;26.053820844037453;26.215011423337597;26.19027317399472;25.94422009599551;26.175547565510193;26.24896102452172;26.12037073429968;26.021771210703186;26.1144597101038;26.223048522179845;25.977313656130647;26.05183862025613;26.19641073424362;26.016879489421324;25.90866233207145;26.101002808398697;25.936305098001984;26.116154421838573;25.70169239861262;26.231398454325113;26.023432873104944;25.965902218754657;26.143516846136727
2011;26.093161143977685;26.093009596672097;25.801876237180423;25.95081101709615;26.044976646703187;26.04431458635895;26.182965417513152;26.192451121563654;25.989126606514798;26.205625540489304;26.256317294341294;26.127187731226908;26.046670945197615;26.08195018483659;26.22966284241188;25.923294866500417;26.064774128326825;26.2177773287183;26.058497301635107;25.879741278393425;26.09601514749649;25.95289754493666;26.102460112380555;25.702673043330893;26.21259077762951;25.988034543600136;25.945408607493608;26.119742309379692
2012;26.13130922347399;26.126805272095957;25.956929049138424;25.970830249602376;26.08431649692174;26.078383582535245;26.21321404001422;26.188326324285054;25.957233974262593;26.196073093629284;26.265620988117387;26.155767370965105;26.064128421351796;26.126578119557756;26.24321768515313;26.005663519859556;26.079484697042105;26.20011835223589;26.070172071447928;25.921930846488458;26.13505664256519;25.97476009584587;26.13460520739172;25.78250624171941;26.22954964282823;26.080008649303;26.01354991072226;26.17573220259578
2013;26.115752853918337;26.11054528014176;25.997775638927646;26.0018947465579;26.072172910542957;26.073508600494893;26.22452520353296;26.205778015563798;25.977812608189144;26.21212151125181;26.27193767104535;26.16302022926278;26.080420106004578;26.14041108909174;26.23355422670177;26.0262617510535;26.056170355331922;26.16092503936513;26.105362129534193;25.917725380967244;26.129738150368414;26.007307354973413;26.158199722965694;25.841087824056203;26.239483781786433;26.09832364061595;26.02267776256379;26.18811283299613
2014;26.14985219875179;26.14311873733453;26.00331277340121;26.093560231467624;26.097351974531488;26.07037668373625;26.19851760954959;26.183526480499346;26.072013605953277;26.213827614483893;26.26234516843937;26.20356113256716;26.13508184361707;26.1107554501438;26.248295336218675;26.056970109542473;26.07492099067749;26.16886933242882;26.072815022160608;25.946052537076064;26.123023932127992;26.014916139679585;26.153510935382798;25.89773044738807;26.233564469768737;26.120312648519437;26.094762352155264;26.192822052392806
2015;26.15064756092735;26.1592984394305;26.05315796411195;26.0953410752532;26.125058328814568;26.0844956897717;26.2079079800353;26.227816386730268;26.058929985761736;26.191395125702183;26.295391551647764;26.184054747463296;26.10896586813957;26.119859177084304;26.26511191285111;25.99970021444729;26.085773243969708;26.14920900991579;26.124924222604225;26.013535812573732;26.149059117660975;26.052176964516796;26.14822983370297;25.883942296613505;26.25613117558573;26.07010348906877;26.107530403407967;26.21091853938009
