--- COUNTRY --- GBR ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2004;23.78780982835258;23.905138502101003;23.574983520198355;23.614937900047817;23.443130210819717;23.810363118622003;24.05256888183378;23.68072624521264;23.420835096453462;23.63783607660571;24.072409048517724;23.790711499585836;23.696580829831817;23.74422333523163;23.794523558692756;23.659721685780045;23.690999894791283;23.95784356279595;23.856465337240266;23.54216988829679;23.98706093968082;23.480890207471752;23.736596897047548;23.568978817475525;24.174230614032734;23.827356314619472;23.45453123284781;23.78060897014418
2005;23.78780982835258;23.905138502101003;23.574983520198355;23.614937900047817;23.443130210819717;23.810363118622003;24.05256888183378;23.68072624521264;23.420835096453462;23.63783607660571;24.072409048517724;23.799025224200815;23.696580829831817;23.74422333523163;23.794523558692756;23.659721685780045;23.690999894791283;23.95784356279595;23.856465337240266;23.54216988829679;23.98706093968082;23.480890207471752;23.736596897047548;23.568978817475525;24.174230614032734;23.827356314619472;23.45453123284781;23.788922694759158
2006;23.78780982835258;23.905138502101003;23.574983520198355;23.614937900047817;23.443130210819717;23.810363118622003;24.05256888183378;23.68072624521264;23.420835096453462;23.63783607660571;24.072409048517724;23.806034078029132;23.696580829831817;23.74422333523163;23.794523558692756;23.659721685780045;23.690999894791283;23.95784356279595;23.856465337240266;23.54216988829679;23.98706093968082;23.480890207471752;23.736596897047548;23.568978817475525;24.174230614032734;23.827356314619472;23.45453123284781;23.795931548587475
2007;23.78780982835258;23.905138502101003;23.574983520198355;23.614937900047817;23.443130210819717;23.810363118622003;24.063557119855968;23.68072624521264;23.406774313717182;23.63783607660571;24.072409048517724;23.81963006974751;23.696580829831817;23.74422333523163;23.794523558692756;23.659721685780045;23.690999894791283;23.95784356279595;23.856465337240266;23.54216988829679;23.98706093968082;23.570746536593614;23.736596897047548;23.568978817475525;24.174230614032734;23.827356314619472;23.45453123284781;23.809527540305858
2008;23.79487509827268;23.904037786524817;23.572731266994033;23.646093067827614;23.40896131520447;23.810363118622003;24.070734184156333;23.726727386792565;23.40046514452392;23.659748652429325;24.06868926741519;23.826763243871774;23.696580829831817;23.72995436543043;23.849156550840924;23.644981376403376;23.720867895467002;23.96333506478963;23.87685109416474;23.52703446423169;23.991944954273247;23.610592445140814;23.72900055015561;23.484148268396154;24.184989833184474;23.85179199993413;23.48882030632644;23.804383702924515
2009;23.805360122244306;23.905138502101003;23.592048943935477;23.66673739540796;23.412963988994125;23.773703402295762;24.074303491931452;23.74025939301114;23.381908742764097;23.652656424119833;24.064955597863143;23.85505732031534;23.696580829831817;23.73473334704678;23.849156550840924;23.638718307913813;23.797222352817645;23.964896515270915;23.862169859269905;23.543242274458546;23.9968052311555;23.647836618313185;23.69214257726406;23.495970007361322;24.199157720703205;23.90210442126609;23.476257327025735;23.762186568300944
2010;23.81416193648832;23.899937777172887;23.61449290603229;23.699107960204294;23.4566176805832;23.7819732621497;24.073400738435314;23.733504920568706;23.477125533681065;23.67520117770916;24.058455777491744;23.8515626355424;23.70606887618719;23.729852874861923;23.849781858912124;23.64843187584038;23.853336484409308;23.975826690358378;23.86959706199053;23.578249906716756;23.991766596910335;23.700446633361928;23.672699106750077;23.494879768751154;24.20401853225225;23.885969963535956;23.555237367595204;23.76296360712638
2011;23.823866075587784;23.91384986110031;23.636018028375272;23.661458321931494;23.453112937390856;23.785949019154337;24.071933312188722;23.68787379618796;23.485419915314875;23.639833941628513;24.076838581074604;23.847380616244937;23.64803465689257;23.714916218509366;23.879931246196666;23.654970205526773;23.82581744585812;23.996673669695703;23.81451816985974;23.61351282848313;23.989196181906014;23.653875274325426;23.677053463136623;23.498901598853358;24.20808524632474;23.879986491034696;23.540815604428722;23.782148573449177
2012;23.83602924285188;23.93306579411858;23.623818279272125;23.668501814951295;23.463406340335883;23.782839996182016;24.073187571469095;23.664751127765626;23.449360085192563;23.64609313451993;24.083979718122887;23.83861309847393;23.665966747657805;23.697308988604153;23.890091357447297;23.671672298145918;23.841473635304276;24.035743800516272;23.78280964285427;23.679078912966215;24.00219055103587;23.645776970319332;23.68001310929691;23.541194605046766;24.21689141312709;23.864551535449603;23.52810313401624;23.781857789231367
2013;23.82991740563726;23.95349938757954;23.581161675248097;23.68272689449482;23.45722240455834;23.805955299219335;24.078134521964667;23.652258965005426;23.44673215180724;23.660912943053244;24.094015184711562;23.849798979370487;23.681636420115957;23.702157393210765;23.856271327329555;23.6520326107892;23.818619583770154;24.048589382918795;23.762619479402332;23.737079469430387;24.022088480674167;23.635863608362392;23.70797162423598;23.562225874431675;24.227624607556372;23.827742730121305;23.568964454908635;23.806130290041533
