--- COUNTRY --- Health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;75.57;75.58;75.61;75.64;75.64;75.66;75.65;75.67;75.69;75.68;75.69;75.7;75.68;75.67;75.68;75.59;75.63;75.62
BE;75.45;75.45;75.46;75.43;75.43;75.44;75.44;75.42;75.43;75.4;75.4;75.38;75.45;75.45;75.45;75.44;75.46;75.47
BG;74.67;74.75;74.73;74.78;74.81;74.91;74.92;74.93;74.98;75.02;75.08;75.11;75.16;75.17;75.2;75.23;75.21;75.21
CY;74.64;74.64;74.63;74.65;74.66;74.63;74.54;74.55;74.57;74.57;74.67;74.82;74.83;74.78;74.75;74.67;74.68;74.68
CZ;75.36;75.36;75.35;75.35;75.33;75.34;75.37;75.33;75.33;75.28;75.29;75.29;75.28;75.28;75.3;75.25;75.25;75.3
DE;75.85;75.85;75.85;75.86;75.91;75.95;75.98;76.01;76.03;76.04;76.05;76.02;76.02;76.01;76.01;75.96;75.96;75.96
DK;75.7;75.71;75.69;75.67;75.68;75.66;75.68;75.61;75.62;75.63;75.54;75.49;75.51;75.52;75.52;75.44;75.43;75.4
EE;74.82;74.8;74.83;74.83;74.89;74.84;74.8;74.79;74.82;74.69;74.66;74.67;74.66;74.67;74.61;74.66;74.71;74.7
EL;74.84;74.86;74.91;74.92;74.93;74.97;74.9;74.89;74.86;74.82;74.79;74.78;74.78;74.82;74.84;74.91;74.92;74.91
ES;74.47;74.47;74.49;74.49;74.53;74.55;74.59;74.66;74.62;74.57;74.59;74.61;74.61;74.65;74.63;74.68;74.64;74.62
FI;75.9;75.91;75.92;75.9;75.9;75.83;75.62;75.58;75.53;75.45;75.44;75.4;75.33;75.18;75.24;75.13;75.14;75.14
FR;75.49;75.49;75.49;75.49;75.48;75.47;75.45;75.46;75.49;75.49;75.5;75.52;75.51;75.5;75.5;75.54;75.53;75.54
HR;74.57;74.56;74.58;74.61;74.63;74.61;74.68;74.73;74.8;74.8;74.9;74.85;74.85;74.86;74.89;74.89;74.92;74.92
HU;75;74.97;75.05;74.89;75;75.04;75.03;75.04;75.04;75.07;75.09;75.05;75.11;75.11;75.12;75.09;75.09;75.1
IE;75.91;75.9;75.89;75.88;75.84;75.4;75.35;75.32;75.28;75.26;75.25;75.36;75.41;75.41;75.44;75.46;75.47;75.47
IT;74.87;74.89;74.88;74.92;74.9;74.9;74.91;74.87;74.88;74.7;74.71;74.7;74.79;74.88;74.84;74.83;74.81;74.83
LT;75.28;75.26;75.25;75.31;75.31;75.35;75.39;75.41;75.43;75.42;75.4;75.35;75.33;75.33;75.31;75.33;75.3;75.32
LU;75.58;75.62;75.61;74.67;74.71;75.67;75.66;75.66;75.69;75.67;75.68;75.64;75.61;75.6;75.56;75.55;75.57;75.58
LV;74.78;74.79;74.9;74.91;74.94;74.77;74.59;74.59;74.63;74.59;74.57;74.62;74.64;74.59;74.62;74.55;74.57;74.59
MT;75.24;75.25;75.3;75.35;75.36;74.87;74.86;74.87;74.97;75.03;75.1;75.09;75.14;75.14;75.12;74.98;74.99;74.97
NL;75.49;75.49;75.5;75.48;75.51;75.51;75.5;75.48;75.45;75.42;75.41;75.4;75.4;75.37;75.36;75.36;75.38;75.34
PL;74.83;74.8;74.81;74.83;74.87;74.87;74.87;74.88;74.9;74.88;74.9;74.89;74.91;74.92;74.91;74.84;74.87;74.89
PT;74.2;74.22;74.26;74.28;74.33;74.33;74.39;74.44;74.41;74.4;74.39;74.43;74.49;74.51;74.55;74.55;74.58;74.56
RO;74.8;74.83;74.85;74.83;74.85;74.88;74.81;74.84;74.93;74.99;75.03;75.09;75.13;75.16;75.18;75.17;75.18;75.18
SE;75.26;75.25;75.26;75.28;75.26;75.28;75.29;75.28;75.28;75.25;75.24;75.22;75.17;75.15;75.14;75.08;75.07;75.03
SI;74.79;74.81;74.83;74.85;74.88;74.94;74.92;74.95;74.95;75.02;75.05;75.06;75.05;75.01;75.01;74.94;74.96;74.95
SK;75.14;75.07;75.08;75.14;75.15;75.14;75.14;75.06;75.07;75.04;75.04;75.04;75.07;75.06;75.05;74.97;74.96;74.95
UK;75.22;75.2;75.16;75.11;75.12;75.12;75.03;74.93;74.9;74.88;74.84;74.78;74.78;74.76;74.73;74.73;74.73;74.73
