--- COUNTRY --- Leisure ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2004;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2005;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2006;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2007;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2008;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2009;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2010;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2011;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2012;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2013;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2014;25.06191175923758;24.842093807176013;24.187451544858973;24.50433492264325;24.730138400700568;24.88068097872951;25.351886700867333;24.780479924030814;24.44330986492895;24.59290235532528;25.473915786235768;24.889781128692917;24.55197508972357;24.429017149806548;25.087152668076776;24.48991198025937;24.613394598867334;25.15480948736305;24.648566858526706;24.453187975940043;25.424606100170333;24.91376789894862;24.662021771658882;24.136426220044406;25.453968660967153;25.120513630936944;24.726362750530395;24.92341177662233
2015;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2016;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2017;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2018;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2019;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2020;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
2021;25.08910890297811;24.836919895088048;24.214140128511374;24.479302326430634;24.774126973947354;24.849739283844634;25.3652523101507;24.82537819139586;24.448579969353187;24.5662986098073;25.489520084563317;24.92398687444676;24.55197508972357;24.426451401125114;25.09789026771041;24.457893564005875;24.65679880793093;25.174035567075364;24.707443455723237;24.48385922191053;25.456354798484913;24.937343377579165;24.695510441412925;24.136426220044406;25.464612721013097;25.16556365855703;24.715202575961843;24.911155355785354
