--- COUNTRY --- MLC ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;56.7;56.69;56.69;56.7;56.64;56.66;56.68;56.67;56.67;56.64;56.64;56.65;56.65;56.66;56.7;56.69;56.72;56.69
BE;56.78;56.78;56.78;56.8;56.76;56.78;56.74;56.76;56.77;56.79;56.78;56.78;56.74;56.72;56.7;56.71;56.74;56.76
BG;55.14;55.14;55.14;55.21;55.36;55.4;55.41;55.42;55.42;55.44;55.52;55.54;55.57;55.62;55.74;55.79;55.85;55.92
CY;56.47;56.47;56.45;56.51;56.49;56.48;56.44;56.43;56.45;56.37;56.4;56.39;56.38;56.5;56.51;56.58;56.62;56.62
CZ;56.1;56.1;56.1;56.19;56.22;56.28;56.34;56.35;56.33;56.34;56.34;56.39;56.44;56.49;56.59;56.62;56.64;56.64
DE;56.62;56.62;56.6;56.68;56.66;56.65;56.66;56.66;56.67;56.67;56.69;56.68;56.68;56.69;56.74;56.75;56.72;56.71
DK;56.89;56.89;56.88;56.88;56.9;56.88;56.89;56.87;56.86;56.83;56.84;56.84;56.85;56.85;56.86;56.88;56.87;56.87
EE;55.9;55.96;55.99;56.04;56.09;56.03;56.03;56.3;56.32;56.27;56.39;56.44;56.44;56.46;56.49;56.49;56.54;56.52
EL;55.91;55.88;55.86;55.88;55.88;55.89;55.89;55.81;55.67;55.59;55.61;55.61;55.62;55.64;55.72;55.77;55.78;55.76
ES;56.35;56.54;56.58;56.61;56.62;56.59;56.55;56.55;56.55;56.49;56.47;56.52;56.5;56.61;56.63;56.66;56.6;56.63
FI;56.88;56.88;56.9;56.91;56.91;56.91;56.91;56.89;56.91;56.92;56.9;56.91;56.9;56.9;56.92;56.94;56.93;56.93
FR;56.54;56.59;56.6;56.57;56.59;56.58;56.57;56.6;56.6;56.6;56.59;56.61;56.59;56.62;56.61;56.63;56.56;56.56
HR;55.75;55.75;55.75;55.75;55.75;55.75;55.75;55.74;55.71;55.7;55.74;55.8;55.84;55.92;55.97;56.05;56.09;56.15
HU;55.66;55.66;55.67;55.76;55.67;55.69;55.61;55.62;55.57;55.6;55.67;55.77;55.82;55.87;56.2;56.24;56.28;56.36
IE;56.69;56.7;56.71;56.75;56.76;56.71;56.67;56.65;56.64;56.62;56.6;56.67;56.7;56.76;56.93;56.94;56.94;56.93
IT;56.08;56.1;56.09;56.09;56.09;56.12;56.11;56.03;56;55.98;55.98;56;56.02;56.11;56.15;56.2;56.19;56.18
LT;55.59;55.59;55.65;55.81;55.83;55.82;55.78;56.08;56.11;56.04;56.11;56.13;56.14;56.16;56.22;56.29;56.37;56.33
LU;56.82;56.83;56.86;56.88;56.86;56.87;56.88;56.9;56.87;56.85;56.86;56.84;56.8;56.82;56.81;56.84;56.79;56.82
LV;55.25;55.25;55.39;55.53;55.57;55.51;55.43;55.54;55.66;55.68;55.7;55.76;55.8;55.83;55.88;55.97;55.98;56.02
MT;56.71;56.71;56.68;56.69;56.71;56.62;56.6;56.68;56.61;56.63;56.66;56.74;56.8;56.84;56.95;56.95;56.95;56.95
NL;56.85;56.85;56.88;56.89;56.91;56.92;56.9;56.9;56.88;56.83;56.8;56.81;56.8;56.83;56.85;56.84;56.86;56.9
PL;55.46;55.46;55.57;55.7;55.87;55.95;55.97;56.01;56.02;56.05;56.09;56.1;56.17;56.2;56.28;56.32;56.36;56.38
PT;56.2;56.19;56.21;56.22;56.15;56.16;56.14;56.27;56.27;56.15;56.17;56.23;56.26;56.32;56.39;56.43;56.47;56.43
RO;55.24;55.24;55.24;55.24;55.35;55.38;55.44;55.46;55.46;55.47;55.53;55.57;55.6;55.73;55.82;55.88;55.86;55.94
SE;56.84;56.89;56.87;56.89;56.84;56.82;56.81;56.79;56.82;56.81;56.83;56.83;56.82;56.83;56.82;56.83;56.83;56.82
SI;56.03;56.03;56.05;56.1;55.98;56;56;56.19;56.22;56.23;56.24;56.29;56.33;56.38;56.45;56.51;56.52;56.57
SK;55.95;55.95;55.96;56.06;56.04;56.12;56.11;56.12;56.1;56.07;56.1;56.1;56.13;56.15;56.24;56.23;56.28;56.28
UK;56.7;56.7;56.71;56.7;56.69;56.68;56.68;56.69;56.66;56.66;56.69;56.72;56.72;56.83;56.86;56.86;56.86;56.86
