--- COUNTRY --- PMA ---
Years;AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK;UK
2004;62.039995760877105;61.87102615563697;60.99476373205602;61.436624433740455;61.68326219315609;61.85061660330731;62.33743679234643;61.677329005737676;61.30938267377;61.37319426665901;62.29586046452358;61.76295920992491;61.52186482286883;61.487065688180536;61.79134049945978;61.45466868348275;61.47917607442752;62.208291324232896;61.342582229342305;61.423812038932816;61.971371723808424;61.26202067427312;61.46192463728954;61.21662810567881;62.20804665488218;61.772921644736876;61.416195081083295;61.937662587936906
2005;62.10044924144886;61.88866084935689;60.96012833441267;61.40653672014547;61.77848657986309;61.85211085149937;62.339043457532945;61.70725140858626;61.32345165995929;61.35528170154538;62.29582283804867;61.75581739696743;61.46968826937162;61.49390557565417;61.82332793905341;61.448024419757814;61.532943075106886;62.195879810280815;61.402338200107145;61.44842770013016;61.93006331194364;61.28089571398851;61.440101143705704;61.22404583476263;62.21771661412031;61.84358430266145;61.362760337568886;61.93248331384683
2006;62.128007484116324;61.9068577628241;61.060283495323546;61.381193676088984;61.814170376221725;61.872257299979466;62.380125205986964;61.76771508288454;61.38648330619723;61.3781040248886;62.306687454138775;61.765295445096946;61.472187224934636;61.50550314781789;61.84563552466887;61.49170269000347;61.6376622217908;62.193850373114174;61.480404003529536;61.45536019767026;61.94728834047677;61.313264209118636;61.472447718934326;61.22434128336198;62.234733182222925;61.88783007600328;61.406630446758186;61.933563961000154
2007;62.17293327384244;61.9316492387365;61.155280463195034;61.445416948121256;61.85682852756265;61.911628042704194;62.42523077632609;61.834553953930474;61.40240910026573;61.40849662459684;62.32939640735555;61.77535381618333;61.53326803124778;61.495317780274426;61.88715981358173;61.51009634766115;61.731010588338194;62.25084901421631;61.58825347643671;61.50335916108103;61.963143271892854;61.3933001803792;61.48379006170536;61.244343230897755;62.21775564275584;61.92330084394241;61.44930125832539;61.93439920723158
2008;62.22673530512841;61.94594427298972;61.256726048906536;61.44148436288932;61.87622406319499;61.937917791201215;62.52683506010417;61.85349580457754;61.41685657104741;61.38887201590178;62.33278144133969;61.77085006039416;61.56662150495625;61.497260264790945;61.871915497222886;61.51078062161626;61.74496182116764;62.21150299680913;61.57907564400623;61.53694354610748;61.98204716605646;61.451749995540574;61.56059091570602;61.263900248840514;62.23916519112565;61.963546024040404;61.421295926733514;61.93253447038817
2009;62.215578854753545;61.953678060556335;61.24364525278325;61.39974481118605;61.85977174327314;61.9583128421937;62.465578393960925;61.74143344918871;61.36231658801353;61.27988057538271;62.29454106035833;61.776598531047014;61.567922219083314;61.47317389108387;61.73469555153073;61.47313037902367;61.62545268313907;62.22987604524557;61.335939871559816;61.53534906436203;61.94457334293715;61.44659338901184;61.549083313649085;61.253420037647565;62.193433336124706;61.97896341019515;61.41729890790402;61.92620309938696
2010;62.2390220374447;61.959075411256926;61.16362437261501;61.38634080336726;61.84205100346086;61.971009670416024;62.43720009605078;61.675288732404866;61.30856666035495;61.20284321781643;62.2733479540083;61.77416540034181;61.51795161512689;61.454561438785426;61.6286940077103;61.42274727511404;61.55102754418465;62.26115949906299;61.343472311496406;61.529156217161834;61.991878405496735;61.446728367719565;61.52722405676074;61.262315613002784;62.172725353995915;61.97216896667053;61.373232585981214;61.90899589936767
2011;62.256692771655715;61.97741093129817;61.1142084315174;61.271308692866846;61.85514281940688;62.046138272371785;62.430606230867674;61.75070510302743;61.2139407607308;61.13043778869075;62.263985923191385;61.783720604854516;61.46309023520631;61.45806138618329;61.59980728818954;61.39877574064466;61.57529703732266;62.25533507623995;61.37789489864497;61.6148138517844;62.047884042416435;61.44363174343663;61.52438992558466;61.26996815142923;62.19078179226989;62.00723424827466;61.386658636085;61.86194455145194
2012;62.28882774231939;62.00488710642888;61.04569161715414;61.17807216334974;61.888880758609105;62.07058289070282;62.41232105287534;61.80540374909156;61.100671237589594;61.05307653383856;62.28130360090302;61.788257257971495;61.437785002417726;61.48213551077554;61.67950728378487;61.36920878851582;61.620070545705836;62.193134355823645;61.423444716771535;61.6434139063589;62.049291399873496;61.43769513754386;61.46453507231141;61.277871375943924;62.203408383361975;61.98696661205856;61.34468367508996;61.89250856349679
2013;62.28702061581302;62.005335799439244;61.08824087964414;61.09367776509284;61.926216550578516;62.0827198664549;62.40157067908562;61.842912295995056;61.0571763211978;61.00891000382117;62.26571094241984;61.778213257050645;61.40202020940948;61.498700710419605;61.73422746183379;61.322934739158796;61.66851801870584;62.221818270032834;61.47968361447355;61.659943372314686;62.07256758611078;61.425302644116435;61.42536504454825;61.26374068801097;62.197537237312936;61.97697077929142;61.32950965329744;61.90855206403899
