--- COUNTRY --- QoLI ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;34.81;34.81;34.81;34.81;34.81;34.81;34.81;34.81;34.82;34.81;34.82;34.82;34.82;34.82;34.83;34.83;34.83;34.83
BE;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.78;34.78;34.78;34.78;34.79;34.79;34.79;34.79
BG;34.56;34.56;34.57;34.57;34.58;34.59;34.59;34.58;34.59;34.59;34.6;34.61;34.61;34.61;34.63;34.63;34.63;34.64
CY;34.67;34.67;34.67;34.68;34.69;34.68;34.68;34.68;34.68;34.67;34.68;34.68;34.69;34.69;34.71;34.71;34.71;34.71
CZ;34.7;34.7;34.7;34.71;34.71;34.71;34.71;34.72;34.72;34.72;34.72;34.73;34.73;34.74;34.75;34.76;34.76;34.76
DE;34.78;34.78;34.77;34.78;34.78;34.78;34.78;34.78;34.78;34.78;34.78;34.79;34.79;34.79;34.8;34.8;34.8;34.8
DK;34.85;34.84;34.84;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85
EE;34.67;34.68;34.68;34.69;34.7;34.7;34.7;34.7;34.7;34.7;34.7;34.71;34.72;34.72;34.73;34.73;34.74;34.74
EL;34.65;34.65;34.65;34.65;34.66;34.66;34.66;34.65;34.64;34.63;34.64;34.65;34.65;34.65;34.66;34.66;34.66;34.67
ES;34.7;34.7;34.7;34.71;34.71;34.7;34.71;34.71;34.7;34.7;34.7;34.71;34.71;34.71;34.73;34.73;34.73;34.73
FI;34.84;34.84;34.84;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.86;34.86;34.86;34.86
FR;34.75;34.76;34.76;34.76;34.76;34.76;34.76;34.76;34.76;34.76;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77
HR;34.65;34.65;34.65;34.65;34.65;34.65;34.65;34.65;34.65;34.65;34.66;34.66;34.67;34.67;34.68;34.68;34.68;34.69
HU;34.66;34.65;34.66;34.66;34.66;34.66;34.65;34.65;34.65;34.65;34.66;34.66;34.67;34.68;34.69;34.69;34.69;34.7
IE;34.77;34.77;34.77;34.77;34.78;34.77;34.77;34.76;34.77;34.76;34.76;34.77;34.78;34.78;34.8;34.8;34.8;34.81
IT;34.68;34.68;34.69;34.69;34.69;34.69;34.69;34.69;34.69;34.68;34.68;34.68;34.69;34.7;34.7;34.71;34.71;34.71
LT;34.67;34.67;34.68;34.69;34.7;34.69;34.69;34.7;34.7;34.7;34.71;34.71;34.71;34.71;34.72;34.72;34.73;34.73
LU;34.82;34.82;34.83;34.81;34.82;34.83;34.83;34.83;34.83;34.83;34.84;34.84;34.83;34.84;34.84;34.84;34.83;34.83
LV;34.64;34.65;34.65;34.66;34.66;34.65;34.65;34.65;34.66;34.66;34.66;34.67;34.68;34.68;34.68;34.69;34.69;34.69
MT;34.7;34.7;34.7;34.7;34.7;34.69;34.7;34.7;34.71;34.71;34.71;34.72;34.73;34.73;34.74;34.74;34.74;34.75
NL;34.82;34.82;34.82;34.82;34.83;34.82;34.83;34.83;34.83;34.83;34.82;34.83;34.83;34.83;34.83;34.83;34.83;34.84
PL;34.66;34.66;34.66;34.68;34.68;34.69;34.69;34.69;34.69;34.7;34.7;34.71;34.71;34.72;34.73;34.73;34.74;34.74
PT;34.68;34.68;34.69;34.68;34.69;34.69;34.69;34.69;34.69;34.69;34.69;34.7;34.7;34.71;34.72;34.72;34.72;34.72
RO;34.59;34.59;34.59;34.6;34.6;34.6;34.6;34.6;34.61;34.61;34.62;34.62;34.63;34.63;34.64;34.65;34.65;34.65
SE;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.84;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85;34.85
SI;34.74;34.74;34.74;34.74;34.74;34.75;34.74;34.75;34.75;34.75;34.75;34.75;34.75;34.75;34.76;34.77;34.77;34.77
SK;34.68;34.68;34.68;34.69;34.7;34.69;34.7;34.7;34.7;34.7;34.7;34.71;34.71;34.71;34.72;34.72;34.73;34.73
UK;34.78;34.78;34.78;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77;34.77
