--- COUNTRY --- Safety ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;32.26;32.21;32.2;32.15;32.12;32.11;32.12;32.13;32.16;32.16;32.15;32.15;32.15;32.14;32.16;32.17;32.16;32.16
BE;31.89;31.92;31.9;31.86;31.86;31.85;31.85;31.87;31.87;31.88;31.91;31.91;31.9;31.91;31.92;31.92;31.93;31.94
BG;30.19;30.17;30.16;30.09;30.28;30.29;30.29;30.32;30.29;30.34;30.47;30.47;30.49;30.5;30.66;30.66;30.65;30.71
CY;31.04;31.07;31.06;31.09;31.18;31.12;30.99;30.97;30.96;30.92;30.9;30.93;31.03;31.06;31.06;31.1;31.13;31.12
CZ;31.07;31.09;31.13;31.19;31.19;31.19;31.2;31.19;31.19;31.2;31.22;31.26;31.29;31.35;31.38;31.43;31.5;31.51
DE;32.12;32.08;31.92;31.92;31.9;31.9;31.92;31.93;31.93;31.92;31.93;31.95;31.99;32;32.03;32.04;32.04;32.06
DK;32;31.95;31.96;32.11;32.03;32.02;32.06;32.04;32.04;32.1;32.1;32.1;32.05;32.08;32.07;32.08;32.1;32.12
EE;30.73;30.65;30.77;30.83;30.93;30.9;30.81;30.8;30.81;30.85;30.89;30.97;31.04;31.04;31.07;31.11;31.12;31.14
EL;31.38;31.38;31.48;31.51;31.58;31.53;31.42;31.35;31.25;31.09;31.1;31.09;31.1;31.09;31.09;31.08;31.06;31.1
ES;31.39;31.44;31.46;31.47;31.48;31.42;31.4;31.45;31.41;31.4;31.42;31.46;31.47;31.51;31.5;31.53;31.46;31.47
FI;31.79;31.72;31.77;31.82;31.8;31.81;31.87;31.87;31.89;31.9;31.93;31.94;31.95;31.97;31.96;31.95;31.93;31.95
FR;31.91;31.95;31.96;31.94;31.92;31.9;31.91;31.93;31.94;31.94;31.95;31.95;31.97;31.97;31.95;31.96;31.91;31.92
HR;30.91;30.87;30.84;30.8;30.76;30.76;30.75;30.74;30.72;30.74;30.77;30.81;30.87;30.91;30.97;31;31.04;31.04
HU;30.9;30.94;31.01;30.88;30.9;30.77;30.79;30.8;30.71;30.7;30.69;30.74;30.9;31.03;31.05;31.03;31.03;31.04
IE;31.54;31.55;31.46;31.46;31.45;31.4;31.43;31.36;31.34;31.28;31.26;31.3;31.35;31.38;31.4;31.4;31.45;31.47
IT;31.89;31.87;31.88;31.83;31.83;31.8;31.84;31.78;31.74;31.71;31.68;31.66;31.72;31.76;31.79;31.83;31.89;31.88
LT;30.47;30.49;30.61;30.83;30.93;30.85;30.76;30.76;30.78;30.78;30.83;30.86;30.87;30.91;31;31.06;31.16;31.2
LU;32.64;32.62;32.64;32.57;32.57;32.5;32.44;32.46;32.44;32.48;32.44;32.46;32.45;32.5;32.52;32.52;32.45;32.45
LV;30.26;30.27;30.34;30.42;30.46;30.4;30.43;30.38;30.46;30.54;30.56;30.65;30.69;30.72;30.78;30.86;30.88;30.92
MT;31.15;31.16;31.16;31.18;31.18;31.2;31.23;31.19;31.21;31.18;31.17;31.21;31.24;31.28;31.25;31.23;31.29;31.29
NL;32.09;32.07;32.14;32.15;32.15;32.08;32.06;32.07;32.07;32.06;32.03;32.03;32.03;32.05;32.04;32.03;32.03;32.05
PL;30.8;30.76;30.85;30.9;30.99;31.01;31.03;31.04;31.04;31.08;31.1;31.18;31.24;31.25;31.3;31.37;31.38;31.38
PT;31.49;31.53;31.57;31.52;31.49;31.45;31.47;31.44;31.38;31.38;31.39;31.39;31.42;31.43;31.46;31.47;31.5;31.49
RO;30.44;30.45;30.47;30.53;30.6;30.63;30.65;30.59;30.55;30.53;30.58;30.64;30.66;30.75;30.83;30.89;30.87;30.89
SE;32.11;32.11;32.09;32.07;32.04;32;31.97;31.96;31.98;31.96;31.95;31.95;31.93;31.91;31.87;31.84;31.87;31.88
SI;31.35;31.33;31.35;31.32;31.29;31.25;31.25;31.26;31.23;31.21;31.19;31.22;31.25;31.29;31.33;31.34;31.35;31.39
SK;30.75;30.76;30.86;30.94;30.99;30.99;31.05;31.08;31.08;31.08;31.1;31.12;31.07;31.07;31.07;31.06;31.1;31.1
UK;31.69;31.68;31.71;31.66;31.64;31.61;31.6;31.61;31.61;31.6;31.57;31.58;31.53;31.58;31.51;31.48;31.45;31.45
