--- COUNTRY --- Education ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;40.267;40.2615;40.2649;40.2612;40.2757;40.2938;40.3043;40.3042;40.3182;40.322;40.4033;40.4126;40.4746;40.5064;40.5069;40.4982;40.467;40.4791
BE;40.2267;40.2347;40.2461;40.2458;40.2508;40.2531;40.2617;40.1886;40.1913;40.1969;40.2214;40.2128;40.3643;40.4026;40.4084;40.4061;40.4122;40.4248
BG;39.6118;39.6225;39.6532;39.7093;39.7293;39.7239;39.7347;39.6346;39.642;39.6615;39.6884;39.6939;39.7221;39.7543;39.7456;39.7388;39.7303;39.7569
CY;40.0574;40.0172;40.1548;40.195;40.2111;40.1923;40.1865;40.1701;40.1637;40.1478;40.1692;40.2322;40.2492;40.3054;40.3542;40.318;40.299;40.4081
CZ;40.0871;40.0948;40.1114;40.1415;40.1552;40.14;40.1517;40.19;40.1797;40.1748;40.1949;40.1989;40.2618;40.3267;40.3235;40.3217;40.285;40.2958
DE;40.225;40.2261;40.2623;40.2854;40.3083;40.318;40.3166;40.3752;40.3858;40.3914;40.3746;40.3774;40.3843;40.3898;40.3898;40.4072;40.4049;40.2608
DK;40.6601;40.6537;40.6783;40.631;40.6258;40.64;40.6816;40.718;40.7218;40.7371;40.7445;40.7465;40.7534;40.6983;40.6765;40.6851;40.6538;40.6773
EE;40.341;40.3673;40.3725;40.3638;40.4233;40.4222;40.4087;40.4438;40.4265;40.4333;40.4228;40.4166;40.4816;40.4921;40.5253;40.5514;40.5341;40.5013
EL;39.6953;39.7162;39.7398;39.7328;39.7608;39.7887;39.7795;39.7875;39.7869;39.8019;39.8614;39.8767;39.9687;39.9938;39.9769;40.0756;40.0998;40.1302
ES;39.9654;40.0364;40.0426;40.0361;40.0147;39.9934;40.0191;40.0179;40.0291;40.0463;40.0609;40.0877;40.1087;40.1451;40.1662;40.1915;40.1934;40.3059
FI;40.4368;40.4401;40.4485;40.4778;40.4795;40.4636;40.4848;40.5475;40.564;40.6144;40.6154;40.6227;40.6616;40.6982;40.7279;40.7537;40.7394;40.763
FR;40.1484;40.1481;40.1546;40.1607;40.1702;40.159;40.1526;40.1649;40.1782;40.3205;40.3333;40.3335;40.3431;40.3548;40.3663;40.3867;40.338;40.3652
HR;39.8064;39.8269;39.8788;39.9014;39.9142;39.9047;39.9014;39.8925;39.8957;39.8769;39.9123;39.9402;40.011;39.962;39.9791;40.0854;40.0865;40.1626
HU;39.7145;39.703;39.7132;39.7301;39.7342;39.7224;39.7328;39.8188;39.8137;39.8172;39.8459;39.8991;39.9339;39.9293;39.938;39.9372;39.9364;39.9669
IE;39.7353;39.7448;39.7772;39.7981;39.7788;39.746;39.8969;39.8973;39.9241;39.962;39.9797;39.9782;40.1753;40.2456;40.2868;40.3226;40.3109;40.4881
IT;39.8457;39.848;39.869;39.8794;39.8841;39.8762;39.8756;39.8663;39.8754;39.8626;39.8846;39.888;39.9232;39.9463;39.9532;39.9563;39.9491;40.0044
LT;40.1213;40.1643;40.1816;40.2181;40.2239;40.2035;40.2092;40.2448;40.259;40.2832;40.3108;40.3477;40.3595;40.3872;40.4133;40.4567;40.4461;40.4218
LU;40.4977;40.5316;40.5016;40.5182;40.5332;40.6649;40.6638;40.6915;40.6956;40.7331;40.7572;40.7458;40.7204;40.6971;40.7381;40.6557;40.6049;40.6286
LV;40.1584;40.1736;40.1612;40.1711;40.1991;40.1559;40.1676;40.2026;40.2514;40.2753;40.275;40.2897;40.3236;40.3373;40.3476;40.3311;40.3492;40.4186
MT;39.9931;40.0276;40.0802;40.104;40.1187;40.0913;40.1707;40.1751;40.1994;40.2304;40.2235;40.2447;40.2453;40.3259;40.3519;40.369;40.345;40.4167
NL;40.4232;40.3888;40.4099;40.5675;40.5858;40.5839;40.5996;40.6133;40.6159;40.622;40.6221;40.6445;40.6794;40.7101;40.7101;40.7259;40.7324;40.8204
PL;39.736;39.7606;39.7843;39.8248;39.8429;39.8651;39.9056;39.902;39.9419;39.9504;39.9727;39.9934;40.0812;40.1046;40.1376;40.1311;40.1337;40.1345
PT;39.6359;39.6431;39.6474;39.681;39.7099;39.7479;39.7626;39.9323;39.9474;39.9583;39.994;40.0315;40.0696;40.1368;40.1532;40.202;40.2166;40.3095
RO;39.3777;39.4138;39.442;39.4696;39.5182;39.4978;39.4598;39.4757;39.482;39.4961;39.4872;39.4829;39.548;39.5831;39.5887;39.5827;39.5781;39.5732
SE;40.686;40.564;40.5503;40.5846;40.6203;40.6139;40.6522;40.6483;40.6688;40.6973;40.7232;40.7324;40.7521;40.8122;40.8277;40.8332;40.7811;40.8151
SI;40.3356;40.313;40.2887;40.3268;40.3285;40.3401;40.3652;40.3853;40.3673;40.364;40.3596;40.3702;40.3408;40.3848;40.3831;40.391;40.3824;40.4896
SK;40.0616;40.0989;40.1052;40.1179;40.1339;40.1218;40.1204;40.0999;40.095;40.0973;40.1051;40.1105;40.1421;40.1821;40.2395;40.2177;40.2162;40.2449
UK;40.5194;40.463;40.4544;40.352;40.3889;40.3987;40.4116;40.3918;40.4203;40.4495;40.4564;40.4787;40.34;40.2993;40.319;40.3465;40.3465;40.3465
