--- COUNTRY --- Environment ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;26.07;26.06;26.06;26.1;26.11;26.11;26.09;26.09;26.13;26.12;26.15;26.15;26.17;26.16;26.15;26.17;26.2;26.2
BE;26.05;26.04;26.05;26.05;26.08;26.08;26.11;26.09;26.13;26.11;26.14;26.16;26.18;26.19;26.17;26.2;26.22;26.22
BG;25.75;25.76;25.74;25.76;25.73;25.88;25.92;25.8;25.96;26;26;26.05;26.08;26.06;26.1;26.13;26.14;26.14
CY;25.85;25.85;25.8;25.79;25.87;25.85;25.87;25.95;25.97;26;26.09;26.1;26.17;26.15;26.13;26.19;26.19;26.19
CZ;25.94;25.93;25.95;26.05;26.06;26.03;26.02;26.04;26.08;26.07;26.1;26.13;26.13;26.14;26.11;26.18;26.2;26.2
DE;26.07;26.05;26;26.06;26.05;26.05;26.05;26.04;26.08;26.07;26.07;26.08;26.1;26.09;26.07;26.1;26.19;26.19
DK;26.18;26.15;26.13;26.16;26.17;26.19;26.22;26.19;26.21;26.22;26.2;26.21;26.22;26.22;26.19;26.2;26.2;26.2
EE;25.71;25.98;25.96;25.96;26.12;26.18;26.19;26.19;26.19;26.21;26.18;26.23;26.23;26.26;26.24;26.25;26.28;26.28
EL;25.88;25.89;25.89;25.93;25.9;25.95;25.94;25.99;25.96;25.98;26.07;26.06;26.05;26.07;26.06;26.06;26.06;26.06
ES;26.06;26.02;25.99;26.06;26.12;26.11;26.18;26.21;26.2;26.21;26.21;26.19;26.21;26.22;26.21;26.23;26.18;26.18
FI;26.22;26.2;26.19;26.19;26.21;26.24;26.25;26.26;26.27;26.27;26.26;26.3;26.3;26.31;26.28;26.29;26.29;26.29
FR;26.11;26.14;26.15;26.12;26.14;26.11;26.12;26.13;26.16;26.16;26.2;26.18;26.18;26.2;26.19;26.2;26.16;26.16
HR;26.02;26.02;26.02;26.02;26.02;26.02;26.02;26.05;26.06;26.08;26.14;26.11;26.1;26.11;26.12;26.16;26.16;26.16
HU;26.11;26.01;26.07;26.12;26.16;26.15;26.11;26.08;26.13;26.14;26.11;26.12;26.15;26.14;26.18;26.2;26.21;26.21
IE;26.18;26.19;26.16;26.19;26.21;26.23;26.22;26.23;26.24;26.23;26.25;26.27;26.27;26.27;26.24;26.25;26.23;26.23
IT;25.7;25.69;25.84;25.86;25.92;25.91;25.98;25.93;26.01;26.03;26.06;26;26.07;26.1;26.15;26.14;26.11;26.11
LT;26.03;26.03;26.04;26.04;26.08;26.06;26.05;26.06;26.08;26.06;26.07;26.09;26.09;26.11;26.11;26.1;26.09;26.09
LU;26.08;26.08;26.09;26.13;26.15;26.15;26.2;26.22;26.2;26.16;26.17;26.15;26.14;26.12;26.17;26.17;26.18;26.18
LV;25.98;25.98;25.95;25.95;25.95;26.02;26.02;26.06;26.07;26.11;26.07;26.12;26.15;26.15;26.11;26.15;26.16;26.16
MT;25.96;25.95;25.89;25.95;25.96;25.93;25.91;25.88;25.92;25.92;25.95;26.01;26.03;26.06;26.02;26.01;26.01;26.01
NL;26.01;26.01;26.01;26.02;26.07;26.08;26.1;26.1;26.14;26.13;26.12;26.15;26.16;26.16;26.12;26.14;26.15;26.15
PL;25.95;25.93;25.92;25.99;25.94;25.95;25.94;25.95;25.97;26.01;26.01;26.05;26.06;26.04;26.02;26.1;26.1;26.1
PT;25.98;25.97;25.99;25.97;26.08;26.08;26.12;26.1;26.13;26.16;26.15;26.15;26.17;26.13;26.14;26.16;26.15;26.15
RO;25.55;25.58;25.56;25.58;25.67;25.68;25.7;25.7;25.78;25.84;25.9;25.88;25.93;25.91;25.92;25.97;26;26
SE;26.21;26.2;26.18;26.21;26.18;26.21;26.23;26.21;26.23;26.24;26.23;26.26;26.24;26.24;26.23;26.24;26.24;26.24
SI;25.9;25.93;25.96;25.97;25.99;26.04;26.03;25.99;26.08;26.1;26.12;26.07;26.08;26.09;26.1;26.14;26.13;26.13
SK;25.87;25.86;25.89;25.96;25.97;25.93;25.97;25.95;26.01;26.02;26.09;26.11;26.16;26.12;26.14;26.18;26.18;26.18
UK;26.09;26.08;26.08;26.1;26.13;26.14;26.15;26.12;26.18;26.19;26.19;26.21;26.2;26.2;26.18;26.18;26.17;26.17
