--- COUNTRY --- GBR ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;23.7878;23.7878;23.7878;23.7878;23.7949;23.8054;23.8142;23.8239;23.836;23.8299;23.8427;23.8479;23.8664;23.8944;23.8862;23.8712;23.8858;23.8855;23.8983
BE;23.9051;23.9051;23.9051;23.9051;23.904;23.9051;23.8999;23.9138;23.9331;23.9535;23.9861;23.994;23.9844;23.981;24.0034;24.0051;24.0076;24.018;24.0212
BG;23.575;23.575;23.575;23.575;23.5727;23.592;23.6145;23.636;23.6238;23.5812;23.5664;23.5466;23.5505;23.5661;23.5709;23.5669;23.5778;23.5517;23.5647
CY;23.6149;23.6149;23.6149;23.6149;23.6461;23.6667;23.6991;23.6615;23.6685;23.6827;23.7312;23.7346;23.6571;23.6762;23.6787;23.6696;23.6648;23.6604;23.6659
CZ;23.4431;23.4431;23.4431;23.4431;23.409;23.413;23.4566;23.4531;23.4634;23.4572;23.454;23.47;23.496;23.5168;23.5403;23.5548;23.5832;23.6266;23.636
DE;23.8104;23.8104;23.8104;23.8104;23.8104;23.7737;23.782;23.7859;23.7828;23.806;23.8092;23.8224;23.8385;23.8782;23.8803;23.8922;23.9078;23.9213;23.918
DK;24.0526;24.0526;24.0526;24.0636;24.0707;24.0743;24.0734;24.0719;24.0732;24.0781;24.0698;24.0662;24.0787;24.0854;24.0849;24.0834;24.0865;24.0857;24.1054
EE;23.6807;23.6807;23.6807;23.6807;23.7267;23.7403;23.7335;23.6879;23.6648;23.6523;23.6596;23.6873;23.7064;23.7312;23.7579;23.7564;23.7827;23.7991;23.8102
EL;23.4208;23.4208;23.4208;23.4068;23.4005;23.3819;23.4771;23.4854;23.4494;23.4467;23.4927;23.5165;23.5066;23.5038;23.5128;23.5005;23.5086;23.5247;23.5247
ES;23.6378;23.6378;23.6378;23.6378;23.6597;23.6527;23.6752;23.6398;23.6461;23.6609;23.6887;23.7124;23.6854;23.6989;23.7181;23.7626;23.7693;23.7862;23.7861
FI;24.0724;24.0724;24.0724;24.0724;24.0687;24.065;24.0585;24.0768;24.084;24.094;24.1111;24.1173;24.1025;24.0996;24.1034;24.1252;24.1236;24.1435;24.1541
FR;23.7907;23.799;23.806;23.8196;23.8268;23.8551;23.8516;23.8474;23.8386;23.8498;23.8614;23.8634;23.8576;23.7913;23.7902;23.8033;23.8129;23.8097;23.8159
HR;23.6966;23.6966;23.6966;23.6966;23.6966;23.6966;23.7061;23.648;23.666;23.6816;23.6559;23.71;23.6262;23.6081;23.6284;23.6264;23.5819;23.5963;23.6141
HU;23.7442;23.7442;23.7442;23.7442;23.73;23.7347;23.7299;23.7149;23.6973;23.7022;23.7135;23.7276;23.7312;23.6937;23.7681;23.7186;23.7278;23.7366;23.7488
IE;23.7945;23.7945;23.7945;23.7945;23.8492;23.8492;23.8498;23.8799;23.8901;23.8563;23.8313;23.8269;23.8014;23.8029;23.839;23.8442;23.8306;23.873;23.862
IT;23.6597;23.6597;23.6597;23.6597;23.645;23.6387;23.6484;23.655;23.6717;23.652;23.6686;23.6657;23.671;23.6816;23.667;23.6828;23.6749;23.679;23.681
LT;23.691;23.691;23.691;23.691;23.7209;23.7972;23.8533;23.8258;23.8415;23.8186;23.8085;23.8003;23.7904;23.7931;23.7907;23.8077;23.7905;23.8059;23.8138
LU;23.9578;23.9578;23.9578;23.9578;23.9633;23.9649;23.9758;23.9967;24.0357;24.0486;24.0764;24.0978;24.1153;24.1735;24.1773;24.1643;24.1968;24.2043;24.2172
LV;23.8565;23.8565;23.8565;23.8565;23.8769;23.8622;23.8696;23.8145;23.7828;23.7626;23.7396;23.7335;23.7356;23.7154;23.6926;23.6808;23.6667;23.7445;23.7678
MT;23.5422;23.5422;23.5422;23.5422;23.527;23.5432;23.5782;23.6135;23.6791;23.7371;23.7657;23.7705;23.7908;23.7973;23.84;23.8759;23.9335;23.9512;23.9975
NL;23.9871;23.9871;23.9871;23.9871;23.9919;23.9968;23.9918;23.9892;24.0022;24.0221;24.0108;24.027;24.0355;24.0915;24.1017;24.1128;24.1234;24.1171;24.1223
PL;23.4809;23.4809;23.4809;23.5707;23.6106;23.6478;23.7004;23.6539;23.6458;23.6359;23.6372;23.6681;23.6695;23.6671;23.6577;23.7365;23.7558;23.7764;23.7937
PT;23.7366;23.7366;23.7366;23.7366;23.729;23.6921;23.6727;23.6771;23.68;23.708;23.6859;23.6647;23.6899;23.7191;23.7507;23.6784;23.6871;23.6807;23.747
RO;23.569;23.569;23.569;23.569;23.4841;23.496;23.4949;23.4989;23.5412;23.5622;23.5672;23.5585;23.5442;23.5815;23.5745;23.558;23.5221;23.5063;23.5348
SE;24.1742;24.1742;24.1742;24.1742;24.185;24.1992;24.204;24.2081;24.2169;24.2276;24.2508;24.2527;24.2648;24.2731;24.2817;24.28;24.2819;24.2836;24.2787
SI;23.8274;23.8274;23.8274;23.8274;23.8518;23.9021;23.886;23.88;23.8646;23.8277;23.7372;23.7165;23.7479;23.7435;23.7395;23.7637;23.8207;23.8045;23.8039
SK;23.4545;23.4545;23.4545;23.4545;23.4888;23.4763;23.5552;23.5408;23.5281;23.569;23.5599;23.5621;23.5867;23.5998;23.5934;23.6225;23.694;23.6688;23.6769
UK;23.7806;23.7889;23.7959;23.8095;23.8044;23.7622;23.763;23.7821;23.7819;23.8061;23.811;23.8145;23.8219;23.8434;23.8569;23.849;23.8519;23.8565;23.8658
