--- COUNTRY --- Health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;75.5749;75.5846;75.6103;75.6389;75.6367;75.6606;75.6464;75.666;75.6903;75.6817;75.6936;75.7018;75.6796;75.6689;75.6829;75.5934;75.626;75.6177
BE;75.4459;75.4526;75.4605;75.4255;75.4341;75.4392;75.4391;75.421;75.4254;75.404;75.4042;75.3814;75.4518;75.4459;75.4518;75.4398;75.46;75.4696
BG;74.6717;74.748;74.7341;74.7806;74.807;74.9054;74.923;74.9327;74.9788;75.0198;75.0761;75.1087;75.1567;75.1715;75.2032;75.2305;75.2136;75.2056
CY;74.6351;74.6368;74.6314;74.6546;74.6567;74.6294;74.5438;74.5522;74.5674;74.568;74.6706;74.8185;74.8344;74.7802;74.7547;74.6705;74.6768;74.6821
CZ;75.3628;75.3594;75.3491;75.3453;75.3287;75.3355;75.3707;75.3277;75.3275;75.2825;75.2901;75.2906;75.2829;75.2807;75.3016;75.2491;75.25;75.3
DE;75.8491;75.8524;75.8542;75.8631;75.909;75.947;75.9834;76.0105;76.0256;76.0356;76.0483;76.017;76.019;76.0061;76.0088;75.9648;75.9636;75.9583
DK;75.6979;75.7066;75.6946;75.6691;75.6752;75.6579;75.6821;75.6108;75.6228;75.6301;75.5407;75.4917;75.513;75.5182;75.5212;75.4386;75.4279;75.3956
EE;74.8216;74.803;74.8308;74.8343;74.8921;74.8391;74.8039;74.7898;74.82;74.6863;74.6617;74.6652;74.6582;74.6696;74.6143;74.6649;74.7077;74.6973
EL;74.8404;74.8646;74.9052;74.9235;74.9334;74.9656;74.8987;74.8915;74.8644;74.8173;74.7853;74.7816;74.7798;74.8153;74.841;74.9088;74.9231;74.9094
ES;74.4705;74.475;74.4919;74.4925;74.5349;74.5486;74.5917;74.6601;74.6229;74.5667;74.5937;74.609;74.6137;74.6481;74.6255;74.682;74.6406;74.6242
FI;75.8977;75.9111;75.9165;75.896;75.8984;75.8262;75.6203;75.5795;75.5284;75.4469;75.4414;75.4011;75.3271;75.1814;75.2357;75.1338;75.1381;75.1408
FR;75.4909;75.4889;75.495;75.4948;75.4849;75.4681;75.4468;75.4593;75.486;75.4893;75.4991;75.5224;75.5134;75.5047;75.5029;75.5422;75.5334;75.5374
HR;74.5705;74.5645;74.5829;74.6129;74.6344;74.6113;74.6835;74.7269;74.7989;74.7994;74.8995;74.8499;74.8466;74.8585;74.888;74.8908;74.9172;74.9151
HU;75.0002;74.9683;75.0481;74.8933;75.0034;75.0376;75.0321;75.0377;75.0404;75.0749;75.0906;75.0541;75.1061;75.1118;75.1193;75.0911;75.0865;75.103
IE;75.9134;75.9029;75.8896;75.8805;75.8416;75.4024;75.3466;75.3202;75.2779;75.2604;75.2526;75.3592;75.4064;75.4051;75.4381;75.4556;75.4739;75.4738
IT;74.869;74.885;74.8774;74.9163;74.8982;74.8993;74.9135;74.8663;74.8782;74.7014;74.7074;74.6973;74.787;74.884;74.8409;74.8282;74.8071;74.8262
LT;75.2769;75.2571;75.249;75.3086;75.3054;75.3471;75.3924;75.4088;75.4326;75.4168;75.4032;75.3541;75.3292;75.334;75.3117;75.3266;75.3019;75.3234
LU;75.5783;75.6244;75.6141;74.6658;74.7058;75.6695;75.6642;75.6566;75.6924;75.6743;75.6759;75.6429;75.607;75.6006;75.5574;75.5484;75.5697;75.5781
LV;74.7754;74.7943;74.8976;74.9143;74.9409;74.7706;74.5874;74.5856;74.6284;74.592;74.5734;74.6168;74.6391;74.5859;74.6174;74.5511;74.5718;74.5876
MT;75.2368;75.2531;75.3018;75.3503;75.36;74.8734;74.8568;74.8706;74.97;75.0336;75.1027;75.09;75.1432;75.1443;75.1189;74.9772;74.9896;74.9723
NL;75.4864;75.4932;75.5045;75.4845;75.5072;75.5097;75.4956;75.4752;75.4466;75.423;75.4129;75.4041;75.4003;75.3725;75.3645;75.3571;75.3765;75.344
PL;74.826;74.8007;74.8083;74.8346;74.8729;74.8656;74.865;74.8754;74.9025;74.8825;74.9034;74.8939;74.9117;74.9156;74.9064;74.8369;74.8666;74.8905
PT;74.1957;74.2241;74.2648;74.2794;74.3271;74.3256;74.39;74.4365;74.4108;74.4024;74.3933;74.4309;74.4867;74.51;74.5519;74.5506;74.5803;74.5615
RO;74.7958;74.832;74.8516;74.8321;74.8474;74.8828;74.8119;74.8369;74.9332;74.9861;75.033;75.0852;75.133;75.1572;75.1814;75.1719;75.1836;75.1785
SE;75.2589;75.2546;75.2638;75.2788;75.2646;75.2764;75.2923;75.2847;75.2785;75.2512;75.2419;75.2186;75.1683;75.1539;75.1428;75.0781;75.072;75.033
SI;74.7872;74.809;74.8334;74.846;74.8761;74.9367;74.9159;74.9514;74.9547;75.0172;75.0462;75.0589;75.0516;75.0055;75.0104;74.9419;74.9588;74.9537
SK;75.1368;75.0721;75.0823;75.1355;75.1476;75.1376;75.1432;75.064;75.0658;75.0412;75.0432;75.0437;75.0661;75.0633;75.0496;74.9746;74.9613;74.9489
UK;75.2185;75.2016;75.1552;75.11;75.1236;75.1227;75.0319;74.9269;74.8993;74.8793;74.8439;74.7783;74.7768;74.7627;74.7283;74.7284;74.7285;74.7285
