--- COUNTRY --- Leisure ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0619;25.0891;25.0891;25.0891;25.0891;25.0891;25.0891;25.0891;25.0891
BE;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8421;24.8369;24.8369;24.8369;24.8369;24.8369;24.8369;24.8369;24.8369
BG;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.1875;24.2141;24.2141;24.2141;24.2141;24.2141;24.2141;24.2141;24.2141
CY;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.5043;24.4793;24.4793;24.4793;24.4793;24.4793;24.4793;24.4793;24.4793
CZ;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7301;24.7741;24.7741;24.7741;24.7741;24.7741;24.7741;24.7741;24.7741
DE;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8807;24.8497;24.8497;24.8497;24.8497;24.8497;24.8497;24.8497;24.8497
DK;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3519;25.3653;25.3653;25.3653;25.3653;25.3653;25.3653;25.3653;25.3653
EE;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.7805;24.8254;24.8254;24.8254;24.8254;24.8254;24.8254;24.8254;24.8254
EL;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4433;24.4486;24.4486;24.4486;24.4486;24.4486;24.4486;24.4486;24.4486
ES;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5929;24.5663;24.5663;24.5663;24.5663;24.5663;24.5663;24.5663;24.5663
FI;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4739;25.4895;25.4895;25.4895;25.4895;25.4895;25.4895;25.4895;25.4895
FR;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.8898;24.924;24.924;24.924;24.924;24.924;24.924;24.924;24.924
HR;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552;24.552
HU;24.429;24.429;24.429;24.429;24.429;24.429;24.429;24.429;24.429;24.429;24.429;24.4265;24.4265;24.4265;24.4265;24.4265;24.4265;24.4265;24.4265
IE;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0872;25.0979;25.0979;25.0979;25.0979;25.0979;25.0979;25.0979;25.0979
IT;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4899;24.4579;24.4579;24.4579;24.4579;24.4579;24.4579;24.4579;24.4579
LT;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6134;24.6568;24.6568;24.6568;24.6568;24.6568;24.6568;24.6568;24.6568
LU;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.1548;25.174;25.174;25.174;25.174;25.174;25.174;25.174;25.174
LV;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.6486;24.7074;24.7074;24.7074;24.7074;24.7074;24.7074;24.7074;24.7074
MT;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4532;24.4839;24.4839;24.4839;24.4839;24.4839;24.4839;24.4839;24.4839
NL;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4246;25.4564;25.4564;25.4564;25.4564;25.4564;25.4564;25.4564;25.4564
PL;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9138;24.9373;24.9373;24.9373;24.9373;24.9373;24.9373;24.9373;24.9373
PT;24.662;24.662;24.662;24.662;24.662;24.662;24.662;24.662;24.662;24.662;24.662;24.6955;24.6955;24.6955;24.6955;24.6955;24.6955;24.6955;24.6955
RO;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364;24.1364
SE;25.454;25.454;25.454;25.454;25.454;25.454;25.454;25.454;25.454;25.454;25.454;25.4646;25.4646;25.4646;25.4646;25.4646;25.4646;25.4646;25.4646
SI;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1205;25.1656;25.1656;25.1656;25.1656;25.1656;25.1656;25.1656;25.1656
SK;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7264;24.7152;24.7152;24.7152;24.7152;24.7152;24.7152;24.7152;24.7152
UK;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9234;24.9112;24.9112;24.9112;24.9112;24.9112;24.9112;24.9112;24.9112
