--- COUNTRY --- MLC ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;62.2405;62.2459;62.2362;62.2239;62.1586;62.1823;62.2208;62.2206;62.2204;62.1862;62.1979;62.1958;62.206;62.2095;62.2321;62.2151;62.2242;62.2107;62.1949
BE;62.2608;62.2834;62.286;62.2696;62.2112;62.2404;62.2067;62.2391;62.2528;62.2936;62.285;62.2689;62.2477;62.2042;62.1876;62.1942;62.2214;62.2339;62.2398
BG;60.0409;60.035;60.0268;60.091;60.3131;60.4003;60.4212;60.4256;60.4079;60.4377;60.5562;60.5768;60.587;60.6694;60.7683;60.8549;60.926;61.0032;61.0064
CY;61.9577;61.9425;61.9604;62.0544;61.993;61.9804;61.9338;61.944;61.9544;61.8059;61.7842;61.7444;61.7406;61.8689;61.8915;61.9757;61.9938;61.98;61.9761
CZ;61.262;61.2512;61.2686;61.3579;61.4038;61.4625;61.5169;61.5371;61.5198;61.5423;61.5509;61.6104;61.6697;61.7168;61.8335;61.8661;61.8887;61.8574;61.8709
DE;62.139;62.1234;62.0636;62.195;62.1497;62.1285;62.1435;62.1544;62.1774;62.1734;62.1821;62.1852;62.1798;62.1951;62.2526;62.2568;62.2564;62.2072;62.1632
DK;62.3875;62.3988;62.3815;62.3719;62.3779;62.3596;62.3782;62.3799;62.3672;62.3424;62.359;62.342;62.3592;62.3421;62.3535;62.3666;62.3417;62.3532;62.3183
EE;60.8736;60.9547;61.0209;61.1079;61.182;61.1351;61.1138;61.3791;61.4166;61.395;61.5394;61.6224;61.6568;61.6847;61.7383;61.7487;61.7945;61.7782;61.8011
EL;61.2188;61.1887;61.1704;61.1756;61.1704;61.1932;61.1946;61.0702;60.8667;60.7372;60.738;60.7223;60.727;60.7455;60.8185;60.8714;60.8932;60.8619;60.8933
ES;61.7202;61.8858;61.9368;61.9591;62.0158;61.9967;61.9539;61.9217;61.9103;61.8389;61.8106;61.8496;61.8387;61.9492;61.9738;61.9893;61.9344;61.9432;61.9481
FI;62.297;62.3208;62.3454;62.3461;62.3537;62.3614;62.3751;62.3685;62.3915;62.4141;62.3858;62.3802;62.3696;62.3575;62.3661;62.3763;62.3561;62.3361;62.3262
FR;61.9878;62.0497;62.0618;61.9997;62.067;62.0474;62.0534;62.0879;62.0968;62.1021;62.085;62.0967;62.0795;62.0892;62.07;62.0726;61.9721;61.9739;61.9298
HR;60.9195;60.9087;60.8937;60.8711;60.8452;60.8374;60.8458;60.8188;60.7797;60.7672;60.8167;60.8861;60.942;61.0311;61.0979;61.192;61.2412;61.2943;61.3265
HU;60.7025;60.6937;60.727;60.8129;60.7026;60.7294;60.6547;60.6805;60.6468;60.6503;60.7304;60.8374;60.8881;60.9314;61.2653;61.3237;61.3727;61.3946;61.4056
IE;62.1659;62.1915;62.2084;62.2791;62.2564;62.1757;62.1244;62.087;62.0662;62.0448;62.0155;62.0928;62.1274;62.1744;62.3657;62.357;62.3533;62.3368;62.2725
IT;61.5137;61.5355;61.519;61.5067;61.4916;61.5154;61.511;61.4466;61.3937;61.3647;61.3579;61.3609;61.3913;61.4756;61.5182;61.5542;61.5589;61.5177;61.5567
LT;60.5358;60.5289;60.6304;60.832;60.8912;60.8867;60.8069;61.0945;61.1478;61.105;61.1833;61.2262;61.2695;61.301;61.3814;61.4655;61.5788;61.5612;61.5457
LU;62.6748;62.704;62.6744;62.667;62.6022;62.6023;62.617;62.6169;62.5779;62.5834;62.5937;62.5746;62.4754;62.5217;62.4533;62.4941;62.4315;62.5067;62.5809
LV;60.2062;60.1993;60.3712;60.5461;60.6543;60.582;60.4501;60.5531;60.6755;60.7029;60.7635;60.8487;60.9178;60.9394;61.0202;61.124;61.1487;61.1928;61.181
MT;62.0686;62.0549;62.0246;62.019;62.0382;61.9477;61.9301;62.0215;61.9689;61.9978;62.042;62.1328;62.1859;62.2451;62.34;62.3432;62.3353;62.3338;62.3165
NL;62.3869;62.3711;62.3952;62.4087;62.4389;62.4338;62.4157;62.3996;62.3767;62.3208;62.2768;62.2797;62.3016;62.3258;62.3409;62.3237;62.3337;62.419;62.4157
PL;60.4665;60.4585;60.5734;60.7176;60.9233;61.0191;61.0608;61.1226;61.1446;61.1945;61.2452;61.2556;61.3482;61.3807;61.4575;61.5149;61.5855;61.6091;61.6206
PT;61.3978;61.3837;61.4082;61.4067;61.3314;61.3284;61.3316;61.4468;61.4485;61.3248;61.3582;61.4018;61.4349;61.4896;61.5455;61.6001;61.6576;61.6114;61.6144
RO;60.1195;60.1141;60.1068;60.0958;60.2098;60.2579;60.3261;60.3426;60.3445;60.3681;60.4341;60.4864;60.5234;60.6687;60.8062;60.8972;60.8909;60.9975;61.0473
SE;62.2926;62.3427;62.3278;62.3499;62.3075;62.3053;62.2879;62.2649;62.3128;62.3281;62.3334;62.3271;62.3165;62.298;62.2862;62.2658;62.2524;62.2486;62.221
SI;61.3772;61.3637;61.3964;61.4424;61.3232;61.3508;61.3241;61.5261;61.5595;61.5626;61.5718;61.6277;61.6554;61.6915;61.7693;61.839;61.8499;61.9067;61.9077
SK;60.8988;60.8917;60.93;61.0606;61.08;61.2052;61.2315;61.2581;61.2739;61.225;61.2568;61.2616;61.2775;61.2648;61.3464;61.3528;61.3783;61.3461;61.3278
UK;62.2755;62.2594;62.2649;62.2639;62.2031;62.1239;62.1024;62.0972;62.0848;62.0834;62.113;62.157;62.1115;62.2397;62.2698;62.2477;62.2417;62.2274;62.2042
