--- COUNTRY --- PMA ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;62.04;62.1004;62.128;62.1729;62.2267;62.2156;62.239;62.2567;62.2888;62.287;62.3106;62.3099;62.3292;62.3413;62.3723;62.4099;62.3839;62.3861
BE;61.871;61.8887;61.9069;61.9316;61.9459;61.9537;61.9591;61.9774;62.0049;62.0053;62.0385;62.0585;62.0763;62.1023;62.11;62.146;62.1922;62.1093
BG;60.9948;60.9601;61.0603;61.1553;61.2567;61.2436;61.1636;61.1142;61.0457;61.0882;61.1458;61.2326;61.2951;61.3236;61.3804;61.4502;61.4112;61.4585
CY;61.4366;61.4065;61.3812;61.4454;61.4415;61.3997;61.3863;61.2713;61.1781;61.0937;61.0439;61.0229;61.0618;61.1293;61.215;61.3177;61.3206;61.4147
CZ;61.6833;61.7785;61.8142;61.8568;61.8762;61.8598;61.8421;61.8551;61.8889;61.9262;61.9335;61.9803;62.0159;62.0886;62.1762;62.2017;62.2193;62.1556
DE;61.8506;61.8521;61.8723;61.9116;61.9379;61.9583;61.971;62.0461;62.0706;62.0827;62.1021;62.1318;62.1581;62.2064;62.2449;62.2815;62.2858;62.2905
DK;62.3374;62.339;62.3801;62.4252;62.5268;62.4656;62.4372;62.4306;62.4123;62.4016;62.4202;62.4481;62.473;62.4558;62.4422;62.4812;62.4651;62.4808
EE;61.6773;61.7073;61.7677;61.8346;61.8535;61.7414;61.6753;61.7507;61.8054;61.8429;61.8811;61.9064;61.9388;61.9923;62.0747;62.0962;62.08;62.0488
EL;61.3094;61.3235;61.3865;61.4024;61.4169;61.3623;61.3086;61.2139;61.1007;61.0572;60.9935;61.0467;61.0237;61.1068;61.16;61.2309;61.2713;61.3671
ES;61.3732;61.3553;61.3781;61.4085;61.3889;61.2799;61.2028;61.1304;61.0531;61.0089;61.0147;61.0506;61.0976;61.1464;61.2682;61.3053;61.3056;61.3119
FI;62.2959;62.2958;62.3067;62.3294;62.3328;62.2945;62.2733;62.264;62.2813;62.2657;62.2377;62.1996;62.1562;62.1973;62.2376;62.274;62.2855;62.3091
FR;61.763;61.7558;61.7653;61.7754;61.7709;61.7766;61.7742;61.7837;61.7883;61.7782;61.7372;61.7331;61.7409;61.7613;61.7975;61.8337;61.8431;61.9201
HR;61.5219;61.4697;61.4722;61.5333;61.5666;61.5679;61.518;61.4631;61.4378;61.402;61.3974;61.4078;61.421;61.4385;61.5329;61.6197;61.6612;61.6376
HU;61.4871;61.4939;61.5055;61.4953;61.4973;61.4732;61.4546;61.4581;61.4821;61.4987;61.5747;61.6254;61.7022;61.7836;61.9561;62.0044;62.0306;62.0498
IE;61.7913;61.8233;61.8456;61.8872;61.8719;61.7347;61.6287;61.5998;61.6795;61.7342;61.7838;61.8165;61.915;61.9636;62.058;62.0858;62.0863;62.1074
IT;61.4547;61.448;61.4917;61.5101;61.5108;61.4731;61.4227;61.3988;61.3692;61.3229;61.3131;61.3311;61.3893;61.4349;61.44;61.4649;61.467;61.4899
LT;61.4792;61.5329;61.6377;61.731;61.745;61.6255;61.551;61.5753;61.6201;61.6685;61.7402;61.7483;61.7887;61.8327;61.8909;61.9283;61.9099;61.9448
LU;62.2083;62.1959;62.1939;62.2508;62.2115;62.2299;62.2612;62.2553;62.1931;62.2218;62.2264;62.1921;62.2095;62.2131;62.1542;62.1767;62.172;62.1875
LV;61.3426;61.4023;61.4804;61.5883;61.5791;61.3359;61.3435;61.3779;61.4234;61.4797;61.5506;61.5969;61.5757;61.6257;61.696;61.777;61.7886;61.7053
MT;61.4238;61.4484;61.4554;61.5034;61.5369;61.5353;61.5292;61.6148;61.6434;61.6599;61.7112;61.7159;61.7779;61.8185;61.8448;61.8671;61.8977;61.9095
NL;61.9714;61.9301;61.9473;61.9631;61.982;61.9446;61.9919;62.0479;62.0493;62.0726;62.0514;62.0835;62.1038;62.1364;62.1616;62.2006;62.2072;62.2612
PL;61.262;61.2809;61.3133;61.3933;61.4517;61.4466;61.4467;61.4436;61.4377;61.4253;61.4619;61.5064;61.567;61.6896;61.7536;61.79;61.8376;61.8638
PT;61.4619;61.4401;61.4724;61.4838;61.5606;61.5491;61.5272;61.5244;61.4645;61.4254;61.4736;61.4964;61.5404;61.6207;61.7204;61.77;61.793;61.8115
RO;61.2166;61.224;61.2243;61.2443;61.2639;61.2534;61.2623;61.27;61.2779;61.2637;61.2756;61.2684;61.2833;61.3361;61.3914;61.3934;61.3932;61.267
SE;62.208;62.2177;62.2347;62.2178;62.2392;62.1934;62.1727;62.1908;62.2034;62.1975;62.2105;62.2159;62.2679;62.2686;62.3021;62.3036;62.303;62.2835
SI;61.7729;61.8436;61.8878;61.9233;61.9635;61.979;61.9722;62.0072;61.987;61.977;61.9731;61.9441;61.9585;62.0336;62.1363;62.1933;62.1604;62.1604
SK;61.4162;61.3628;61.4066;61.4493;61.4213;61.4173;61.3732;61.3867;61.3447;61.3295;61.3414;61.3894;61.4077;61.4717;61.5518;61.5747;61.6374;61.6671
UK;61.9377;61.9325;61.9336;61.9344;61.9325;61.9262;61.909;61.8619;61.8925;61.9086;61.9528;61.9813;62.0038;62.0449;62.1092;62.1389;62.1426;62.1421
