--- COUNTRY --- Safety ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AT;32.2599;32.2054;32.1996;32.1534;32.121;32.105;32.1226;32.1298;32.1606;32.1577;32.1465;32.1455;32.1466;32.1443;32.1562;32.1741;32.164;32.1611
BE;31.8856;31.9178;31.9031;31.8617;31.8609;31.8521;31.8478;31.8741;31.8689;31.8793;31.9061;31.9145;31.9046;31.9128;31.9239;31.9238;31.9281;31.9409
BG;30.1942;30.1746;30.1646;30.0867;30.2764;30.2865;30.2894;30.3194;30.2925;30.3364;30.4748;30.4666;30.4865;30.5009;30.6649;30.6619;30.6453;30.7072
CY;31.0449;31.07;31.0567;31.0857;31.1786;31.1205;30.9948;30.9684;30.9574;30.925;30.8974;30.9279;31.0333;31.0586;31.0575;31.102;31.1311;31.1247
CZ;31.0711;31.0926;31.1269;31.1877;31.1878;31.1913;31.1997;31.1946;31.1942;31.1988;31.2184;31.2583;31.2915;31.3465;31.3838;31.4268;31.496;31.5073
DE;32.1235;32.0834;31.9182;31.9234;31.8956;31.8998;31.9197;31.9255;31.9346;31.9178;31.9324;31.9454;31.9864;32.0049;32.0264;32.0439;32.0352;32.0649
DK;32.0016;31.953;31.9571;32.1145;32.0337;32.0238;32.0569;32.0445;32.0392;32.0987;32.0986;32.0986;32.0515;32.0809;32.0656;32.0778;32.0954;32.1205
EE;30.7297;30.6475;30.7685;30.8348;30.9301;30.8964;30.811;30.8033;30.8073;30.8454;30.8881;30.9733;31.0438;31.0363;31.0719;31.1071;31.1229;31.1427
EL;31.3821;31.3779;31.4796;31.5111;31.5784;31.526;31.4248;31.3543;31.2526;31.0946;31.0971;31.0922;31.1047;31.0861;31.086;31.0779;31.0632;31.0951
ES;31.3925;31.4365;31.4566;31.4691;31.4773;31.4207;31.4047;31.446;31.4103;31.3981;31.4156;31.4557;31.4702;31.5071;31.5003;31.5293;31.4591;31.4663
FI;31.7866;31.723;31.7708;31.8182;31.8018;31.8133;31.8692;31.8731;31.8931;31.9024;31.9341;31.9363;31.9534;31.969;31.9636;31.9529;31.9311;31.9513
FR;31.9121;31.9506;31.96;31.9423;31.915;31.897;31.9062;31.9301;31.936;31.9447;31.9464;31.9503;31.9707;31.9736;31.9459;31.9559;31.9131;31.9248
HR;30.9092;30.8724;30.8379;30.802;30.7589;30.7595;30.7534;30.7409;30.7248;30.7384;30.7712;30.8063;30.8675;30.9144;30.9688;30.9986;31.0395;31.0422
HU;30.8957;30.9367;31.0119;30.8778;30.9033;30.7743;30.7866;30.7994;30.708;30.7026;30.6857;30.7353;30.8986;31.0262;31.0455;31.0328;31.0313;31.0388
IE;31.5357;31.5469;31.4591;31.4581;31.451;31.3983;31.4298;31.358;31.339;31.2832;31.2576;31.2998;31.3494;31.3845;31.404;31.4045;31.4468;31.4721
IT;31.8912;31.8724;31.8756;31.834;31.8252;31.7994;31.838;31.7801;31.7412;31.7112;31.6775;31.6594;31.717;31.7628;31.79;31.83;31.8851;31.878
LT;30.4662;30.4908;30.6148;30.8298;30.927;30.853;30.7588;30.7575;30.7806;30.783;30.8338;30.8605;30.8738;30.9095;30.996;31.0603;31.1601;31.1961
LU;32.6422;32.6169;32.6387;32.5671;32.5745;32.4991;32.439;32.4598;32.4413;32.4756;32.4447;32.4579;32.4534;32.4968;32.521;32.518;32.4501;32.4483
LV;30.257;30.2726;30.3418;30.4242;30.4645;30.3977;30.4293;30.3822;30.4592;30.544;30.5559;30.6501;30.6877;30.7182;30.7804;30.8618;30.8807;30.9184
MT;31.1549;31.1647;31.1648;31.1843;31.178;31.1969;31.2336;31.188;31.2092;31.1849;31.1706;31.2072;31.2392;31.2829;31.2527;31.2251;31.2936;31.2927
NL;32.0943;32.0738;32.1392;32.1497;32.1457;32.08;32.06;32.0674;32.0749;32.0618;32.0328;32.0329;32.0349;32.0545;32.0359;32.0279;32.0263;32.0512
PL;30.7984;30.7634;30.8469;30.9034;30.9876;31.0139;31.0277;31.0372;31.0427;31.0826;31.0953;31.1846;31.2423;31.251;31.3001;31.3696;31.3817;31.3808
PT;31.4908;31.5312;31.5724;31.523;31.4858;31.4543;31.4717;31.441;31.378;31.3812;31.386;31.3949;31.4206;31.4275;31.4612;31.4714;31.4968;31.4873
RO;30.4401;30.4475;30.4683;30.5336;30.6016;30.6278;30.6469;30.5869;30.546;30.5283;30.5849;30.6387;30.6609;30.7462;30.8262;30.8921;30.8662;30.8948
SE;32.1129;32.1069;32.0921;32.0747;32.0407;32.0018;31.9715;31.9642;31.9792;31.9648;31.9458;31.9496;31.9273;31.9111;31.8683;31.8407;31.8714;31.8777
SI;31.3457;31.3302;31.3453;31.321;31.2883;31.2541;31.246;31.2556;31.2322;31.2127;31.1858;31.2246;31.2459;31.2934;31.3259;31.3404;31.3548;31.3904
SK;30.7503;30.7642;30.8574;30.9411;30.9936;30.9896;31.0455;31.0758;31.0844;31.0813;31.0997;31.1235;31.0668;31.0669;31.0671;31.0644;31.0968;31.0968
UK;31.694;31.6817;31.7119;31.6605;31.6418;31.6092;31.6003;31.6111;31.6146;31.5953;31.5702;31.5771;31.5318;31.5755;31.5076;31.4761;31.454;31.454
