--- COUNTRY --- environment ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;26.0708;26.0578;26.0594;26.1022;26.1125;26.1117;26.0857;26.0932;26.1313;26.1158;26.1499;26.1506;26.1673;26.1585;26.1476;26.1733;26.2016;26.2016;26.2016
BE;26.0472;26.0408;26.0456;26.0497;26.0815;26.0803;26.1066;26.0886;26.1268;26.1105;26.1431;26.1593;26.1843;26.1936;26.1661;26.1965;26.2218;26.2218;26.2218
BG;25.7489;25.7629;25.7375;25.7575;25.729;25.8752;25.9174;25.8019;25.9569;25.9978;26.0033;26.0532;26.0759;26.0589;26.104;26.1343;26.1429;26.1429;26.1429
CY;25.8489;25.8489;25.8038;25.7909;25.8658;25.8545;25.8699;25.9508;25.9708;26.0019;26.0936;26.0953;26.1675;26.1458;26.135;26.1866;26.1915;26.1915;26.1915
CZ;25.9444;25.9283;25.9493;26.0533;26.0586;26.0275;26.0164;26.045;26.0843;26.0722;26.0974;26.1251;26.1302;26.1377;26.1145;26.1795;26.1953;26.2024;26.2024
DE;26.072;26.0541;25.9999;26.0556;26.056;26.0508;26.0538;26.0443;26.0784;26.0735;26.0704;26.0845;26.0983;26.087;26.0674;26.1013;26.1911;26.1911;26.1911
DK;26.1787;26.1546;26.1275;26.1552;26.1727;26.1931;26.2171;26.186;26.214;26.2254;26.1992;26.2085;26.2231;26.2182;26.1913;26.2005;26.2051;26.1964;26.1964
EE;25.7074;25.9814;25.9607;25.9639;26.1163;26.1824;26.1903;26.1925;26.1883;26.2058;26.1835;26.2278;26.2331;26.2603;26.2388;26.2549;26.2763;26.2696;26.2696
EL;25.8827;25.8882;25.8922;25.9263;25.9014;25.9496;25.9442;25.9891;25.9572;25.9778;26.072;26.0589;26.0476;26.0703;26.0639;26.0573;26.0551;26.0551;26.0551
ES;26.0595;26.0213;25.9907;26.0606;26.1168;26.1129;26.1755;26.2056;26.1961;26.2121;26.2138;26.1914;26.2144;26.2182;26.2129;26.2313;26.1787;26.1787;26.1787
FI;26.2182;26.2017;26.189;26.1905;26.2135;26.2383;26.249;26.2563;26.2656;26.2771;26.2623;26.2954;26.2968;26.3062;26.2817;26.2947;26.2889;26.2889;26.2889
FR;26.1053;26.1413;26.1499;26.1165;26.137;26.1101;26.1204;26.1272;26.1558;26.163;26.2036;26.1841;26.181;26.1955;26.1852;26.2008;26.1621;26.1621;26.1621
HR;26.0218;26.0218;26.0218;26.0218;26.0218;26.0218;26.0218;26.0467;26.0641;26.0804;26.1351;26.109;26.1048;26.1143;26.118;26.1598;26.1623;26.1623;26.1623
HU;26.105;26.0148;26.072;26.1171;26.1571;26.1484;26.1145;26.082;26.1266;26.1404;26.1108;26.1199;26.1477;26.1449;26.184;26.1996;26.2054;26.2054;26.2054
IE;26.1849;26.1936;26.1644;26.1888;26.2088;26.2328;26.223;26.2297;26.2432;26.2336;26.2483;26.2651;26.2673;26.2669;26.245;26.2544;26.2347;26.2347;26.2347
IT;25.694;25.6926;25.8397;25.8591;25.917;25.9131;25.9794;25.9263;26.0065;26.0271;26.0577;26.0003;26.0719;26.1021;26.1466;26.1468;26.1173;26.1086;26.1086
LT;26.0285;26.0315;26.0457;26.044;26.0812;26.0555;26.0518;26.0648;26.0795;26.0562;26.0749;26.0858;26.0938;26.1117;26.1122;26.099;26.0894;26.0906;26.0906
LU;26.0758;26.0759;26.0944;26.1279;26.1536;26.1453;26.1964;26.2178;26.2001;26.1609;26.1689;26.1492;26.1386;26.1191;26.1698;26.1729;26.1789;26.1789;26.1789
LV;25.977;25.9752;25.9484;25.9482;25.9498;26.0215;26.019;26.0615;26.071;26.1062;26.0735;26.1255;26.1451;26.1553;26.1072;26.1544;26.171;26.1623;26.1623
MT;25.959;25.953;25.8887;25.9495;25.9561;25.9323;25.9087;25.8797;25.9219;25.9177;25.9461;26.0135;26.0297;26.0565;26.0169;26.0121;26.0112;26.0112;26.0112
NL;26.0098;26.0134;26.0125;26.0181;26.073;26.0842;26.101;26.096;26.1351;26.1297;26.123;26.1491;26.1597;26.1557;26.1223;26.1446;26.1546;26.1546;26.1546
PL;25.9482;25.9305;25.9193;25.9886;25.9391;25.9498;25.9363;25.9529;25.9748;26.0073;26.0149;26.0522;26.0577;26.0434;26.021;26.0959;26.0961;26.0969;26.0969
PT;25.9824;25.9688;25.9919;25.9717;26.0843;26.0813;26.1162;26.0877;26.1198;26.1486;26.1439;26.1386;26.1605;26.146;26.1551;26.1636;26.1517;26.1517;26.1517
RO;25.5472;25.578;25.5619;25.5843;25.6714;25.6779;25.7017;25.7027;25.7825;25.8411;25.8977;25.8839;25.9318;25.9148;25.9239;25.9743;26.0008;26.0106;26.0106
SE;26.2071;26.204;26.1806;26.2078;26.1864;26.2164;26.2314;26.2177;26.2355;26.241;26.2359;26.2561;26.2417;26.245;26.2366;26.2429;26.2459;26.2459;26.2459
SI;25.9029;25.9263;25.9637;25.9649;25.9895;26.0345;26.0256;25.991;26.0808;26.0992;26.121;26.0707;26.0807;26.093;26.1022;26.1402;26.1406;26.1318;26.1318
SK;25.8677;25.8578;25.8909;25.959;25.9658;25.9275;25.9659;25.9454;26.0135;26.0227;26.0948;26.1075;26.1646;26.1198;26.136;26.1799;26.1825;26.1846;26.1846
UK;26.0855;26.077;26.0802;26.096;26.1326;26.1367;26.1456;26.1227;26.1765;26.189;26.1935;26.2115;26.2031;26.2039;26.1766;26.1781;26.1774;26.1687;26.1687
