--- COUNTRY --- health ---
Countries;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;80.6519;80.6585;80.6911;80.7209;80.7131;80.7426;80.7284;80.7462;80.7804;80.7625;80.7606;80.7707;80.7422;80.7321;80.7449;80.6731;80.7151;80.7235;80.6991
BE;80.5211;80.5506;80.5635;80.5315;80.5401;80.5464;80.5427;80.5258;80.5368;80.5113;80.5127;80.4904;80.5578;80.5519;80.556;80.5737;80.6027;80.6155;80.6014
BG;79.8075;79.8838;79.8699;79.9246;79.9123;80.0107;80.0349;80.0387;80.0841;80.1288;80.182;80.2097;80.2729;80.2804;80.32;80.361;80.339;80.3171;80.3454
CY;79.7103;79.7119;79.7356;79.7544;79.7639;79.7414;79.654;79.6417;79.6715;79.6781;79.7886;79.9202;79.9654;79.8933;79.8497;79.7805;79.7893;79.8093;79.8192
CZ;80.4379;80.4346;80.4236;80.4415;80.4249;80.428;80.4724;80.4269;80.4286;80.3842;80.3967;80.3905;80.3846;80.3707;80.3996;80.3707;80.3693;80.4197;80.4191
DE;80.8964;80.8997;80.9262;80.937;80.9716;81.0134;81.0542;81.0807;81.092;81.1007;81.1077;81.1373;81.1393;81.1241;81.1256;81.1108;81.1061;81.0963;81.1329
DK;80.8313;80.8389;80.8215;80.7961;80.7665;80.7461;80.7758;80.7033;80.7128;80.7146;80.6277;80.5675;80.5962;80.5978;80.6081;80.5406;80.5243;80.4794;80.4387
EE;79.8513;79.8229;79.8599;79.8667;79.9439;79.9023;79.8614;79.8467;79.8705;79.7393;79.7128;79.715;79.7195;79.7259;79.6571;79.7441;79.7983;79.7821;79.7795
EL;79.9512;79.9874;80.0315;80.0463;80.0508;80.086;80.0221;80.0131;79.9758;79.9286;79.8943;79.8875;79.8876;79.926;79.9554;80.0491;80.0618;80.0455;80.0027
ES;79.5685;79.5767;79.5966;79.5948;79.6396;79.6467;79.6988;79.7751;79.7367;79.6744;79.7057;79.7149;79.7329;79.7863;79.7554;79.8499;79.7874;79.7447;79.7298
FI;80.9359;80.9422;80.9528;80.9605;80.9742;80.8976;80.6905;80.6484;80.5891;80.5076;80.5116;80.4688;80.3966;80.2465;80.3008;80.2104;80.2174;80.246;80.1721
FR;80.5766;80.5783;80.5849;80.5848;80.5755;80.5551;80.5307;80.5462;80.5735;80.5792;80.5903;80.6124;80.6021;80.5953;80.5947;80.6546;80.649;80.6571;80.6159
HR;79.6457;79.6397;79.6581;79.6881;79.7095;79.6865;79.7586;79.8126;79.8994;79.8746;79.9766;79.9068;79.9149;79.9249;79.9537;79.9623;79.9949;79.9916;80.0074
HU;80.0384;80.0065;80.1031;79.9527;80.0628;80.1002;80.0979;80.1091;80.1205;80.1532;80.1714;80.1299;80.1863;80.1945;80.2075;80.2106;80.2104;80.226;80.2185
IE;81.0145;81.0046;80.9943;80.9877;80.9493;80.512;80.467;80.4453;80.4031;80.3838;80.3759;80.4843;80.5393;80.5386;80.5762;80.5964;80.5961;80.5982;80.5812
IT;80.0101;80.0107;79.9894;80.0162;79.9944;79.9985;80.0127;79.9661;79.9707;79.7927;79.8036;79.7947;79.9133;80.0038;79.9637;79.9813;79.9574;79.9741;79.9785
LT;80.3132;80.2934;80.295;80.363;80.3667;80.4216;80.4726;80.4871;80.5084;80.4932;80.4828;80.4135;80.3968;80.4036;80.3787;80.4169;80.3878;80.4116;80.4201
LU;80.6591;80.7206;80.7061;79.7687;79.8154;80.7857;80.7792;80.7775;80.811;80.776;80.7806;80.7379;80.6896;80.677;80.6431;80.6624;80.6879;80.6848;80.6934
LV;79.8052;79.824;79.9261;79.9519;79.9778;79.8146;79.636;79.6361;79.6897;79.629;79.6129;79.6538;79.6799;79.6124;79.6498;79.6111;79.6338;79.6497;79.6372
MT;80.3761;80.3924;80.4376;80.4932;80.504;80.0163;80.0026;80.014;80.1228;80.1875;80.2641;80.2525;80.2947;80.3017;80.2762;80.1443;80.141;80.1107;80.1331
NL;80.5931;80.6;80.6101;80.5955;80.5938;80.5945;80.5792;80.5637;80.5333;80.4991;80.4995;80.4777;80.4814;80.4517;80.4387;80.4569;80.4773;80.4394;80.4133
PL;79.932;79.9066;79.8934;79.9129;79.9592;79.9494;79.9489;79.9636;79.9901;79.9701;79.9928;79.9852;80.0109;80.0094;80.0026;79.9491;79.9775;80.0022;79.9924
PT;79.2384;79.2918;79.34;79.3495;79.3985;79.3901;79.4589;79.5154;79.5143;79.5023;79.4553;79.4903;79.5593;79.5821;79.6245;79.6654;79.6982;79.6705;79.6633
RO;79.8859;79.9221;79.9416;79.9222;79.9381;79.9686;79.877;79.9027;79.9996;80.0575;80.1082;80.1616;80.2107;80.2305;80.259;80.2792;80.2881;80.2695;80.2796
SE;80.3489;80.3593;80.3901;80.4045;80.3748;80.3932;80.4109;80.3997;80.3935;80.368;80.4004;80.376;80.3285;80.3106;80.3007;80.2641;80.2547;80.1881;80.1441
SI;79.8573;79.8792;79.9111;79.9299;79.9587;80.0243;79.9587;79.9942;80.011;80.0892;80.1195;80.1284;80.1224;80.0553;80.0634;80.0546;80.0978;80.0918;80.0854
SK;80.1924;80.1277;80.129;80.1904;80.18;80.1707;80.175;80.0958;80.1047;80.0872;80.0937;80.0929;80.1268;80.117;80.1065;80.0374;80.0273;80.0144;80.0326
UK;80.3299;80.313;80.266;80.2238;80.2392;80.2377;80.1456;80.0401;80.0082;79.9889;79.9486;79.8812;79.8773;79.8608;79.8172;79.8172;79.8173;79.8173;79.8173
