--- REGION --- Education ---
Years;EU_EASTERN;EU_NORTHERN;EU_SOUTHERN;EU_WESTERN
2004;39.764770581838256;40.33229887550199;39.91684898190386;40.29798600188648
2005;39.78226699844918;40.32133878408559;39.92854869970309;40.29846003840726
2006;39.80154526490765;40.32801517087954;39.9626673441132;40.30657839879955
2007;39.83220086397737;40.324549664172324;39.982059291456075;40.33981675705713
2008;39.8522771952621;40.34246414554935;39.99273547470439;40.35400408748206
2009;39.84517423439315;40.33046963424122;39.991823174733796;40.37878607151867
2010;39.85085538758307;40.3640872918903;40.00758954718248;40.38310022922952
2011;39.85350231570284;40.386765870770766;40.02838570804109;40.3896223191691
2012;39.859049684013065;40.40449853558442;40.033110544324884;40.39750620359664
2013;39.86621542863648;40.43151323334419;40.03602690878927;40.43099597135764
2014;39.88235241484281;40.440986803596175;40.05819701723088;40.451971770264656
2015;39.89643238838328;40.45157574251066;40.0839132271241;40.45444488324133
2016;39.94819752868455;40.48089706957028;40.1145632098653;40.49435314199561
2017;39.98001732869316;40.49626728148881;40.15002174387521;40.510135006190694
2018;39.99548432932084;40.51548676637676;40.1647121938067;40.519921683865626
2019;39.988187488475255;40.53503576432975;40.19858659046943;40.51329222681658
2020;39.979954446055544;40.52013263288494;40.19647273918596;40.49325022496661
2021;39.995356024952216;40.55395096356989;40.27836148405615;40.49647914508882
